mel_peak_name	sim_peak_name	mel_chr	mel_TSS_start	mel_TSS_end	mel_gene	mel_strand	mel_peak_start	mel_peak_end	mel_dist	sim_chr	sim_TSS_start	sim_TSS_end	sim_gene	sim_strand	sim_peak_start	sim_peak_end	sim_dist	mel_width	sim_width	per_diff
peak_84	peak_107	2L	621182	621201	FBgn0040106	-	620712	622080	0	Scf_2L	594784	594834	FBgn0194339	-	594314	595631	0	1368	1317	0.03798882681564246
peak_85	peak_108	2L	624616	624643	FBgn0040107	+	622271	622925	-1692	Scf_2L	598170	598221	FBgn0194430	+	595795	596447	-1724	654	652	0.0030627871362940277
peak_100	peak_125	2L	821421	821551	FBgn0031285	+	821312	821898	0	Scf_2L	784326	784459	FBgn0269224	+	784207	784815	0	586	608	0.03685092127303183
peak_105	peak_132	2L	850068	851071	FBgn0020304	-	850469	851238	0	Scf_2L	812820	813830	FBgn0194332	-	813230	813989	0	769	759	0.013089005235602094
peak_110	peak_136	2L	860308	860320	FBgn0031289	+	860906	862409	587	Scf_2L	819878	823031	FBgn0270854	+	823621	825173	591	1503	1552	0.032078559738134206
peak_113	peak_140	2L	869776	869857	FBgn0020305	-	869542	870201	0	Scf_2L	832612	832697	FBgn0194329	-	832378	833006	0	659	628	0.048174048174048176
peak_115	peak_143	2L	914085	914197	FBgn0046113	+	873273	874547	-39539	Scf_2L	878093	878183	FBgn0194451	+	836107	837359	-40735	1274	1252	0.01741884402216944
peak_117	peak_146	2L	1042988	1043218	FBgn0031294	-	1049291	1050704	-6074	Scf_2L	990926	991160	FBgn0194327	-	997297	998745	-6138	1413	1448	0.02446696959105208
peak_124	peak_151	2L	1080910	1081243	FBgn0031298	+	1080811	1081517	0	Scf_2L	1028862	1029187	FBgn0194457	+	1028755	1029464	0	706	709	0.004240282685512367
peak_125	peak_152	2L	1102322	1102504	FBgn0031299	-	1101877	1103033	0	Scf_2L	1049944	1050127	FBgn0194324	-	1049518	1050663	0	1156	1145	0.009561060408518035
peak_126	peak_153	2L	1108202	1108373	FBgn0261938	-	1107816	1108485	0	Scf_2L	1055848	1056037	FBgn0194322	-	1055466	1056128	0	669	662	0.010518407212622089
peak_131	peak_159	2L	1128803	1128953	FBgn0016926	-	1127819	1129057	0	Scf_2L	1076033	1076202	FBgn0194321	-	1075030	1076284	0	1238	1254	0.012841091492776886
peak_132	peak_160	2L	1129315	1129488	FBgn0031304	+	1129188	1129855	0	Scf_2L	1076487	1076703	FBgn0194460	+	1076405	1077063	0	667	658	0.013584905660377358
peak_135	peak_165	2L	1166505	1166559	FBgn0031315	+	1166421	1166752	0	Scf_2L	1113878	1113964	FBgn0194467	+	1113813	1114154	0	331	341	0.02976190476190476
peak_142	peak_172	2L	1186253	1186452	FBgn0031322	+	1185482	1186796	0	Scf_2L	1133653	1133852	FBgn0194473	+	1132866	1134192	0	1314	1326	0.00909090909090909
peak_161	peak_194	2L	1614076	1614160	FBgn0021906	-	1613571	1614345	0	Scf_2L	1548175	1548262	FBgn0194295	-	1547671	1548467	0	774	796	0.02802547770700637
peak_166	peak_199	2L	1704901	1705111	FBgn0011570	+	1704755	1705459	0	Scf_2L	1631600	1631809	FBgn0194500	+	1631453	1632140	0	704	687	0.024442846872753415
peak_169	peak_202	2L	1715556	1715851	FBgn0086698	-	1715382	1716227	0	Scf_2L	1642135	1642422	FBgn0269954	-	1641961	1642814	0	845	853	0.009422850412249705
peak_174	peak_208	2L	1732263	1732356	FBgn0031361	-	1731871	1732511	0	Scf_2L	1658845	1658932	FBgn0194292	-	1658453	1659088	0	640	635	0.00784313725490196
peak_177	peak_210	2L	1737466	1738019	FBgn0264494	+	1738341	1738696	323	Scf_2L	1663468	1664549	FBgn0194502	+	1664871	1665225	323	355	354	0.0028208744710860366
peak_178	peak_211	2L	1752025	1752122	FBgn0027597	-	1751704	1752211	0	Scf_2L	1678657	1678755	FBgn0194290	-	1678336	1678855	0	507	519	0.023391812865497075
peak_189	peak_224	2L	1974111	1974235	FBgn0267972	+	1974008	1974687	0	Scf_2L	1884484	1884788	FBgn0194510	+	1884561	1885218	0	679	657	0.03293413173652695
peak_194	peak_229	2L	1992152	1992160	FBgn0043539	-	1991234	1992646	0	Scf_2L	1902539	1902573	FBgn0268669	-	1901631	1903029	0	1412	1398	0.0099644128113879
peak_202	peak_235	2L	2037713	2038008	FBgn0003557	+	2037473	2039191	0	Scf_2L	1947600	1947900	FBgn0194518	+	1947363	1949041	0	1718	1678	0.023557126030624265
peak_207	peak_238	2L	2130812	2131011	FBgn0004507	+	2130139	2131128	0	Scf_2L	2024065	2024257	FBgn0194522	+	2023379	2024374	0	989	995	0.006048387096774193
peak_209	peak_241	2L	2145031	2145187	FBgn0031390	-	2144648	2145289	0	Scf_2L	2038228	2038380	FBgn0194267	-	2037839	2038509	0	641	670	0.04424103737604882
peak_216	peak_248	2L	2177846	2178754	FBgn0000097	-	2173586	2173947	3900	Scf_2L	2071296	2072218	FBgn0194265	-	2067070	2067432	3865	361	362	0.0027662517289073307
peak_223	peak_255	2L	2192974	2193010	FBgn0085201	-	2193169	2193866	-160	Scf_2L	2086444	2086545	FBgn0194263	-	2086631	2087311	-87	697	680	0.024691358024691357
peak_227	peak_260	2L	2212375	2212571	FBgn0031397	-	2212323	2212904	0	Scf_2L	2105371	2105611	FBgn0194260	-	2105319	2105902	0	581	583	0.003436426116838488
peak_229	peak_262	2L	2216225	2216311	FBgn0031398	-	2216158	2216431	0	Scf_2L	2109232	2109344	FBgn0194258	-	2109186	2109456	0	273	270	0.011049723756906077
peak_233	peak_265	2L	2222088	2222298	FBgn0031401	+	2221577	2222201	0	Scf_2L	2115237	2115457	FBgn0194528	+	2114716	2115345	0	624	629	0.007980845969672785
peak_237	peak_270	2L	2236541	2236844	FBgn0262126	-	2236307	2237073	0	Scf_2L	2130160	2130478	FBgn0194254	-	2129926	2130687	0	766	761	0.006548788474132285
peak_238	peak_272	2L	2269093	2269140	FBgn0250841	-	2279610	2280120	-10471	Scf_2L	2163783	2163825	FBgn0194242	-	2174249	2174737	-10425	510	488	0.04408817635270541
peak_239	peak_273	2L	2285162	2285173	FBgn0031409	+	2283299	2285694	0	Scf_2L	2179786	2179807	FBgn0194534	+	2177941	2180329	0	2395	2388	0.0029270332427346855
peak_242	peak_277	2L	2357077	2357356	FBgn0031413	-	2357062	2358041	0	Scf_2L	2247949	2248300	FBgn0194236	-	2247934	2248922	0	979	988	0.009150991357397052
peak_262	peak_302	2L	2585271	2585430	FBgn0026479	-	2584200	2585678	0	Scf_2L	2473920	2474113	FBgn0194213	-	2472865	2474323	0	1478	1458	0.013623978201634877
peak_264	peak_303	2L	2677733	2678057	FBgn0051690	+	2677458	2677796	0	Scf_2L	2565542	2565874	FBgn0194561	+	2565278	2565611	0	338	333	0.014903129657228018
peak_266	peak_307	2L	2730103	2730372	FBgn0031449	+	2732690	2733454	2319	Scf_2L	2617802	2618048	FBgn0194563	+	2620320	2621055	2273	764	735	0.038692461641094064
peak_270	peak_309	2L	2740041	2740180	FBgn0031450	+	2739565	2740115	0	Scf_2L	2627515	2627649	FBgn0194564	+	2627040	2627587	0	550	547	0.0054694621695533276
peak_284	peak_324	2L	2840123	2840627	FBgn0031468	+	2839936	2841054	0	Scf_2L	2720453	2721163	FBgn0194575	+	2720453	2721568	0	1118	1115	0.0026869682042095834
peak_288	peak_329	2L	2856110	2856175	FBgn0015521	+	2855967	2856912	0	Scf_2L	2736558	2736675	FBgn0194577	+	2736472	2737410	0	945	938	0.007434944237918215
peak_308	peak_354	2L	2988115	2988244	FBgn0025109	+	2987983	2988589	0	Scf_2L	2865366	2865540	FBgn0183741	+	2865294	2865885	0	606	591	0.02506265664160401
peak_326	peak_379	2L	3144347	3144786	FBgn0015600	-	3144531	3145027	0	Scf_2L	3018515	3018984	FBgn0194174	-	3018693	3019186	0	496	493	0.006066734074823054
peak_327	peak_380	2L	3145684	3145721	FBgn0031505	-	3145231	3145827	0	Scf_2L	3019861	3020011	FBgn0194169	-	3019408	3020004	0	596	596	0.0
peak_331	peak_387	2L	3163644	3163919	FBgn0014906	+	3165229	3166147	1311	Scf_2L	3037720	3037995	FBgn0194602	+	3039338	3040252	1344	918	914	0.004366812227074236
peak_338	peak_396	2L	3303045	3303130	FBgn0031516	-	3301604	3303345	0	Scf_2L	3162852	3162951	FBgn0194160	-	3161361	3163165	0	1741	1804	0.03554301833568406
peak_350	peak_414	2L	3449682	3449794	FBgn0031534	+	3449532	3450317	0	Scf_2L	3309262	3309380	FBgn0194619	+	3309113	3309902	0	785	789	0.005082592121982211
peak_352	peak_416	2L	3452465	3452616	FBgn0031535	+	3452367	3453644	0	Scf_2L	3312020	3312173	FBgn0194621	+	3311905	3313194	0	1277	1289	0.009353078721745909
peak_356	peak_421	2L	3472602	3472802	FBgn0051956	+	3472344	3472800	0	Scf_2L	3332133	3332260	FBgn0194625	+	3331913	3332348	0	456	435	0.04713804713804714
peak_359	peak_422	2L	3478433	3478615	FBgn0261560	+	3477242	3477407	-1027	Scf_2L	3337867	3338067	FBgn0067508	+	3336797	3336962	-906	165	165	0.0
peak_366	peak_432	2L	3539732	3539977	FBgn0024244	+	3538589	3539212	-521	Scf_2L	3399005	3399525	FBgn0194630	+	3398134	3398760	-246	623	626	0.004803843074459567
peak_368	peak_435	2L	3580179	3580769	FBgn0004892	-	3580559	3581222	0	Scf_2L	3438791	3439379	FBgn0194140	-	3439175	3439832	0	663	657	0.00909090909090909
peak_369	peak_436	2L	3606358	3606756	FBgn0002985	-	3606232	3607033	0	Scf_2L	3464709	3465092	FBgn0194139	-	3464576	3465374	0	801	798	0.00375234521575985
peak_370	peak_437	2L	3619277	3619285	FBgn0015663	+	3618803	3619553	0	Scf_2L	3477407	3477591	FBgn0194633	+	3477117	3477856	0	750	739	0.014775016789791807
peak_378	peak_446	2L	3656707	3656953	FBgn0000721	-	3657344	3657781	-392	Scf_2L	3509788	3510027	FBgn0194136	-	3510386	3510813	-360	437	427	0.023148148148148147
peak_381	peak_456	2L	3713359	3713736	FBgn0031566	+	3713049	3714005	0	Scf_2L	3566430	3566800	FBgn0194636	+	3566113	3567047	0	956	934	0.02328042328042328
peak_382	peak_457	2L	3745393	3745691	FBgn0031568	+	3729482	3730805	-14589	Scf_2L	3583221	3583907	FBgn0194639	+	3582606	3583920	0	1323	1314	0.006825938566552901
peak_389	peak_467	2L	3787166	3787318	FBgn0031571	+	3786643	3788619	0	Scf_2L	3639177	3639323	FBgn0194644	+	3638676	3640662	0	1976	1986	0.005047955577990914
peak_391	peak_469	2L	3803544	3803730	FBgn0021800	+	3802766	3804378	0	Scf_2L	3655452	3655698	FBgn0194645	+	3654775	3656333	0	1612	1558	0.03406940063091483
peak_396	peak_473	2L	3813330	3813410	FBgn0031573	-	3813126	3813554	0	Scf_2L	3665257	3665334	FBgn0194123	-	3665053	3665482	0	428	429	0.002333722287047841
peak_403	peak_483	2L	3888648	3888824	FBgn0000256	-	3890113	3890505	-1290	Scf_2L	3754715	3754808	FBgn0194121	-	3741945	3742349	12367	392	404	0.03015075376884422
peak_406	peak_486	2L	4031376	4031555	FBgn0000547	+	4031154	4032119	0	Scf_2L	3884308	3884488	FBgn0194656	+	3884086	3885044	0	965	958	0.007280291211648466
peak_418	peak_499	2L	4197146	4197380	FBgn0031589	-	4197088	4198383	0	Scf_2L	4044648	4044751	FBgn0183730	-	4043775	4045071	0	1295	1296	0.0007719027402547279
peak_421	peak_501	2L	4226888	4226980	FBgn0031590	-	4226495	4227155	0	Scf_2L	4073823	4074002	FBgn0183727	-	4073430	4074071	0	660	641	0.029208301306687164
peak_425	peak_505	2L	4324553	4324907	FBgn0028482	+	4316761	4318567	-5987	Scf_2L	4171250	4171614	FBgn0194662	+	4163552	4165272	-5979	1806	1720	0.04878048780487805
peak_427	peak_507	2L	4333912	4334439	FBgn0020762	+	4332710	4334310	0	Scf_2L	4180577	4181117	FBgn0194663	+	4179339	4180994	0	1600	1655	0.03379416282642089
peak_434	peak_516	2L	4382696	4382735	FBgn0031597	-	4382281	4383064	0	Scf_2L	4229167	4229215	FBgn0194113	-	4228744	4229538	0	783	794	0.013950538998097653
peak_435	peak_517	2L	4385978	4386062	FBgn0031598	-	4385797	4386164	0	Scf_2L	4232450	4232629	FBgn0194112	-	4232269	4232636	0	367	367	0.0
peak_438	peak_521	2L	4403250	4403336	FBgn0031601	+	4403154	4403687	0	Scf_2L	4249765	4249848	FBgn0194671	+	4249659	4250195	0	533	536	0.005612722170252572
peak_439	peak_522	2L	4434414	4434466	FBgn0085207	+	4435439	4436083	974	Scf_2L	4281057	4281071	FBgn0194672	+	4281977	4282597	907	644	620	0.0379746835443038
peak_449	peak_538	2L	4465173	4465237	FBgn0031611	+	4464312	4465241	0	Scf_2L	4312485	4312581	FBgn0194677	+	4311658	4312585	0	929	927	0.0021551724137931034
peak_457	peak_548	2L	4794548	4794671	FBgn0031628	+	4794248	4794386	-163	Scf_2L	4615064	4615131	FBgn0194685	+	4614716	4614843	-222	138	127	0.0830188679245283
peak_463	peak_553	2L	4818166	4818245	FBgn0031631	-	4817989	4818404	0	Scf_2L	4638508	4638586	FBgn0194087	-	4638331	4638715	0	415	384	0.07759699624530664
peak_464	peak_554	2L	4830607	4830693	FBgn0031633	-	4830236	4830812	0	Scf_2L	4650996	4651086	FBgn0194086	-	4650627	4651213	0	576	586	0.01721170395869191
peak_471	peak_562	2L	4892111	4892604	FBgn0031645	+	4891682	4892702	0	Scf_2L	4712226	4712709	FBgn0194694	+	4711856	4712799	0	1020	943	0.07845134997452878
peak_476	peak_568	2L	4949673	4949784	FBgn0031652	-	4949516	4949911	0	Scf_2L	4763259	4763439	FBgn0194076	-	4763102	4763502	0	395	400	0.012578616352201259
peak_477	peak_569	2L	4965672	4965735	FBgn0083961	+	4965600	4966109	0	Scf_2L	4778987	4779050	FBgn0269686	+	4778915	4779423	0	509	508	0.0019665683382497543
peak_478	peak_570	2L	4967693	4967775	FBgn0015834	-	4967707	4967893	0	Scf_2L	4781013	4781126	FBgn0194072	-	4781027	4781213	0	186	186	0.0
peak_481	peak_574	2L	4973975	4974136	FBgn0031660	+	4973908	4974450	0	Scf_2L	4787223	4787353	FBgn0194700	+	4787122	4787667	0	542	545	0.005519779208831647
peak_494	peak_591	2L	5060814	5060990	FBgn0028572	+	5060574	5061714	0	Scf_2L	4874339	4874510	FBgn0185902	+	4874103	4875265	0	1140	1162	0.019113814074717638
peak_495	peak_592	2L	5070999	5071030	FBgn0261608	+	5070897	5071043	0	Scf_2L	4884392	4884461	FBgn0183762	+	4884328	4884474	0	146	146	0.0
peak_499	peak_596	2L	5093444	5093592	FBgn0031681	-	5092975	5093680	0	Scf_2L	4907012	4907141	FBgn0183721	-	4906548	4907262	0	705	714	0.012684989429175475
peak_500	peak_597	2L	5094011	5094105	FBgn0031682	+	5093845	5094075	0	Scf_2L	4907581	4907606	FBgn0194707	+	4907437	4907675	0	230	238	0.03418803418803419
peak_511	peak_613	2L	5210459	5210501	FBgn0031689	+	5209338	5209523	-937	Scf_2L	5011856	5011942	FBgn0194714	+	5013912	5014092	1971	185	180	0.0273972602739726
peak_513	peak_619	2L	5236369	5237362	FBgn0003716	-	5237271	5238077	0	Scf_2L	5040761	5041782	FBgn0194057	-	5041688	5042504	0	806	816	0.012330456226880395
peak_535	peak_645	2L	5327226	5327286	FBgn0015031	+	5327153	5327892	0	Scf_2L	5136044	5136124	FBgn0268455	+	5135991	5136730	0	739	739	0.0
peak_536	peak_646	2L	5328633	5328879	FBgn0031700	-	5328731	5329095	0	Scf_2L	5137475	5137714	FBgn0269959	-	5137573	5137935	0	364	362	0.005509641873278237
peak_538	peak_650	2L	5335663	5336170	FBgn0031702	-	5335530	5337299	0	Scf_2L	5144513	5145004	FBgn0194052	-	5144380	5146140	0	1769	1760	0.005100595069424767
peak_542	peak_653	2L	5342055	5342234	FBgn0031703	-	5342071	5342564	0	Scf_2L	5150905	5151068	FBgn0194050	-	5150921	5151407	0	493	486	0.014300306435137897
peak_550	peak_664	2L	5523816	5523898	FBgn0031710	-	5523606	5524003	0	Scf_2L	5328823	5328913	FBgn0194047	-	5328613	5328989	0	397	376	0.054333764553686936
peak_551	peak_665	2L	5524297	5524409	FBgn0031711	+	5524162	5524590	0	Scf_2L	5329183	5329454	FBgn0194733	+	5329204	5329635	0	428	431	0.006984866123399301
peak_552	peak_666	2L	5525904	5525948	FBgn0051989	+	5525599	5526145	0	Scf_2L	5330946	5330990	FBgn0187536	+	5330641	5331187	0	546	546	0.0
peak_553	peak_667	2L	5532147	5532223	FBgn0031713	-	5531763	5532314	0	Scf_2L	5337154	5337235	FBgn0194046	-	5336770	5337322	0	551	552	0.001813236627379873
peak_555	peak_670	2L	5547202	5547412	FBgn0031717	+	5546684	5547631	0	Scf_2L	5352161	5352366	FBgn0194735	+	5351630	5352587	0	947	957	0.01050420168067227
peak_562	peak_677	2L	5721050	5721135	FBgn0024191	+	5720932	5721502	0	Scf_2L	5525856	5525948	FBgn0194745	+	5525735	5526314	0	570	579	0.015665796344647518
peak_564	peak_681	2L	5766015	5766142	FBgn0031737	-	5775723	5776087	-9582	Scf_2L	5570248	5570469	FBgn0194030	-	5580085	5580429	-9617	364	344	0.05649717514124294
peak_568	peak_686	2L	5800043	5800173	FBgn0031738	-	5799270	5800433	0	Scf_2L	5604209	5604346	FBgn0194029	-	5603437	5604598	0	1163	1161	0.0017211703958691911
peak_571	peak_691	2L	5811573	5811592	FBgn0262999	+	5809098	5810026	-1548	Scf_2L	5615963	5615995	FBgn0270634	+	5613209	5614162	-1802	928	953	0.02658160552897395
peak_574	peak_698	2L	5878987	5879498	FBgn0031745	-	5879179	5880222	0	Scf_2L	5674480	5674994	FBgn0194026	-	5674670	5675702	0	1043	1032	0.010602409638554217
peak_575	peak_699	2L	5883740	5883781	FBgn0265785	+	5883164	5884072	0	Scf_2L	5679183	5679244	FBgn0269381	+	5678551	5679544	0	908	993	0.08942661756970016
peak_577	peak_701	2L	5886001	5886019	FBgn0031746	+	5885745	5886599	0	Scf_2L	5681437	5681485	FBgn0194753	+	5681172	5682078	0	854	906	0.05909090909090909
peak_582	peak_711	2L	5925936	5926191	FBgn0015381	+	5931953	5932273	5763	Scf_2L	5721040	5721295	FBgn0194755	+	5726977	5727292	5683	320	315	0.015748031496062992
peak_588	peak_719	2L	5949449	5949611	FBgn0031752	+	5949105	5950101	0	Scf_2L	5744405	5744591	FBgn0194756	+	5744081	5745090	0	996	1009	0.012967581047381545
peak_591	peak_723	2L	5981763	5981833	FBgn0001942	+	5981407	5981850	0	Scf_2L	5777246	5777345	FBgn0194760	+	5776924	5777362	0	443	438	0.011350737797956867
peak_593	peak_725	2L	5986347	5986494	FBgn0001941	+	5986165	5987382	0	Scf_2L	5781916	5782085	FBgn0194761	+	5781764	5782993	0	1217	1229	0.009811937857726901
peak_595	peak_727	2L	5999297	5999501	FBgn0031759	-	5998631	5999798	0	Scf_2L	5794793	5794992	FBgn0194017	-	5794127	5795216	0	1167	1089	0.06914893617021277
peak_596	peak_728	2L	6000227	6000311	FBgn0031760	+	6000131	6000500	0	Scf_2L	5795701	5795805	FBgn0194762	+	5795624	5795994	0	369	370	0.0027063599458728013
peak_597	peak_729	2L	6024464	6024539	FBgn0031764	-	6024247	6024632	0	Scf_2L	5819822	5819905	FBgn0194010	-	5819606	5820029	0	385	423	0.09405940594059406
peak_599	peak_732	2L	6045920	6046050	FBgn0000052	-	6045639	6046148	0	Scf_2L	5841291	5841380	FBgn0194006	-	5841003	5841519	0	509	516	0.013658536585365854
peak_608	peak_739	2L	6070589	6070646	FBgn0031777	-	6070612	6070761	0	Scf_2L	5865908	5866021	FBgn0194000	-	5865933	5866087	0	149	154	0.033003300330033
peak_613	peak_744	2L	6082602	6083740	FBgn0266450	+	6082163	6083707	0	Scf_2L	5877867	5879031	FBgn0194772	+	5877448	5878998	0	1544	1550	0.003878474466709761
peak_615	peak_747	2L	6098696	6098966	FBgn0031779	-	6098313	6099360	0	Scf_2L	5893917	5894199	FBgn0193999	-	5893534	5894544	0	1047	1010	0.03597472046669908
peak_616	peak_748	2L	6100376	6100549	FBgn0266521	+	6100198	6100768	0	Scf_2L	5895549	5895721	FBgn0268593	+	5895373	5895941	0	570	568	0.0035149384885764497
peak_617	peak_749	2L	6125131	6125248	FBgn0284255	+	6124813	6125604	0	Scf_2L	5919884	5920001	FBgn0194774	+	5919598	5920357	0	791	759	0.04129032258064516
peak_618	peak_750	2L	6127619	6127653	FBgn0031782	-	6127362	6127730	0	Scf_2L	5922374	5922410	FBgn0193998	-	5922118	5922488	0	368	370	0.005420054200542005
peak_621	peak_756	2L	6323766	6324118	FBgn0265778	+	6323616	6324840	0	Scf_2L	6118980	6119341	FBgn0194787	+	6118849	6120071	0	1224	1222	0.001635322976287817
peak_626	peak_767	2L	6424335	6424525	FBgn0263278	+	6424224	6424828	0	Scf_2L	6216771	6217071	FBgn0194794	+	6216781	6217374	0	604	593	0.018379281537176273
peak_627	peak_769	2L	6447849	6447862	FBgn0031813	-	6447417	6448363	0	Scf_2L	6222180	6222197	FBgn0193979	-	6221771	6222677	0	946	906	0.04319654427645788
peak_628	peak_770	2L	6455597	6455929	FBgn0031814	-	6455073	6456130	0	Scf_2L	6229924	6230269	FBgn0193978	-	6229408	6230462	0	1057	1054	0.0028422548555187117
peak_629	peak_771	2L	6456266	6456470	FBgn0031815	+	6456239	6456800	0	Scf_2L	6230618	6230816	FBgn0194795	+	6230586	6231146	0	561	560	0.001784121320249777
peak_630	peak_773	2L	6467608	6467698	FBgn0031817	-	6467283	6467870	0	Scf_2L	6242223	6242236	FBgn0193976	-	6241894	6242485	0	587	591	0.006791171477079796
peak_636	peak_781	2L	6489089	6489190	FBgn0027496	+	6488984	6489383	0	Scf_2L	6264213	6264313	FBgn0194797	+	6264097	6264506	0	399	409	0.024752475247524754
peak_638	peak_783	2L	6494438	6494532	FBgn0031824	-	6494246	6495092	0	Scf_2L	6269562	6269658	FBgn0193970	-	6269370	6270215	0	846	845	0.0011827321111768185
peak_639	peak_784	2L	6498646	6498875	FBgn0051637	+	6498477	6499101	0	Scf_2L	6273737	6273951	FBgn0194801	+	6273560	6274174	0	624	614	0.01615508885298869
peak_642	peak_786	2L	6557799	6557902	FBgn0031830	+	6557433	6558299	0	Scf_2L	6331258	6331356	FBgn0067177	+	6330884	6331753	0	866	869	0.00345821325648415
peak_645	peak_789	2L	6566117	6566181	FBgn0031834	-	6565904	6566335	0	Scf_2L	6339546	6339616	FBgn0193965	-	6339333	6339774	0	431	441	0.022935779816513763
peak_646	peak_791	2L	6611686	6611775	FBgn0031836	+	6610803	6611762	0	Scf_2L	6385124	6385326	FBgn0194804	+	6384494	6385436	0	959	942	0.01788532351394003
peak_650	peak_795	2L	6623111	6623122	FBgn0085374	+	6622653	6623346	0	Scf_2L	6396762	6396769	FBgn0194805	+	6396285	6396993	0	693	708	0.021413276231263382
peak_658	peak_803	2L	6656233	6656321	FBgn0051633	-	6655890	6656612	0	Scf_2L	6429785	6429875	FBgn0193960	-	6429442	6430182	0	722	740	0.024623803009575923
peak_659	peak_804	2L	6658516	6658591	FBgn0028467	+	6658441	6658585	0	Scf_2L	6432157	6432227	FBgn0194807	+	6432077	6432221	0	144	144	0.0
