peak_0	peak_5	FBgn0051973	2858	FBgn0051973	-13850	FBgn0051973	3760	FBgn0051973	-9545	True
peak_25	peak_34	FBgn0031232	0	FBgn0031233	0	FBgn0031233	0	FBgn0031232	0	True
peak_25	peak_34	FBgn0031232	0	FBgn0031233	0	FBgn0031233	0	FBgn0031233	0	True
peak_25	peak_34	FBgn0031232	0	FBgn0031232	0	FBgn0031232	0	FBgn0031232	0	True
peak_25	peak_34	FBgn0031232	0	FBgn0031232	0	FBgn0031232	0	FBgn0031233	0	True
peak_25	peak_34	FBgn0031232	0	FBgn0031232	0	FBgn0031233	0	FBgn0031232	0	True
peak_25	peak_34	FBgn0031232	0	FBgn0031232	0	FBgn0031233	0	FBgn0031233	0	True
peak_26	peak_36	FBgn0266557	0	FBgn0266557	0	FBgn0266557	0	FBgn0266557	0	True
peak_27	peak_38	FBgn0266557	1076	FBgn0266557	-2129	FBgn0266557	2843	FBgn0266557	-2247	True
peak_28	peak_41	FBgn0266557	4550	FBgn0266557	-2569	FBgn0266557	4549	FBgn0266557	-3023	True
peak_29	peak_42	FBgn0266557	3588	FBgn0266557	-3484	FBgn0266557	3553	FBgn0266557	-3711	True
peak_30	peak_45	FBgn0266557	1144	FBgn0266557	-5920	FBgn0266557	1105	FBgn0266557	-6100	True
peak_31	peak_46	FBgn0266557	739	FBgn0266557	-6915	FBgn0266557	743	FBgn0266557	-7108	True
peak_32	peak_47	FBgn0266557	0	FBgn0266557	0	FBgn0266557	0	FBgn0266557	0	True
peak_32	peak_47	FBgn0266557	0	FBgn0266557	0	FBgn0266557	0	FBgn0283652	0	True
peak_32	peak_47	FBgn0266557	0	FBgn0266557	0	FBgn0283652	0	FBgn0266557	0	True
peak_32	peak_47	FBgn0266557	0	FBgn0266557	0	FBgn0283652	0	FBgn0283652	0	True
peak_32	peak_47	FBgn0266557	0	FBgn0283652	0	FBgn0266557	0	FBgn0266557	0	True
peak_32	peak_47	FBgn0266557	0	FBgn0283652	0	FBgn0266557	0	FBgn0283652	0	True
peak_32	peak_47	FBgn0266557	0	FBgn0283652	0	FBgn0283652	0	FBgn0266557	0	True
peak_32	peak_47	FBgn0266557	0	FBgn0283652	0	FBgn0283652	0	FBgn0283652	0	True
peak_32	peak_47	FBgn0283652	0	FBgn0266557	0	FBgn0266557	0	FBgn0266557	0	True
peak_32	peak_47	FBgn0283652	0	FBgn0266557	0	FBgn0266557	0	FBgn0283652	0	True
peak_32	peak_47	FBgn0283652	0	FBgn0266557	0	FBgn0283652	0	FBgn0266557	0	True
peak_32	peak_47	FBgn0283652	0	FBgn0266557	0	FBgn0283652	0	FBgn0283652	0	True
peak_32	peak_47	FBgn0283652	0	FBgn0283652	0	FBgn0266557	0	FBgn0266557	0	True
peak_32	peak_47	FBgn0283652	0	FBgn0283652	0	FBgn0266557	0	FBgn0283652	0	True
peak_32	peak_47	FBgn0283652	0	FBgn0283652	0	FBgn0283652	0	FBgn0266557	0	True
peak_32	peak_47	FBgn0283652	0	FBgn0283652	0	FBgn0283652	0	FBgn0283652	0	True
peak_33	peak_48	FBgn0283652	0	FBgn0283652	0	FBgn0283652	0	FBgn0283652	0	True
peak_34	peak_52	FBgn0086912	0	FBgn0086912	0	FBgn0086912	0	FBgn0086912	0	True
peak_34	peak_52	FBgn0086912	0	FBgn0086912	0	FBgn0086912	0	FBgn0086856	0	True
peak_34	peak_52	FBgn0086912	0	FBgn0086912	0	FBgn0086856	0	FBgn0086912	0	True
peak_34	peak_52	FBgn0086912	0	FBgn0086912	0	FBgn0086856	0	FBgn0086856	0	True
peak_34	peak_52	FBgn0086912	0	FBgn0086856	0	FBgn0086912	0	FBgn0086912	0	True
peak_34	peak_52	FBgn0086912	0	FBgn0086856	0	FBgn0086912	0	FBgn0086856	0	True
peak_34	peak_52	FBgn0086912	0	FBgn0086856	0	FBgn0086856	0	FBgn0086912	0	True
peak_34	peak_52	FBgn0086912	0	FBgn0086856	0	FBgn0086856	0	FBgn0086856	0	True
peak_34	peak_52	FBgn0086856	0	FBgn0086912	0	FBgn0086912	0	FBgn0086912	0	True
peak_34	peak_52	FBgn0086856	0	FBgn0086912	0	FBgn0086912	0	FBgn0086856	0	True
peak_34	peak_52	FBgn0086856	0	FBgn0086912	0	FBgn0086856	0	FBgn0086912	0	True
peak_34	peak_52	FBgn0086856	0	FBgn0086912	0	FBgn0086856	0	FBgn0086856	0	True
peak_34	peak_52	FBgn0086856	0	FBgn0086856	0	FBgn0086912	0	FBgn0086912	0	True
peak_34	peak_52	FBgn0086856	0	FBgn0086856	0	FBgn0086912	0	FBgn0086856	0	True
peak_34	peak_52	FBgn0086856	0	FBgn0086856	0	FBgn0086856	0	FBgn0086912	0	True
peak_34	peak_52	FBgn0086856	0	FBgn0086856	0	FBgn0086856	0	FBgn0086856	0	True
peak_37	peak_54	FBgn0031244	0	FBgn0031244	0	FBgn0031244	0	FBgn0031244	0	True
peak_37	peak_54	FBgn0031244	0	FBgn0031244	0	FBgn0031244	0	FBgn0031245	0	True
peak_37	peak_54	FBgn0031244	0	FBgn0031244	0	FBgn0031245	0	FBgn0031244	0	True
peak_37	peak_54	FBgn0031244	0	FBgn0031244	0	FBgn0031245	0	FBgn0031245	0	True
peak_37	peak_54	FBgn0031244	0	FBgn0031245	0	FBgn0031244	0	FBgn0031244	0	True
peak_37	peak_54	FBgn0031244	0	FBgn0031245	0	FBgn0031244	0	FBgn0031245	0	True
peak_37	peak_54	FBgn0031244	0	FBgn0031245	0	FBgn0031245	0	FBgn0031244	0	True
peak_37	peak_54	FBgn0031244	0	FBgn0031245	0	FBgn0031245	0	FBgn0031245	0	True
peak_37	peak_54	FBgn0031245	0	FBgn0031244	0	FBgn0031244	0	FBgn0031244	0	True
peak_37	peak_54	FBgn0031245	0	FBgn0031244	0	FBgn0031244	0	FBgn0031245	0	True
peak_37	peak_54	FBgn0031245	0	FBgn0031244	0	FBgn0031245	0	FBgn0031244	0	True
peak_37	peak_54	FBgn0031245	0	FBgn0031244	0	FBgn0031245	0	FBgn0031245	0	True
peak_37	peak_54	FBgn0031245	0	FBgn0031245	0	FBgn0031244	0	FBgn0031244	0	True
peak_37	peak_54	FBgn0031245	0	FBgn0031245	0	FBgn0031244	0	FBgn0031245	0	True
peak_37	peak_54	FBgn0031245	0	FBgn0031245	0	FBgn0031245	0	FBgn0031244	0	True
peak_37	peak_54	FBgn0031245	0	FBgn0031245	0	FBgn0031245	0	FBgn0031245	0	True
peak_38	peak_55	FBgn0031245	0	FBgn0031245	0	FBgn0031245	0	FBgn0031245	0	True
peak_39	peak_56	FBgn0031245	0	FBgn0031245	0	FBgn0031245	0	FBgn0031245	0	True
peak_40	peak_57	FBgn0031247	0	FBgn0031247	0	FBgn0031247	0	FBgn0031247	0	True
peak_41	peak_59	FBgn0024352	0	FBgn0024352	0	FBgn0024352	0	FBgn0024352	0	True
peak_42	peak_60	FBgn0024352	0	FBgn0024352	0	FBgn0024352	0	FBgn0024352	0	True
peak_43	peak_61	FBgn0020622	0	FBgn0020622	0	FBgn0020622	0	FBgn0020622	0	True
peak_44	peak_62	FBgn0020622	1134	FBgn0020622	-88	FBgn0020622	0	FBgn0020622	0	True
peak_47	peak_64	FBgn0004611	0	FBgn0004611	0	FBgn0004611	0	FBgn0004611	0	True
peak_48	peak_67	FBgn0031250	0	FBgn0031250	0	FBgn0031250	0	FBgn0031250	0	True
peak_49	peak_68	FBgn0003278	0	FBgn0003278	0	FBgn0003278	0	FBgn0003278	0	True
peak_50	peak_69	FBgn0264855	0	FBgn0264855	0	FBgn0264855	367	FBgn0264855	-108	True
peak_54	peak_73	FBgn0004583	1864	FBgn0031255	-2890	FBgn0004583	1888	FBgn0031255	-2405	True
peak_56	peak_76	FBgn0004583	2026	FBgn0004583	-2472	FBgn0004583	2216	FBgn0004583	-2956	True
peak_57	peak_77	FBgn0015924	0	FBgn0015924	0	FBgn0015924	0	FBgn0015924	0	True
peak_57	peak_77	FBgn0015924	0	FBgn0015924	0	FBgn0015924	0	FBgn0031256	0	True
peak_57	peak_77	FBgn0015924	0	FBgn0015924	0	FBgn0031256	0	FBgn0015924	0	True
peak_57	peak_77	FBgn0015924	0	FBgn0015924	0	FBgn0031256	0	FBgn0031256	0	True
peak_57	peak_77	FBgn0015924	0	FBgn0031256	0	FBgn0015924	0	FBgn0015924	0	True
peak_57	peak_77	FBgn0015924	0	FBgn0031256	0	FBgn0015924	0	FBgn0031256	0	True
peak_57	peak_77	FBgn0015924	0	FBgn0031256	0	FBgn0031256	0	FBgn0015924	0	True
peak_57	peak_77	FBgn0015924	0	FBgn0031256	0	FBgn0031256	0	FBgn0031256	0	True
peak_57	peak_77	FBgn0031256	0	FBgn0015924	0	FBgn0015924	0	FBgn0015924	0	True
peak_57	peak_77	FBgn0031256	0	FBgn0015924	0	FBgn0015924	0	FBgn0031256	0	True
peak_57	peak_77	FBgn0031256	0	FBgn0015924	0	FBgn0031256	0	FBgn0015924	0	True
peak_57	peak_77	FBgn0031256	0	FBgn0015924	0	FBgn0031256	0	FBgn0031256	0	True
peak_57	peak_77	FBgn0031256	0	FBgn0031256	0	FBgn0015924	0	FBgn0015924	0	True
peak_57	peak_77	FBgn0031256	0	FBgn0031256	0	FBgn0015924	0	FBgn0031256	0	True
peak_57	peak_77	FBgn0031256	0	FBgn0031256	0	FBgn0031256	0	FBgn0015924	0	True
peak_57	peak_77	FBgn0031256	0	FBgn0031256	0	FBgn0031256	0	FBgn0031256	0	True
peak_58	peak_78	FBgn0031258	0	FBgn0031258	0	FBgn0031257	0	FBgn0031257	0	True
peak_58	peak_78	FBgn0031258	0	FBgn0031258	0	FBgn0031257	0	FBgn0031258	0	True
peak_58	peak_78	FBgn0031258	0	FBgn0031258	0	FBgn0031258	0	FBgn0031257	0	True
peak_58	peak_78	FBgn0031258	0	FBgn0031258	0	FBgn0031258	0	FBgn0031258	0	True
peak_60	peak_79	FBgn0031258	0	FBgn0031258	0	FBgn0031258	0	FBgn0031258	0	True
peak_61	peak_80	FBgn0027592	0	FBgn0027592	0	FBgn0027592	0	FBgn0027592	0	True
peak_62	peak_81	FBgn0043364	0	FBgn0043364	0	FBgn0043364	0	FBgn0043364	0	True
peak_63	peak_82	FBgn0043364	0	FBgn0043364	0	FBgn0043364	0	FBgn0043364	0	True
peak_65	peak_84	FBgn0003963	0	FBgn0003963	0	FBgn0003963	0	FBgn0003963	0	True
peak_66	peak_85	FBgn0003963	30934	FBgn0003963	-395	FBgn0003963	34599	FBgn0003963	-300	True
peak_67	peak_86	FBgn0003963	28765	FBgn0003963	-2611	FBgn0003963	32140	FBgn0003963	-2553	True
peak_69	peak_87	FBgn0003963	12683	FBgn0003963	-19083	FBgn0003963	16235	FBgn0003963	-18866	True
peak_70	peak_89	FBgn0003963	0	FBgn0003963	0	FBgn0003963	1400	FBgn0003963	-33031	True
peak_71	peak_90	FBgn0003963	0	FBgn0003963	0	FBgn0003963	0	FBgn0003963	0	True
peak_71	peak_90	FBgn0003963	0	FBgn0003963	0	FBgn0003963	0	FBgn0010602	0	True
peak_71	peak_90	FBgn0003963	0	FBgn0003963	0	FBgn0010602	0	FBgn0003963	0	True
peak_71	peak_90	FBgn0003963	0	FBgn0003963	0	FBgn0010602	0	FBgn0010602	0	True
peak_71	peak_90	FBgn0003963	0	FBgn0010602	0	FBgn0003963	0	FBgn0003963	0	True
peak_71	peak_90	FBgn0003963	0	FBgn0010602	0	FBgn0003963	0	FBgn0010602	0	True
peak_71	peak_90	FBgn0003963	0	FBgn0010602	0	FBgn0010602	0	FBgn0003963	0	True
peak_71	peak_90	FBgn0003963	0	FBgn0010602	0	FBgn0010602	0	FBgn0010602	0	True
peak_71	peak_90	FBgn0010602	0	FBgn0003963	0	FBgn0003963	0	FBgn0003963	0	True
peak_71	peak_90	FBgn0010602	0	FBgn0003963	0	FBgn0003963	0	FBgn0010602	0	True
peak_71	peak_90	FBgn0010602	0	FBgn0003963	0	FBgn0010602	0	FBgn0003963	0	True
peak_71	peak_90	FBgn0010602	0	FBgn0003963	0	FBgn0010602	0	FBgn0010602	0	True
peak_71	peak_90	FBgn0010602	0	FBgn0010602	0	FBgn0003963	0	FBgn0003963	0	True
peak_71	peak_90	FBgn0010602	0	FBgn0010602	0	FBgn0003963	0	FBgn0010602	0	True
peak_71	peak_90	FBgn0010602	0	FBgn0010602	0	FBgn0010602	0	FBgn0003963	0	True
peak_71	peak_90	FBgn0010602	0	FBgn0010602	0	FBgn0010602	0	FBgn0010602	0	True
peak_73	peak_94	FBgn0005660	0	FBgn0005660	0	FBgn0005660	0	FBgn0005660	0	True
peak_74	peak_95	FBgn0260933	60	FBgn0005660	-447	FBgn0005660	0	FBgn0005660	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0260933	0	FBgn0260933	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0260933	0	FBgn0260933	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0260933	0	FBgn0031263	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0260933	0	FBgn0031263	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0031263	0	FBgn0260933	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0031263	0	FBgn0260933	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0031263	0	FBgn0031263	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0031263	0	FBgn0031263	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0031264	0	FBgn0260933	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0031264	0	FBgn0260933	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0031264	0	FBgn0031263	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0260933	0	FBgn0031264	0	FBgn0031263	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0260933	0	FBgn0260933	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0260933	0	FBgn0260933	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0260933	0	FBgn0031263	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0260933	0	FBgn0031263	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0031263	0	FBgn0260933	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0031263	0	FBgn0260933	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0031263	0	FBgn0031263	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0031263	0	FBgn0031263	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0031264	0	FBgn0260933	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0031264	0	FBgn0260933	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0031264	0	FBgn0031263	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031263	0	FBgn0031264	0	FBgn0031263	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0260933	0	FBgn0260933	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0260933	0	FBgn0260933	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0260933	0	FBgn0031263	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0260933	0	FBgn0031263	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0031263	0	FBgn0260933	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0031263	0	FBgn0260933	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0031263	0	FBgn0031263	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0031263	0	FBgn0031263	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0031264	0	FBgn0260933	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0031264	0	FBgn0260933	0	FBgn0031263	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0031264	0	FBgn0031263	0	FBgn0260933	0	True
peak_75	peak_96	FBgn0031264	0	FBgn0031264	0	FBgn0031263	0	FBgn0031263	0	True
peak_76	peak_97	FBgn0031265	0	FBgn0031265	0	FBgn0031265	0	FBgn0031265	0	True
peak_77	peak_98	FBgn0021874	0	FBgn0021874	0	FBgn0021874	0	FBgn0021874	0	True
peak_77	peak_98	FBgn0021874	0	FBgn0021874	0	FBgn0021874	0	FBgn0031266	0	True
peak_77	peak_98	FBgn0021874	0	FBgn0021874	0	FBgn0031266	0	FBgn0021874	0	True
peak_77	peak_98	FBgn0021874	0	FBgn0021874	0	FBgn0031266	0	FBgn0031266	0	True
peak_77	peak_98	FBgn0021874	0	FBgn0031266	0	FBgn0021874	0	FBgn0021874	0	True
peak_77	peak_98	FBgn0021874	0	FBgn0031266	0	FBgn0021874	0	FBgn0031266	0	True
peak_77	peak_98	FBgn0021874	0	FBgn0031266	0	FBgn0031266	0	FBgn0021874	0	True
peak_77	peak_98	FBgn0021874	0	FBgn0031266	0	FBgn0031266	0	FBgn0031266	0	True
peak_77	peak_98	FBgn0031266	0	FBgn0021874	0	FBgn0021874	0	FBgn0021874	0	True
peak_77	peak_98	FBgn0031266	0	FBgn0021874	0	FBgn0021874	0	FBgn0031266	0	True
peak_77	peak_98	FBgn0031266	0	FBgn0021874	0	FBgn0031266	0	FBgn0021874	0	True
peak_77	peak_98	FBgn0031266	0	FBgn0021874	0	FBgn0031266	0	FBgn0031266	0	True
peak_77	peak_98	FBgn0031266	0	FBgn0031266	0	FBgn0021874	0	FBgn0021874	0	True
peak_77	peak_98	FBgn0031266	0	FBgn0031266	0	FBgn0021874	0	FBgn0031266	0	True
peak_77	peak_98	FBgn0031266	0	FBgn0031266	0	FBgn0031266	0	FBgn0021874	0	True
peak_77	peak_98	FBgn0031266	0	FBgn0031266	0	FBgn0031266	0	FBgn0031266	0	True
peak_78	peak_99	FBgn0031267	0	FBgn0031267	0	FBgn0031267	0	FBgn0031267	0	True
peak_78	peak_99	FBgn0031267	0	FBgn0031267	0	FBgn0031267	0	FBgn0031268	0	True
peak_78	peak_99	FBgn0031267	0	FBgn0031267	0	FBgn0031268	0	FBgn0031267	0	True
peak_78	peak_99	FBgn0031267	0	FBgn0031267	0	FBgn0031268	0	FBgn0031268	0	True
peak_78	peak_99	FBgn0031267	0	FBgn0031268	0	FBgn0031267	0	FBgn0031267	0	True
peak_78	peak_99	FBgn0031267	0	FBgn0031268	0	FBgn0031267	0	FBgn0031268	0	True
peak_78	peak_99	FBgn0031267	0	FBgn0031268	0	FBgn0031268	0	FBgn0031267	0	True
peak_78	peak_99	FBgn0031267	0	FBgn0031268	0	FBgn0031268	0	FBgn0031268	0	True
peak_78	peak_99	FBgn0031268	0	FBgn0031267	0	FBgn0031267	0	FBgn0031267	0	True
peak_78	peak_99	FBgn0031268	0	FBgn0031267	0	FBgn0031267	0	FBgn0031268	0	True
peak_78	peak_99	FBgn0031268	0	FBgn0031267	0	FBgn0031268	0	FBgn0031267	0	True
peak_78	peak_99	FBgn0031268	0	FBgn0031267	0	FBgn0031268	0	FBgn0031268	0	True
peak_78	peak_99	FBgn0031268	0	FBgn0031268	0	FBgn0031267	0	FBgn0031267	0	True
peak_78	peak_99	FBgn0031268	0	FBgn0031268	0	FBgn0031267	0	FBgn0031268	0	True
peak_78	peak_99	FBgn0031268	0	FBgn0031268	0	FBgn0031268	0	FBgn0031267	0	True
peak_78	peak_99	FBgn0031268	0	FBgn0031268	0	FBgn0031268	0	FBgn0031268	0	True
peak_79	peak_101	FBgn0010323	0	FBgn0010323	0	FBgn0010323	116	FBgn0010323	-7637	True
peak_80	peak_102	FBgn0031270	0	FBgn0031270	0	FBgn0031270	0	FBgn0031270	0	True
peak_81	peak_103	FBgn0040106	5729	FBgn0031270	-9763	FBgn0040106	5732	FBgn0031270	-10527	True
peak_82	peak_104	FBgn0040106	5485	FBgn0031270	-10258	FBgn0040106	5301	FBgn0031270	-11112	True
peak_84	peak_107	FBgn0040106	0	FBgn0040106	0	FBgn0040106	0	FBgn0040106	0	True
peak_85	peak_108	FBgn0040107	1692	FBgn0040106	-1484	FBgn0040107	1724	FBgn0040106	-962	True
peak_88	peak_113	FBgn0284247	0	FBgn0284247	0	FBgn0284247	0	FBgn0284247	0	True
peak_90	peak_115	FBgn0284247	29206	FBgn0284247	-18246	FBgn0284247	20231	FBgn0284247	-18196	True
peak_92	peak_116	FBgn0026438	5152	FBgn0011244	-809	FBgn0026438	5112	FBgn0011244	-772	True
peak_93	peak_117	FBgn0026438	469	FBgn0011244	-5555	FBgn0026438	453	FBgn0011244	-5605	True
peak_94	peak_119	FBgn0041250	2208	FBgn0031275	-15215	FBgn0041250	1491	FBgn0031275	-14174	True
peak_96	peak_120	FBgn0086130	1825	FBgn0000442	-18785	FBgn0086130	1748	FBgn0000442	-19338	True
peak_97	peak_121	FBgn0086130	952	FBgn0000442	-19674	FBgn0086130	568	FBgn0000442	-20183	True
peak_98	peak_123	FBgn0031281	0	FBgn0031281	0	FBgn0031281	0	FBgn0031281	0	True
peak_98	peak_123	FBgn0031281	0	FBgn0031281	0	FBgn0031281	0	FBgn0031282	0	True
peak_98	peak_123	FBgn0031281	0	FBgn0031281	0	FBgn0031282	0	FBgn0031281	0	True
peak_98	peak_123	FBgn0031281	0	FBgn0031281	0	FBgn0031282	0	FBgn0031282	0	True
peak_98	peak_123	FBgn0031281	0	FBgn0031282	0	FBgn0031281	0	FBgn0031281	0	True
peak_98	peak_123	FBgn0031281	0	FBgn0031282	0	FBgn0031281	0	FBgn0031282	0	True
peak_98	peak_123	FBgn0031281	0	FBgn0031282	0	FBgn0031282	0	FBgn0031281	0	True
peak_98	peak_123	FBgn0031281	0	FBgn0031282	0	FBgn0031282	0	FBgn0031282	0	True
peak_98	peak_123	FBgn0031282	0	FBgn0031281	0	FBgn0031281	0	FBgn0031281	0	True
peak_98	peak_123	FBgn0031282	0	FBgn0031281	0	FBgn0031281	0	FBgn0031282	0	True
peak_98	peak_123	FBgn0031282	0	FBgn0031281	0	FBgn0031282	0	FBgn0031281	0	True
peak_98	peak_123	FBgn0031282	0	FBgn0031281	0	FBgn0031282	0	FBgn0031282	0	True
peak_98	peak_123	FBgn0031282	0	FBgn0031282	0	FBgn0031281	0	FBgn0031281	0	True
peak_98	peak_123	FBgn0031282	0	FBgn0031282	0	FBgn0031281	0	FBgn0031282	0	True
peak_98	peak_123	FBgn0031282	0	FBgn0031282	0	FBgn0031282	0	FBgn0031281	0	True
peak_98	peak_123	FBgn0031282	0	FBgn0031282	0	FBgn0031282	0	FBgn0031282	0	True
peak_99	peak_124	FBgn0031284	0	FBgn0031284	0	FBgn0031284	0	FBgn0031284	0	True
peak_99	peak_124	FBgn0031284	0	FBgn0031284	0	FBgn0031284	0	FBgn0015621	0	True
peak_99	peak_124	FBgn0031284	0	FBgn0031284	0	FBgn0015621	0	FBgn0031284	0	True
peak_99	peak_124	FBgn0031284	0	FBgn0031284	0	FBgn0015621	0	FBgn0015621	0	True
peak_99	peak_124	FBgn0031284	0	FBgn0015621	0	FBgn0031284	0	FBgn0031284	0	True
peak_99	peak_124	FBgn0031284	0	FBgn0015621	0	FBgn0031284	0	FBgn0015621	0	True
peak_99	peak_124	FBgn0031284	0	FBgn0015621	0	FBgn0015621	0	FBgn0031284	0	True
peak_99	peak_124	FBgn0031284	0	FBgn0015621	0	FBgn0015621	0	FBgn0015621	0	True
peak_99	peak_124	FBgn0015621	0	FBgn0031284	0	FBgn0031284	0	FBgn0031284	0	True
peak_99	peak_124	FBgn0015621	0	FBgn0031284	0	FBgn0031284	0	FBgn0015621	0	True
peak_99	peak_124	FBgn0015621	0	FBgn0031284	0	FBgn0015621	0	FBgn0031284	0	True
peak_99	peak_124	FBgn0015621	0	FBgn0031284	0	FBgn0015621	0	FBgn0015621	0	True
peak_99	peak_124	FBgn0015621	0	FBgn0015621	0	FBgn0031284	0	FBgn0031284	0	True
