chr	peak_start	peak_end	peak_name	TSS_start	TSS_end	gene	strand	dist
Scf_2L	2937548	2937764	peak_367	2938630	2938933	FBgn0194596	+	867
Scf_2L	3006438	3006760	peak_377	3018515	3018984	FBgn0194174	-	11756
Scf_2L	3027621	3027913	peak_382	3034568	3034709	FBgn0194168	-	6656
Scf_2L	3034988	3035102	peak_385	3035053	3035149	FBgn0194601	+	0
Scf_2L	3044623	3044827	peak_391	3044548	3044683	FBgn0194167	-	0
Scf_2L	3144672	3145150	peak_393	3138811	3138928	FBgn0194162	-	-5745
Scf_2L	3163384	3163572	peak_397	3162852	3162951	FBgn0194160	-	-434
Scf_2L	3231056	3231318	peak_408	3232845	3233206	FBgn0194157	-	1528
Scf_2L	3339966	3340144	peak_425	3337867	3338067	FBgn0067508	+	-1900
Scf_2L	3389784	3389955	peak_431	3384487	3384657	FBgn0194628	+	-5128
Scf_2L	3421127	3421601	peak_434	3438791	3439379	FBgn0194140	-	17191
Scf_2L	3487089	3487515	peak_438	3477407	3477591	FBgn0194633	+	-9499
Scf_2L	3506801	3507148	peak_443	3509788	3510027	FBgn0194136	-	2641
Scf_2L	3520643	3521066	peak_447	3521592	3521641	FBgn0270787	-	527
Scf_2L	3539615	3540892	peak_451	3545712	3545797	FBgn0194134	-	4821
Scf_2L	3564483	3565203	peak_454	3565853	3566098	FBgn0194125	-	651
Scf_2L	3605210	3605393	peak_458	3612813	3612855	FBgn0194641	+	7421
Scf_2L	3621011	3621184	peak_461	3618320	3618379	FBgn0268797	+	-2633
Scf_2L	3622398	3622747	peak_462	3624483	3624567	FBgn0194642	+	1737
Scf_2L	3706803	3707007	peak_475	3718879	3719157	FBgn0194650	+	11873
Scf_2L	3895367	3895826	peak_488	3884308	3884488	FBgn0194656	+	-10880
Scf_2L	3960416	3960555	peak_495	3971000	3971062	FBgn0044195	+	10446
Scf_2L	4182441	4183220	peak_508	4180577	4181117	FBgn0194663	+	-1325
Scf_2L	4215371	4215676	peak_514	4229167	4229215	FBgn0194113	-	13492
Scf_2L	4301381	4301924	peak_531	4301033	4301178	FBgn0194675	+	-204
Scf_2L	4468095	4469053	peak_543	4470361	4470404	FBgn0269933	+	1309
Scf_2L	4663297	4663643	peak_556	4667667	4667758	FBgn0194083	-	4025
Scf_2L	4668084	4668272	peak_559	4668129	4668148	FBgn0194689	+	0
Scf_2L	4758430	4758727	peak_564	4758819	4758995	FBgn0194077	-	93
Scf_2L	4820731	4820885	peak_580	4822501	4822860	FBgn0194066	-	1617
Scf_2L	4909955	4910062	peak_599	4909588	4910020	FBgn0194708	+	0
Scf_2L	4965175	4965348	peak_607	4921772	4922370	FBgn0194712	+	-42806
Scf_2L	4991526	4991744	peak_611	5011856	5011942	FBgn0194714	+	20113
Scf_2L	5030774	5030967	peak_615	5022387	5022728	FBgn0194715	+	-8047
Scf_2L	5037399	5037561	peak_618	5040761	5041782	FBgn0194057	-	3201
Scf_2L	5086488	5086652	peak_631	5086205	5086559	FBgn0194056	-	0
Scf_2L	5120295	5120572	peak_641	5123151	5123470	FBgn0194055	-	2580
Scf_2L	5139363	5139898	peak_648	5138634	5138719	FBgn0194721	+	-645
Scf_2L	5198665	5198869	peak_657	5150905	5151068	FBgn0194050	-	-47598
Scf_2L	5320688	5320839	peak_662	5324780	5324864	FBgn0194048	-	3942
Scf_2L	5541593	5542096	peak_680	5544828	5545115	FBgn0194034	-	2733
Scf_2L	5653180	5653362	peak_696	5674480	5674994	FBgn0194026	-	21119
Scf_2L	5686686	5686881	peak_705	5688249	5688268	FBgn0012821	-	1369
Scf_2L	5691660	5692192	peak_707	5689485	5689540	FBgn0012820	-	-2121
Scf_2L	5734025	5734218	peak_714	5738266	5738316	FBgn0269010	-	4049
Scf_2L	5770107	5770410	peak_720	5775473	5775650	FBgn0083419	-	5064
Scf_2L	5833638	5833924	peak_731	5833458	5833574	FBgn0194764	+	-65
Scf_2L	5864336	5864480	peak_738	5864409	5864544	FBgn0194769	+	0
Scf_2L	5869260	5869499	peak_742	5866301	5866494	FBgn0194770	+	-2767
Scf_2L	5975327	5975523	peak_752	5975446	5976020	FBgn0194780	+	0
Scf_2L	6010680	6010885	peak_753	6020536	6020568	FBgn0194781	+	9652
Scf_2L	6141064	6141541	peak_762	6146261	6146336	FBgn0193988	-	4721
Scf_2L	6187148	6187357	peak_766	6189772	6189917	FBgn0193981	-	2416
Scf_2L	6240135	6240356	peak_772	6240088	6240216	FBgn0193977	-	0
Scf_2L	6283098	6283298	peak_785	6273737	6273951	FBgn0194801	+	-9148
Scf_2L	6380396	6380926	peak_790	6385124	6385326	FBgn0194804	+	4199
Scf_2L	6451220	6451329	peak_810	6451203	6451291	FBgn0268439	-	0
Scf_2L	6490460	6490589	peak_814	6490937	6491020	FBgn0194810	+	349
Scf_2L	6551740	6552061	peak_818	6544469	6544538	FBgn0193943	-	-7203
Scf_2L	6557297	6558076	peak_820	6560229	6560672	FBgn0193942	-	2154
Scf_2L	6790275	6790524	peak_851	6789248	6789553	FBgn0194829	+	-723
Scf_2L	6811119	6811342	peak_858	6816897	6817735	FBgn0194834	+	5556
Scf_2L	6823894	6824242	peak_861	6824712	6824841	FBgn0270746	+	471
Scf_2L	6844736	6844961	peak_864	6843784	6844576	FBgn0193915	-	-161
Scf_2L	6918392	6918592	peak_869	6917402	6917838	FBgn0193914	-	-555
Scf_2L	7000661	7001036	peak_881	7005379	7005503	FBgn0193905	-	4344
Scf_2L	7101829	7102083	peak_887	7093747	7095032	FBgn0085995	+	-6798
Scf_2L	7156226	7156793	peak_889	7156374	7156791	FBgn0194848	+	0
Scf_2L	7163089	7163256	peak_890	7163076	7163167	FBgn0193898	-	0
Scf_2L	7244042	7244342	peak_901	7249687	7250404	FBgn0193892	-	5346
Scf_2L	7330702	7330876	peak_916	7333175	7333216	FBgn0194856	+	2300
Scf_2L	7427692	7427889	peak_926	7430386	7430564	FBgn0194859	+	2498
Scf_2L	7445139	7445282	peak_927	7444827	7444967	FBgn0268883	+	-173
Scf_2L	7454378	7454806	peak_929	7454603	7454945	FBgn0268085	+	0
Scf_2L	7541157	7541952	peak_935	7541981	7542254	FBgn0193870	-	30
Scf_2L	7633534	7633793	peak_951	7633193	7633645	FBgn0193861	-	0
Scf_2L	7658306	7658476	peak_954	7636775	7636815	FBgn0193859	-	-21492
Scf_2L	7701309	7701641	peak_956	7720210	7721291	FBgn0193857	-	18570
Scf_2L	7738000	7738163	peak_965	7736033	7736251	FBgn0194875	+	-1750
Scf_2L	7741201	7741396	peak_966	7741156	7741247	FBgn0193854	-	0
Scf_2L	7748714	7749137	peak_969	7747934	7748017	FBgn0193850	-	-698
Scf_2L	7749944	7750274	peak_971	7750167	7750388	FBgn0194876	+	0
Scf_2L	7760867	7761033	peak_975	7758158	7758272	FBgn0194878	+	-2596
Scf_2L	7861393	7861605	peak_988	7854213	7854864	FBgn0194884	+	-6530
Scf_2L	7886984	7887101	peak_989	7887092	7887345	FBgn0193841	-	0
Scf_2L	7924045	7924355	peak_992	7924431	7924529	FBgn0193838	-	77
Scf_2L	7932346	7932681	peak_996	7932522	7932967	FBgn0193837	-	0
Scf_2L	7941914	7942203	peak_1000	7941922	7942299	FBgn0194894	+	0
Scf_2L	7948490	7948695	peak_1001	7948466	7948574	FBgn0193833	-	0
Scf_2L	8004838	8005049	peak_1008	8005110	8005442	FBgn0193828	-	62
Scf_2L	8073434	8073756	peak_1018	8073757	8073947	FBgn0194905	+	2
Scf_2L	8088307	8088659	peak_1020	8089288	8089469	FBgn0193819	-	630
Scf_2L	8141797	8142193	peak_1037	8141818	8142133	FBgn0193808	-	0
Scf_2L	8160350	8160738	peak_1043	8160243	8160428	FBgn0193807	-	0
Scf_2L	8176545	8176909	peak_1045	8176657	8176834	FBgn0193805	-	0
Scf_2L	8182027	8182356	peak_1047	8181719	8182091	FBgn0193804	-	0
Scf_2L	8308917	8309338	peak_1067	8246550	8246775	FBgn0194933	+	-62143
Scf_2L	8375736	8375887	peak_1069	8386172	8386203	FBgn0194936	+	10286
Scf_2L	8422149	8422340	peak_1078	8422818	8423916	FBgn0193793	-	479
Scf_2L	8710427	8710812	peak_1104	8710447	8710523	FBgn0194961	+	0
Scf_2L	8856330	8856587	peak_1116	8849171	8849377	FBgn0183767	+	-6954
Scf_2L	8868301	8868430	peak_1119	8864340	8864491	FBgn0193770	-	-3811
Scf_2L	8871338	8871636	peak_1120	8874322	8874340	FBgn0194969	+	2687
Scf_2L	9121056	9121257	peak_1143	9121011	9121127	FBgn0193763	-	0
Scf_2L	9128482	9128660	peak_1146	9127723	9128216	FBgn0194984	+	-267
Scf_2L	9189101	9189237	peak_1155	9178923	9179119	FBgn0194985	+	-9983
Scf_2L	9204604	9204829	peak_1159	9204270	9204496	FBgn0194987	+	-109
Scf_2L	9253246	9253370	peak_1165	9252380	9252563	FBgn0184124	+	-684
Scf_2L	9302430	9302744	peak_1174	9299396	9299894	FBgn0194996	+	-2537
Scf_2L	9343651	9343827	peak_1175	9380307	9380424	FBgn0193752	-	36481
Scf_2L	9394987	9395581	peak_1183	9393970	9394107	FBgn0193749	-	-881
Scf_2L	9458479	9458601	peak_1190	9464769	9465159	FBgn0195007	+	6169
Scf_2L	9618201	9618364	peak_1211	9618262	9618367	FBgn0195015	+	0
Scf_2L	9641497	9641823	peak_1215	9645158	9645543	FBgn0193728	-	3336
Scf_2L	9666276	9666426	peak_1224	9665081	9665168	FBgn0195022	+	-1109
Scf_2L	9722846	9723611	peak_1229	9722995	9723102	FBgn0195028	+	0
Scf_2L	9876599	9876836	peak_1234	9876213	9876690	FBgn0193708	-	0
Scf_2L	9888086	9888412	peak_1239	9888251	9888349	FBgn0193703	-	0
Scf_2L	9888723	9888876	peak_1240	9888802	9888910	FBgn0195040	+	0
Scf_2L	9904919	9905435	peak_1244	9904360	9904499	FBgn0193701	-	-421
Scf_2L	9977315	9977515	peak_1256	9977753	9977846	FBgn0193691	-	239
Scf_2L	10017519	10017727	peak_1264	10017559	10017561	FBgn0195056	+	0
Scf_2L	10054113	10054305	peak_1267	10054152	10054190	FBgn0193673	-	0
Scf_2L	10054534	10054931	peak_1268	10054661	10054833	FBgn0195064	+	0
Scf_2L	10101439	10101816	peak_1279	10101564	10101669	FBgn0193667	-	0
Scf_2L	10116397	10116611	peak_1287	10116540	10116826	FBgn0066168	+	0
Scf_2L	10153228	10153425	peak_1289	10153239	10153327	FBgn0193661	-	0
Scf_2L	10222220	10222393	peak_1300	10212910	10213289	FBgn0269648	+	-8932
Scf_2L	10249801	10250118	peak_1303	10250381	10250496	FBgn0270792	+	264
Scf_2L	10311341	10311494	peak_1306	10313686	10315120	FBgn0193649	-	2193
Scf_2L	10343114	10343317	peak_1310	10322004	10322029	FBgn0250852	+	-21086
Scf_2L	10367729	10367904	peak_1311	10369832	10369855	FBgn0193645	-	1929
Scf_2L	10386777	10386941	peak_1312	10379060	10379148	FBgn0195100	+	-7630
Scf_2L	10404667	10404854	peak_1313	10404790	10404900	FBgn0269194	+	0
Scf_2L	10411577	10411687	peak_1316	10411737	10411863	FBgn0085905	-	51
Scf_2L	10424311	10424594	peak_1319	10419741	10419795	FBgn0193638	-	-4517
Scf_2L	10432923	10433256	peak_1321	10431695	10432295	FBgn0193637	-	-629
Scf_2L	10444241	10444362	peak_1323	10443676	10444020	FBgn0193636	-	-222
Scf_2L	10584234	10584751	peak_1338	10603195	10603259	FBgn0195115	+	18445
Scf_2L	10646608	10646788	peak_1350	10646709	10646896	FBgn0195121	+	0
Scf_2L	10739881	10740160	peak_1365	10749350	10749477	FBgn0195133	+	9191
Scf_2L	10935402	10935573	peak_1383	10936197	10936284	FBgn0195147	+	625
Scf_2L	11148361	11148906	peak_1393	11153351	11153442	FBgn0193582	-	4446
Scf_2L	11231660	11232213	peak_1401	11231349	11232043	FBgn0085048	+	0
Scf_2L	11330124	11330823	peak_1409	11306706	11306827	FBgn0269116	+	-23298
Scf_2L	11371946	11372103	peak_1411	11390109	11390157	FBgn0268700	-	18007
Scf_2L	11485516	11486163	peak_1425	11485698	11485777	FBgn0195164	+	0
Scf_2L	11630943	11631135	peak_1434	11630917	11631025	FBgn0193554	-	0
Scf_2L	11657739	11657944	peak_1438	11656152	11656489	FBgn0195179	+	-1251
Scf_2L	11697972	11698110	peak_1444	11692242	11692266	FBgn0193545	-	-5707
Scf_2L	11700401	11700588	peak_1445	11707163	11707680	FBgn0193543	-	6576
Scf_2L	11712761	11713064	peak_1453	11715448	11715636	FBgn0195185	+	2385
Scf_2L	11755330	11755516	peak_1461	11730622	11730949	FBgn0268724	-	-24382
Scf_2L	11899190	11899425	peak_1466	11829216	11829499	FBgn0270189	+	-69692
Scf_2L	11984834	11985143	peak_1472	11983837	11984000	FBgn0195201	+	-835
Scf_2L	12077398	12077771	peak_1490	12078408	12079256	FBgn0193521	-	638
Scf_2L	12413555	12413846	peak_1525	12411817	12412958	FBgn0084078	-	-598
Scf_2L	12544149	12544303	peak_1533	12555374	12555451	FBgn0195230	+	11072
Scf_2L	12638673	12638981	peak_1540	12640584	12641696	FBgn0193503	-	1604
Scf_2L	12707564	12707951	peak_1559	12712288	12712423	FBgn0195234	+	4338
Scf_2L	12727564	12727905	peak_1560	12725136	12725170	FBgn0193500	-	-2395
Scf_2L	12792339	12792718	peak_1570	12793234	12793550	FBgn0193492	-	517
Scf_2L	12813115	12813622	peak_1576	12813413	12813502	FBgn0195246	+	0
Scf_2L	12863095	12863410	peak_1578	12865431	12865552	FBgn0193487	-	2022
Scf_2L	12895695	12895854	peak_1583	12875186	12875482	FBgn0195255	+	-20214
Scf_2L	12978456	12978643	peak_1597	12974704	12974796	FBgn0193476	-	-3661
Scf_2L	13009464	13009681	peak_1599	13020335	13020424	FBgn0193470	-	10655
Scf_2L	13122656	13123432	peak_1612	13111911	13112200	FBgn0187148	+	-10457
Scf_2L	13197167	13197343	peak_1617	13198639	13199215	FBgn0193465	-	1297
Scf_2L	13279692	13279964	peak_1626	13317663	13317817	FBgn0195285	+	37700
Scf_2L	13427878	13428245	peak_1645	13443918	13443992	FBgn0262093	+	15674
Scf_2L	13451556	13451769	peak_1647	13452906	13453195	FBgn0195304	+	1138
Scf_2L	13536564	13536827	peak_1652	13514714	13514782	FBgn0193436	-	-21783
Scf_2L	13577171	13577337	peak_1661	13586071	13586305	FBgn0195316	+	8735
Scf_2L	13646024	13646236	peak_1664	13647934	13648116	FBgn0193431	-	1699
Scf_2L	13693096	13693402	peak_1665	13649362	13649423	FBgn0193430	-	-43674
Scf_2L	13755572	13755723	peak_1674	13775538	13776022	FBgn0193427	-	19816
Scf_2L	13807406	13807580	peak_1680	13805071	13805728	FBgn0195321	+	-1679
Scf_2L	13903686	13903831	peak_1689	13900973	13901209	FBgn0195326	+	-2478
Scf_2L	14152785	14152996	peak_1709	14154544	14154633	FBgn0012824	+	1549
Scf_2L	14194827	14195021	peak_1718	14217145	14217803	FBgn0193409	-	22125
Scf_2L	14253543	14253747	peak_1724	14268669	14268749	FBgn0195337	+	14923
Scf_2L	14337842	14338106	peak_1726	14331568	14331924	FBgn0195344	+	-5919
Scf_2L	14504469	14504650	peak_1730	14518271	14518355	FBgn0195347	+	13622
Scf_2L	14630494	14630635	peak_1743	14626017	14626421	FBgn0195356	+	-4074
Scf_2L	14749385	14749605	peak_1751	14728185	14728262	FBgn0268110	-	-21124
Scf_2L	14854091	14854380	peak_1753	14855852	14855915	FBgn0193382	-	1473
Scf_2L	14937794	14938154	peak_1761	14874544	14874638	FBgn0193379	-	-63157
Scf_2L	15092214	15092801	peak_1766	15090178	15090271	FBgn0195370	+	-1944
Scf_2L	15196266	15197078	peak_1768	15197964	15197978	FBgn0193365	-	887
Scf_2L	15441729	15441950	peak_1784	15440982	15441015	FBgn0269321	-	-715
Scf_2L	15560579	15560804	peak_1791	15544506	15544657	FBgn0193346	-	-15923
Scf_2L	15768461	15768673	peak_1796	15769415	15769448	FBgn0268134	+	743
Scf_2L	15789301	15789683	peak_1804	15789392	15789466	FBgn0195403	+	0
Scf_2L	15883635	15883925	peak_1834	15882222	15882395	FBgn0193329	-	-1241
Scf_2L	15986950	15987102	peak_1838	15977371	15977491	FBgn0044199	+	-9460
Scf_2L	16020017	16020281	peak_1847	16017807	16018188	FBgn0195416	+	-1830
Scf_2L	16049990	16050153	peak_1857	16047354	16047589	FBgn0193326	-	-2402
Scf_2L	16064940	16065265	peak_1863	16061774	16061932	FBgn0195417	+	-3009
Scf_2L	16108624	16108805	peak_1867	16124338	16124453	FBgn0268452	+	15534
Scf_2L	16177396	16178146	peak_1875	16184683	16185013	FBgn0195422	+	6538
Scf_2L	16230823	16230998	peak_1881	16230796	16230894	FBgn0269624	-	0
Scf_2L	16321828	16322022	peak_1895	16321887	16321970	FBgn0195439	+	0
Scf_2L	16421620	16421737	peak_1910	16421612	16421674	FBgn0193303	-	0
Scf_2L	16483076	16483511	peak_1912	16483399	16483507	FBgn0269990	-	0
Scf_2L	16491143	16491343	peak_1914	16491332	16492110	FBgn0195453	+	0
Scf_2L	16501779	16502261	peak_1916	16500641	16501557	FBgn0270809	-	-223
Scf_2L	16529566	16529948	peak_1918	16531964	16532106	FBgn0193301	-	2017
Scf_2L	16854984	16855599	peak_1931	16827494	16827965	FBgn0269077	-	-27020
Scf_2L	16903166	16903606	peak_1940	16895526	16895717	FBgn0195463	+	-7450
Scf_2L	16910943	16911341	peak_1944	16916269	16916446	FBgn0193291	-	4929
Scf_2L	17353432	17353589	peak_1965	17266314	17267179	FBgn0193272	-	-86254
Scf_2L	17386903	17387125	peak_1966	17470663	17470861	FBgn0195475	+	83539
Scf_2L	17620712	17620914	peak_1971	17620297	17620437	FBgn0195486	+	-276
Scf_2L	17624261	17624440	peak_1972	17625904	17625989	FBgn0195487	+	1465
Scf_2L	17655054	17655335	peak_1980	17658225	17658603	FBgn0193262	-	2891
Scf_2L	17772417	17772823	peak_1989	17764865	17765000	FBgn0193256	-	-7418
Scf_2L	17801858	17802026	peak_1991	17802088	17802406	FBgn0195493	+	63
Scf_2L	17820539	17820693	peak_1994	17817307	17818133	FBgn0269298	-	-2407
Scf_2L	17887258	17887847	peak_2005	17884920	17884951	FBgn0041931	-	-2308
Scf_2L	17904815	17905348	peak_2008	17904269	17904712	FBgn0270891	+	-104
Scf_2L	18035264	18035543	peak_2030	18031401	18031546	FBgn0183773	+	-3719
Scf_2L	18084011	18084156	peak_2034	18092762	18093794	FBgn0193249	-	8607
Scf_2L	18125081	18125360	peak_2042	18126076	18126173	FBgn0193247	-	717
Scf_2L	18284771	18285042	peak_2066	18308484	18309063	FBgn0193229	-	23443
Scf_2L	18414889	18415292	peak_2081	18376256	18376361	FBgn0193222	-	-38529
Scf_2L	18453068	18453209	peak_2083	18459766	18460255	FBgn0193219	-	6558
Scf_2L	18497259	18497688	peak_2096	18491838	18492034	FBgn0195521	+	-5226
Scf_2L	18574934	18575537	peak_2111	18571306	18572076	FBgn0195533	+	-2859
Scf_2L	18636651	18636892	peak_2115	18636728	18636915	FBgn0016334	-	0
Scf_2L	18651394	18651876	peak_2122	18650579	18650590	FBgn0270724	+	-805
Scf_2L	18671668	18671887	peak_2125	18675008	18675124	FBgn0084788	+	3122
Scf_2L	18853045	18853428	peak_2136	18858250	18858633	FBgn0193188	-	4823
Scf_2L	18886184	18886720	peak_2141	18886493	18886622	FBgn0193186	-	0
Scf_2L	18911448	18912191	peak_2145	18914547	18914566	FBgn0195551	+	2357
Scf_2L	18956868	18957076	peak_2156	18950553	18950680	FBgn0195558	+	-6189
Scf_2L	18980245	18980380	peak_2157	18980178	18980277	FBgn0193178	-	0
Scf_2L	19027972	19028117	peak_2166	19028344	19028669	FBgn0195569	+	228
Scf_2L	19037790	19037945	peak_2169	19036853	19037186	FBgn0013883	+	-605
Scf_2L	19043954	19045719	peak_2171	19044242	19044398	FBgn0264798	+	0
Scf_2L	19171308	19171662	peak_2182	19199494	19199582	FBgn0193162	-	27833
Scf_2L	19276989	19277362	peak_2195	19254750	19254928	FBgn0193154	-	-22062
Scf_2L	19392037	19392590	peak_2206	19393889	19394175	FBgn0195584	+	1300
Scf_2L	19449985	19450256	peak_2213	19469948	19470409	FBgn0193145	-	19693
Scf_2L	19522051	19523010	peak_2224	19525071	19525081	FBgn0193141	-	2062
Scf_2L	19531505	19531842	peak_2227	19528447	19528680	FBgn0195592	+	-2826
Scf_2L	19584700	19584827	peak_2238	19581719	19583114	FBgn0183699	-	-1587
Scf_2L	19691546	19691786	peak_2245	19706180	19706430	FBgn0193134	-	14395
Scf_2L	19778005	19778297	peak_2248	19780367	19780465	FBgn0193130	-	2071
Scf_2L	20085541	20085963	peak_2269	20077463	20077556	FBgn0195621	+	-7986
Scf_2L	20104732	20105246	peak_2275	20103518	20103680	FBgn0195623	+	-1053
Scf_2L	20159284	20159689	peak_2284	20155549	20155729	FBgn0183779	+	-3556
Scf_2L	20182999	20183272	peak_2293	20170896	20171417	FBgn0195627	+	-11583
Scf_2L	20216381	20216804	peak_2300	20210332	20211142	FBgn0195630	+	-5240
Scf_2L	20330080	20330277	peak_2319	20330728	20330863	FBgn0193090	-	452
Scf_2L	20383996	20384309	peak_2325	20339564	20339740	FBgn0193087	-	-44257
Scf_2L	20416359	20417542	peak_2328	20441213	20441346	FBgn0269015	-	23672
Scf_2L	20479001	20479215	peak_2334	20478930	20479082	FBgn0193080	-	0
Scf_2L	20539726	20540076	peak_2339	20540682	20540900	FBgn0193075	-	607
Scf_2L	20602309	20602580	peak_2350	20602555	20602674	FBgn0195657	+	0
Scf_2L	20687438	20688109	peak_2365	20694912	20695234	FBgn0195662	+	6804
Scf_2L	20724434	20724944	peak_2370	20714138	20714326	FBgn0195663	+	-10109
Scf_2L	20929183	20929666	peak_2395	20917849	20918008	FBgn0193055	-	-11176
Scf_2L	21037828	21038138	peak_2405	21043900	21043906	FBgn0193054	-	5763
Scf_2L	21306630	21306785	peak_2411	21331584	21331684	FBgn0193044	-	24800
Scf_2L	21367042	21367336	peak_2420	21375083	21375100	FBgn0268565	+	7748
Scf_2L	21490019	21490350	peak_2426	21488930	21488952	FBgn0193037	+	-1068
Scf_2L	21756341	21756715	peak_2442	21757019	21757119	FBgn0269309	+	305
Scf_2L	22881294	22881430	peak_2481	22877737	22877830	FBgn0268101	+	-3465
Scf_2R	1710607	1710793	peak_2564	1750551	1750604	FBgn0270476	-	39759
Scf_2R	2529593	2529927	peak_2600	2529493	2529571	FBgn0182125	-	-23
Scf_2R	2548971	2549291	peak_2603	2539550	2539726	FBgn0269418	+	-9246
Scf_2R	2701552	2702460	peak_2617	2701742	2701749	FBgn0182120	-	0
Scf_2R	2901133	2901366	peak_2629	2906539	2906649	FBgn0182114	-	5174
Scf_2R	2914129	2914310	peak_2633	2912807	2912934	FBgn0182113	-	-1196
Scf_2R	2919422	2919759	peak_2634	2924374	2924600	FBgn0186982	-	4616
Scf_2R	3024909	3025164	peak_2647	3020847	3020988	FBgn0182169	+	-3922
Scf_2R	3580911	3581078	peak_2718	3581169	3581323	FBgn0182200	+	92
Scf_2R	3730281	3730542	peak_2738	3731557	3731853	FBgn0182056	-	1016
Scf_2R	3734287	3734622	peak_2741	3732320	3732609	FBgn0182210	+	-1679
Scf_2R	3768394	3768745	peak_2748	3770414	3770509	FBgn0182218	+	1670
Scf_2R	3782630	3782829	peak_2750	3782770	3782958	FBgn0182223	+	0
Scf_2R	3876699	3876898	peak_2755	3883339	3883402	FBgn0182230	+	6442
Scf_2R	3890904	3891384	peak_2757	3890999	3891060	FBgn0182043	-	0
Scf_2R	3956490	3956601	peak_2761	3964903	3965390	FBgn0182041	-	8303
Scf_2R	3972986	3973225	peak_2765	3969028	3969294	FBgn0187006	+	-3693
Scf_2R	4168888	4169552	peak_2789	4169250	4169399	FBgn0182031	-	0
