gene	JC	K2P
FBgn0000008	 10.24 10.29
FBgn0002534	  9.69  9.73
FBgn0002535	  4.63  4.64
FBgn0002542	 17.73 17.77
FBgn0002552	  9.59  9.63
FBgn0002561	  5.34  5.34
FBgn0002562	  2.03  2.03
FBgn0002563	  3.06  3.06
FBgn0002564	  4.11  4.11
FBgn0002565	  -0.00  -0.00
FBgn0002569	  -0.00  -0.00
FBgn0002570	  1.01  1.01
FBgn0002571	  5.17  5.18
FBgn0002573	  2.03  2.04
FBgn0002576	  1.01  1.01
FBgn0002579	  5.28  5.30
FBgn0002592	  -0.00  -0.00
FBgn0002593	 10.85 10.88
FBgn0002609	  2.03  2.04
FBgn0002626	  5.17  5.18
FBgn0002629	  2.03  2.03
FBgn0002631	  1.01  1.01
FBgn0002632	  2.03  2.03
FBgn0002633	  1.01  1.01
FBgn0002638	 11.90 12.01
FBgn0002641	  3.16  3.17
FBgn0002643	  3.06  3.09
FBgn0002645	  6.25  6.25
FBgn0002673	 22.64 22.64
FBgn0002715	  3.13  3.13
FBgn0002732	  -0.00  -0.00
FBgn0002733	  2.03  2.03
FBgn0002734	  -0.00  -0.00
FBgn0002735	  1.03  1.03
FBgn0002736	  7.84  7.84
FBgn0002772	  4.63  4.64
FBgn0002773	  1.01  1.01
FBgn0002774	  9.14  9.20
FBgn0002775	  5.17  5.22
FBgn0002778	  2.03  2.03
FBgn0002780	  5.23  5.23
FBgn0002781	  1.01  1.01
FBgn0002783	 14.86 14.88
FBgn0002787	  1.04  1.04
FBgn0002789	  -0.00  -0.00
FBgn0002791	  5.28  5.28
FBgn0002838	  5.86  5.90
FBgn0002842	 16.74 16.74
FBgn0002862	  -0.00  -0.00
FBgn0002863	 16.74 16.78
FBgn0002865	  5.17  5.19
FBgn0002868	  1.02  1.02
FBgn0002869	  2.03  2.03
FBgn0002872	  3.53  3.54
FBgn0002878	  8.46  8.48
FBgn0002891	 24.21 24.23
FBgn0002901	  9.57  9.66
FBgn0002906	  7.59  7.59
FBgn0002917	  5.17  5.19
FBgn0002921	 14.28 14.42
FBgn0002922	  2.05  2.05
FBgn0002924	  4.11  4.11
FBgn0002926	  -0.00  -0.00
FBgn0002930	  6.25  6.25
FBgn0002931	  -0.00  -0.00
FBgn0002932	 12.03 12.03
FBgn0002936	  2.03  2.03
FBgn0002937	  3.06  3.06
FBgn0002938	  4.15  4.16
FBgn0002939	  6.25  6.33
FBgn0002940	  5.17  5.19
FBgn0002941	  2.31  2.31
FBgn0002948	 11.87 12.10
FBgn0002962	 11.71 11.73
FBgn0002985	  -0.00  -0.00
FBgn0002989	 13.22 13.32
FBgn0003008	  7.35  7.36
FBgn0003009	 10.36 10.41
FBgn0003011	  3.06  3.06
FBgn0003015	  4.11  4.13
FBgn0003023	 19.46 19.49
FBgn0003028	  1.01  1.01
FBgn0003034	  5.17  5.18
FBgn0003041	  7.23  7.25
FBgn0003044	  4.33  4.34
FBgn0003046	  1.01  1.01
FBgn0003048	  5.23  5.28
FBgn0003053	  3.06  3.09
FBgn0003057	  4.55  4.55
FBgn0003060	  2.03  2.03
FBgn0003062	 17.43 17.51
FBgn0003065	  -0.00  -0.00
FBgn0003068	  1.01  1.01
FBgn0003071	  1.08  1.08
FBgn0003074	  3.06  3.07
FBgn0003076	  2.21  2.21
FBgn0003079	  7.60  7.65
FBgn0003082	  9.43  9.47
FBgn0003086	  6.60  6.60
FBgn0003087	 10.73 10.73
FBgn0003089	  -0.00  -0.00
FBgn0003090	  3.45  3.49
FBgn0003091	  6.32  6.32
FBgn0003093	  4.11  4.13
FBgn0003114	 14.28 14.30
FBgn0003116	 13.67 13.78
FBgn0003117	  4.15  4.16
FBgn0003118	  4.11  4.13
FBgn0003124	 18.35 18.36
FBgn0003129	  4.38  4.39
FBgn0003130	  4.11  4.11
FBgn0003137	  2.03  2.04
FBgn0003139	 18.20 18.20
FBgn0003140	  7.76  7.83
FBgn0003141	 13.08 13.17
FBgn0003145	  3.06  3.09
FBgn0003149	  6.25  6.25
FBgn0003159	  3.16  3.17
FBgn0003162	  5.17  5.19
FBgn0003165	  6.25  6.25
FBgn0003169	 15.50 15.62
FBgn0003175	  9.69  9.73
FBgn0003187	  4.48  4.48
FBgn0003189	  9.59  9.63
FBgn0003204	  3.06  3.07
FBgn0003205	 10.73 10.74
FBgn0003206	  7.35  7.35
FBgn0003231	  9.59  9.82
FBgn0003249	  1.01  1.01
FBgn0003250	  4.11  4.11
FBgn0003254	  -0.00  -0.00
FBgn0003255	  -0.00  -0.00
FBgn0003257	  8.64  8.66
FBgn0003261	  6.98  7.16
FBgn0003267	  -0.00  -0.00
FBgn0003268	  6.25  6.26
FBgn0003270	  6.25  6.26
FBgn0003274	  5.17  5.18
FBgn0003278	 16.74 16.78
FBgn0003285	  4.11  4.11
FBgn0003292	  5.17  5.18
FBgn0003295	  -0.00  -0.00
FBgn0003300	  3.06  3.06
FBgn0003301	  5.17  5.18
FBgn0003308	  3.13  3.16
FBgn0003310	 10.73 10.86
FBgn0003312	  1.01  1.01
FBgn0003317	 10.01 10.11
FBgn0003319	  2.11  2.13
FBgn0003321	  8.46  8.46
FBgn0003326	  3.06  3.07
FBgn0003330	  6.25  6.29
FBgn0003334	-nan	-nan
FBgn0003339	  2.05  2.05
FBgn0003346	  3.13  3.13
FBgn0003353	  7.06  7.06
FBgn0003356	  3.53  3.54
FBgn0003357	  3.06  3.06
FBgn0003366	  -0.00  -0.00
FBgn0003371	  7.35  7.35
FBgn0003372	  6.25  6.29
FBgn0003375	  5.28  5.30
FBgn0003377	 10.73 10.80
FBgn0003378	  6.90  6.94
FBgn0003380	  1.01  1.01
FBgn0003382	  -0.00  -0.00
FBgn0003388	  -0.00  -0.00
FBgn0003390	  5.23  5.23
FBgn0003392	  3.09  3.09
FBgn0003396	  6.53  6.55
FBgn0003401	 10.73 10.73
FBgn0003410	  7.35  7.36
FBgn0003411	  4.38  4.45
FBgn0003415	  7.43  7.43
FBgn0003416	  8.31  8.31
FBgn0003423	  9.69  9.73
FBgn0003429	  -0.00  -0.00
FBgn0003430	  1.01  1.01
FBgn0003435	  1.02  1.02
FBgn0003444	  4.58  4.58
FBgn0003447	  2.03  2.04
FBgn0003448	  2.07  2.08
FBgn0003449	 15.85 15.91
FBgn0003450	  5.17  5.18
FBgn0003460	  -0.00  -0.00
FBgn0003462	 14.76 14.77
FBgn0003463	  3.06  3.06
FBgn0003464	  3.30  3.31
FBgn0003475	 10.73 10.73
FBgn0003479	 10.85 10.88
FBgn0003480	  3.06  3.07
FBgn0003482	 10.36 10.41
FBgn0003483	 21.32 21.37
FBgn0003495	  4.76  4.76
FBgn0003499	  -0.00  -0.00
FBgn0003502	  8.23  8.29
FBgn0003507	  -0.00  -0.00
FBgn0003512	  4.15  4.18
FBgn0003513	  2.03  2.03
FBgn0003514	 25.86 25.88
FBgn0003515	  7.35  7.35
FBgn0003517	  6.39  6.42
FBgn0003520	  4.11  4.11
FBgn0003525	  2.14  2.14
FBgn0003545	 11.90 11.91
FBgn0003557	  8.55  8.57
FBgn0003559	-nan	-nan
FBgn0003567	 10.97 11.04
FBgn0003575	  5.17  5.22
FBgn0003598	 12.30 12.30
FBgn0003607	 18.85 19.22
FBgn0003655	 11.88 11.97
FBgn0003660	 11.21 11.24
FBgn0003687	 11.90 11.95
FBgn0003701	-nan	-nan
FBgn0003714	 11.90 11.91
FBgn0003716	  5.46  5.46
FBgn0003719	  -0.00  -0.00
FBgn0003720	  2.03  2.03
FBgn0003721	  9.80  9.84
FBgn0003733	  5.23  5.24
FBgn0003741	  6.32  6.36
FBgn0003744	  4.11  4.11
FBgn0003747	 15.29 15.29
FBgn0003748	  7.67  7.80
FBgn0003751	  2.03  2.04
FBgn0003861	  2.03  2.04
FBgn0003862	 10.85 10.85
FBgn0003865	  6.25  6.25
FBgn0003866	  5.52  5.54
FBgn0003867	  3.37  3.38
FBgn0003870	  1.01  1.01
FBgn0003882	  9.69  9.69
FBgn0003884	  5.64  5.66
FBgn0003885	 10.97 10.97
FBgn0003886	  9.35  9.41
FBgn0003888	  1.01  1.01
FBgn0003889	  6.60  6.61
FBgn0003890	  2.11  2.12
FBgn0003891	  6.36  6.38
FBgn0003892	  2.07  2.07
FBgn0003896	  1.26  1.26
FBgn0003938	  6.25  6.26
FBgn0003941	 17.01 17.01
FBgn0003943	  7.43  7.45
FBgn0003944	  -0.00  -0.00
FBgn0003950	 10.36 10.36
FBgn0003961	  1.02  1.02
FBgn0003965	  3.16  3.19
FBgn0003969	  9.46  9.46
FBgn0003975	  1.01  1.01
FBgn0003978	 12.03 12.03
FBgn0003979	  3.06  3.07
FBgn0003980	  4.15  4.15
FBgn0003983	  3.06  3.06
FBgn0003984	  -0.00  -0.00
FBgn0003997	  -0.00  -0.00
FBgn0004003	  5.17  5.22
FBgn0004034	  1.01  1.01
FBgn0004045	  3.06  3.07
FBgn0004049	 15.50 15.52
FBgn0004050	  6.32  6.33
FBgn0004052	  1.04  1.04
FBgn0004053	  1.02  1.02
FBgn0004054	  6.25  6.26
FBgn0004066	 12.30 12.31
FBgn0004101	  2.03  2.03
FBgn0004102	  -0.00  -0.00
FBgn0004103	  9.59  9.68
FBgn0004106	  7.23  7.25
FBgn0004108	  3.06  3.07
FBgn0004110	  3.06  3.06
FBgn0004117	  3.06  3.07
FBgn0004118	  1.01  1.01
FBgn0004132	  4.11  4.11
FBgn0004133	  5.28  5.30
FBgn0004143	  8.62  8.65
FBgn0004167	  5.23  5.24
FBgn0004168	  2.03  2.03
FBgn0004169	  1.01  1.01
FBgn0004170	  2.14  2.14
FBgn0004172	  6.22  6.23
FBgn0004173	  6.25  6.29
FBgn0004174	  5.40  5.40
FBgn0004175	 20.44 20.70
FBgn0004177	 35.97 38.51
FBgn0004181	  3.06  3.07
FBgn0004185	  7.35  7.35
FBgn0004189	 13.08 13.08
FBgn0004191	-nan	-nan
FBgn0004192	  7.35  7.35
FBgn0004197	  5.17  5.18
FBgn0004198	  -0.00  -0.00
FBgn0004227	  8.46  8.46
FBgn0004228	  9.59  9.82
FBgn0004240	  6.32  6.36
FBgn0004242	  1.01  1.01
FBgn0004244	  1.01  1.01
FBgn0004359	  6.98  6.99
FBgn0004360	  1.03  1.03
FBgn0004362	  -0.00  -0.00
FBgn0004363	 19.54 19.99
FBgn0004367	  8.83  8.89
FBgn0004368	  9.59  9.67
FBgn0004369	  2.03  2.04
FBgn0004372	 11.88 11.97
FBgn0004373	  5.17  5.19
FBgn0004374	  5.17  5.19
FBgn0004379	 20.58 20.90
FBgn0004380	  9.14  9.14
FBgn0004387	  6.25  6.26
FBgn0004389	  5.28  5.33
FBgn0004390	 14.28 14.35
FBgn0004391	 14.28 14.35
FBgn0004394	 18.38 18.61
FBgn0004396	  7.35  7.37
FBgn0004397	  8.74  8.75
FBgn0004401	  8.95  8.95
FBgn0004403	 14.28 14.31
FBgn0004404	  -0.00  -0.00
FBgn0004406	-nan	-nan
FBgn0004414	  2.03  2.03
FBgn0004419	  6.60  6.61
FBgn0004427	  4.20  4.22
FBgn0004429	  2.11  2.11
FBgn0004432	  2.03  2.04
FBgn0004449	  6.46  6.47
FBgn0004507	  2.03  2.03
FBgn0004509	  7.51  7.51
FBgn0004510	  8.46  8.48
FBgn0004512	  4.20  4.20
FBgn0004513	  3.06  3.07
FBgn0004514	  3.06  3.07
FBgn0004516	  3.06  3.06
FBgn0004552	  1.01  1.01
FBgn0004554	  1.01  1.01
FBgn0004567	  7.35  7.37
FBgn0004569	  -0.00  -0.00
FBgn0004574	 10.73 10.74
FBgn0004575	  1.01  1.01
FBgn0004577	  5.17  5.18
FBgn0004580	  1.01  1.01
FBgn0004581	  6.25  6.26
FBgn0004583	  3.06  3.07
FBgn0004584	  9.18  9.21
FBgn0004587	  6.25  6.26
FBgn0004588	  3.37  3.38
FBgn0004589	  6.32  6.32
FBgn0004590	  8.46  8.46
FBgn0004591	  5.17  5.18
FBgn0004592	  7.35  7.37
FBgn0004593	  3.09  3.09
FBgn0004594	  1.01  1.01
FBgn0004595	  -0.00  -0.00
FBgn0004597	  1.03  1.03
FBgn0004598	  -0.00  -0.00
FBgn0004606	  5.17  5.20
FBgn0004607	  6.25  6.26
FBgn0004611	  7.51  7.52
FBgn0004618	  1.08  1.08
FBgn0004619	  1.02  1.02
FBgn0004622	  3.06  3.06
FBgn0004623	  1.01  1.01
FBgn0004629	  6.32  6.33
FBgn0004635	  7.59  7.59
FBgn0004636	  4.43  4.50
FBgn0004638	  2.03  2.03
FBgn0004643	 10.24 10.29
FBgn0004644	  6.05  6.07
FBgn0004646	  1.35  1.35
FBgn0004647	  9.59  9.60
FBgn0004648	  4.15  4.16
FBgn0004649	  5.17  5.18
FBgn0004650	  6.25  6.26
FBgn0004652	  1.02  1.02
FBgn0004656	  5.17  5.19
FBgn0004657	  2.11  2.12
FBgn0004666	  1.11  1.11
FBgn0004687	  4.11  4.11
FBgn0004698	  9.35  9.36
FBgn0004777	  1.01  1.01
FBgn0004778	  4.15  4.15
FBgn0004780	  5.17  5.19
FBgn0004781	  1.01  1.01
FBgn0004782	  1.01  1.01
FBgn0004783	  1.01  1.01
FBgn0004784	  3.06  3.07
FBgn0004795	  -0.00  -0.00
FBgn0004797	 16.45 16.49
FBgn0004811	 14.60 14.60
FBgn0004828	 16.22 16.24
FBgn0004832	  4.11  4.11
FBgn0004837	  9.69  9.78
FBgn0004838	  7.43  7.45
FBgn0004839	  6.25  6.26
FBgn0004841	  6.03  6.04
FBgn0004842	  4.20  4.20
FBgn0004852	  1.01  1.01
FBgn0004854	  1.21  1.22
FBgn0004855	 11.90 12.01
FBgn0004858	  -0.00  -0.00
FBgn0004859	 15.05 15.11
FBgn0004862	  3.23  3.24
FBgn0004863	  -0.00  -0.00
FBgn0004864	  5.17  5.19
FBgn0004865	  3.06  3.07
FBgn0004867	 11.21 11.24
FBgn0004870	  -0.00  -0.00
FBgn0004872	-nan	-nan
FBgn0004875	  6.13  6.13
FBgn0004878	  4.11  4.13
FBgn0004880	  2.03  2.03
FBgn0004882	  5.17  5.18
FBgn0004885	 12.58 12.70
FBgn0004889	  7.35  7.41
FBgn0004892	  -0.00  -0.00
FBgn0004893	  7.51  7.53
FBgn0004895	  1.01  1.01
FBgn0004896	  -0.00  -0.00
FBgn0004897	  -0.00  -0.00
FBgn0004898	  1.03  1.03
FBgn0004901	  7.35  7.35
FBgn0004903	  1.51  1.52
FBgn0004907	  9.59  9.60
FBgn0004908	  4.15  4.18
FBgn0004910	  2.03  2.03
FBgn0004911	  3.09  3.09
FBgn0004914	  7.43  7.45
FBgn0004915	 10.73 10.94
FBgn0004919	  4.11  4.11
FBgn0004921	 10.85 10.88
FBgn0004924	 16.74 16.78
FBgn0004926	  8.83  8.84
FBgn0004956	  1.01  1.01
FBgn0004957	  9.59  9.60
FBgn0004959	  -0.00  -0.00
FBgn0005198	  4.15  4.18
FBgn0005278	 10.86 10.91
FBgn0005355	  6.25  6.26
FBgn0005390	 14.44 14.58
FBgn0005391	  2.03  2.03
FBgn0005411	 11.51 11.51
FBgn0005533	 10.97 11.04
FBgn0005561	  1.01  1.01
FBgn0005564	  2.03  2.03
FBgn0005585	  3.06  3.06
FBgn0005586	  2.03  2.04
FBgn0005590	  9.35  9.56
FBgn0005596	  5.17  5.18
FBgn0005612	  1.04  1.04
FBgn0005613	  7.84  7.85
FBgn0005614	  -0.00  -0.00
FBgn0005616	  7.35  7.35
FBgn0005619	 10.61 10.62
FBgn0005624	  3.16  3.17
FBgn0005626	  -0.00  -0.00
FBgn0005631	  2.03  2.03
FBgn0005632	  9.80  9.84
FBgn0005636	  -0.00  -0.00
FBgn0005638	  -0.00  -0.00
FBgn0005640	  5.23  5.24
FBgn0005642	  3.06  3.06
FBgn0005649	  2.03  2.03
FBgn0005659	  1.01  1.01
FBgn0005660	  7.35  7.35
FBgn0005664	  1.01  1.01
FBgn0005666	  3.33  3.33
FBgn0005670	  1.33  1.33
FBgn0005671	 12.30 12.31
FBgn0005672	  9.30  9.31
FBgn0005674	  9.59  9.60
FBgn0005677	  2.03  2.03
FBgn0005683	  9.59  9.63
FBgn0005694	  5.23  5.23
FBgn0005695	 12.03 12.08
FBgn0005696	 11.67 11.77
FBgn0005771	  2.03  2.03
FBgn0005775	  -0.00  -0.00
FBgn0005777	  7.35  7.35
FBgn0005778	  8.46  8.46
FBgn0005779	-nan	-nan
FBgn0008635	  4.11  4.11
FBgn0008636	  4.11  4.11
FBgn0008646	  1.12  1.12
FBgn0008651	  3.06  3.07
FBgn0010015	  1.01  1.01
FBgn0010038	  8.31  8.31
FBgn0010039	 11.71 11.84
FBgn0010040	 12.96 13.00
FBgn0010041	-nan	-nan
FBgn0010043	  9.69  9.78
FBgn0010051	  6.60  6.68
FBgn0010052	  9.06  9.25
FBgn0010053	  3.06  3.07
FBgn0010078	  7.35  7.35
FBgn0010097	  8.74  8.74
FBgn0010105	  1.01  1.01
FBgn0010109	  3.06  3.07
FBgn0010113	  -0.00  -0.00
FBgn0010114	  3.06  3.06
FBgn0010173	  8.64  8.66
FBgn0010194	  -0.00  -0.00
FBgn0010197	  6.25  6.29
FBgn0010213	 11.47 11.50
FBgn0010217	 19.28 19.51
FBgn0010220	  7.67  7.74
FBgn0010222	 11.90 11.90
FBgn0010223	  9.69  9.70
FBgn0010226	  4.98  4.98
FBgn0010235	 10.73 10.74
FBgn0010238	 17.12 17.31
FBgn0010240	  2.09  2.11
FBgn0010241	  6.25  6.33
FBgn0010246	  5.17  5.22
FBgn0010263	 10.85 10.88
FBgn0010265	 11.90 11.97
