gene	N	S	dN	dS	w
FBgn0000253	355.5	91.5	0.0	0.037	0.001
FBgn0000256	3042.7	1040.3	0.0218	0.1027	0.2125
FBgn0000257	1514.9	399.1	0.0047	0.0984	0.048
FBgn0000259	547.1	154.9	0.0571	0.1541	0.3704
FBgn0000261	1216.1	301.9	0.0076	0.0782	0.097
FBgn0000273	883.3	175.7	0.0001	0.0583	0.001
FBgn0000274	845.5	189.5	0.1096	0.3495	0.3137
FBgn0000278	141.5	47.5	0.0071	0.1419	0.05
FBgn0000283	2429.7	858.3	0.0134	0.0901	0.1484
FBgn0000286	1075.3	361.7	0.0057	0.0776	0.0739
FBgn0000287	2847.0	954.0	0.0063	0.0965	0.0656
FBgn0000289	1848.4	662.6	0.0022	0.0678	0.0324
FBgn0000299	3570.5	1754.5	0.0225	0.0888	0.2535
FBgn0000303	1648.7	514.3	0.0018	0.1084	0.017
FBgn0000307	3799.1	1315.9	0.013	0.0887	0.1466
FBgn0000308	283.0	95.0	0.0037	0.0	99.0
FBgn0000316	1323.3	479.7	0.0208	0.1157	0.1801
FBgn0000317	5003.8	1497.2	0.0008	0.1306	0.0061
FBgn0000318	322.0	56.0	0.0094	0.1353	0.0697
FBgn0000319	3832.7	1201.3	0.0005	0.0855	0.0062
FBgn0000320	1811.1	486.9	0.004	0.0962	0.0411
FBgn0000326	1253.6	432.4	0.0178	0.1347	0.1318
FBgn0000330	982.0	263.0	0.0021	0.1514	0.0137
FBgn0000337	1031.0	295.0	0.0724	0.2776	0.2609
FBgn0000339	309.6	122.4	0.0033	0.0881	0.0378
FBgn0000346	1748.3	486.7	0.0034	0.1959	0.0176
FBgn0000351	1163.7	285.3	0.0052	0.164	0.0319
FBgn0000352	2768.7	828.3	0.0125	0.1275	0.0978
FBgn0000355	264.1	80.9	0.0326	0.1574	0.2075
FBgn0000356	302.7	111.3	0.0471	0.0901	0.523
FBgn0000358	415.4	103.6	0.0075	0.16	0.047
FBgn0000359	652.0	194.0	0.0016	0.0969	0.016
FBgn0000360	670.9	247.1	0.0001	0.0572	0.001
FBgn0000370	847.5	295.5	0.0391	0.1096	0.3567
FBgn0000376	2267.4	657.6	0.0282	0.1422	0.198
FBgn0000377	1666.8	439.2	0.0066	0.1251	0.0531
FBgn0000384	1076.6	294.4	0.0084	0.0981	0.0857
FBgn0000392	2605.7	715.3	0.0187	0.1747	0.1073
FBgn0000394	657.7	113.3	0.0002	0.1708	0.001
FBgn0000395	1772.8	480.2	0.0046	0.1095	0.0418
FBgn0000404	1143.0	324.0	0.0097	0.1113	0.0876
FBgn0000405	1190.2	399.8	0.007	0.0679	0.1031
FBgn0000406	1012.7	295.3	0.007	0.1314	0.0535
FBgn0000411	837.0	309.0	0.0012	0.0608	0.0201
FBgn0000412	677.9	243.1	0.0366	0.1096	0.3338
FBgn0000414	5137.0	1931.0	0.0091	0.1052	0.0869
FBgn0000416	2209.1	643.9	0.0163	0.1065	0.1528
FBgn0000422	1208.4	321.6	0.0017	0.1339	0.0124
FBgn0000426	223.6	40.4	0.0001	0.0524	0.001
FBgn0000427	2629.7	829.3	0.1318	0.2919	0.4514
FBgn0000439	1378.9	364.1	0.0067	0.1206	0.0553
FBgn0000442	1823.6	480.4	0.0066	0.1414	0.0469
FBgn0000447	920.0	295.0	0.0067	0.1154	0.058
FBgn0000448	1577.1	492.9	0.0039	0.0688	0.0561
FBgn0000449	1065.8	401.2	0.0106	0.1189	0.089
FBgn0000451	1317.4	425.6	0.0093	0.0859	0.1089
FBgn0000454	1123.7	400.3	0.0045	0.085	0.0531
FBgn0000455	1162.5	310.5	0.0061	0.1409	0.0434
FBgn0000459	1251.5	446.5	0.004	0.1148	0.035
FBgn0000463	1954.0	545.0	0.0042	0.081	0.0517
FBgn0000464	4677.3	1418.7	0.0004	0.082	0.0053
FBgn0000473	1272.5	245.5	0.0135	0.2822	0.048
FBgn0000477	838.3	259.7	0.0187	0.136	0.1371
FBgn0000479	2654.2	873.8	0.0136	0.1284	0.1057
FBgn0000482	2386.2	619.8	0.0055	0.1328	0.0415
FBgn0000489	1324.3	424.7	0.0085	0.0742	0.1141
FBgn0000490	1403.7	360.3	0.0095	0.0826	0.1151
FBgn0000492	1216.9	325.1	0.0008	0.0997	0.0083
FBgn0000499	1501.3	367.7	0.0014	0.1486	0.0094
FBgn0000500	313.0	110.0	0.0451	0.1177	0.3834
FBgn0000504	1231.4	415.6	0.0033	0.1069	0.0306
FBgn0000520	1445.3	264.7	0.0409	0.2798	0.146
FBgn0000524	1743.4	458.6	0.0052	0.1619	0.0321
FBgn0000527	2060.3	576.7	0.003	0.2249	0.0132
FBgn0000529	963.5	323.5	0.0042	0.0622	0.0675
FBgn0000533	942.7	233.3	0.0043	0.1383	0.0313
FBgn0000535	2778.1	1019.9	0.0015	0.0438	0.0334
FBgn0000536	1154.6	312.4	0.0306	0.1182	0.2591
FBgn0000541	5909.0	1993.0	0.0114	0.0907	0.1258
FBgn0000542	3985.6	1285.4	0.0069	0.1334	0.0518
FBgn0000543	1647.2	404.8	0.0067	0.1653	0.0408
FBgn0000547	3029.5	966.5	0.0027	0.1337	0.0201
FBgn0000551	293.7	72.3	0.0003	0.2536	0.001
FBgn0000552	384.2	179.8	0.0353	0.1256	0.2815
FBgn0000557	1150.0	236.0	0.0001	0.078	0.001
FBgn0000559	1947.5	584.5	0.001	0.1313	0.0078
FBgn0000560	847.6	268.4	0.0502	0.2217	0.2266
FBgn0000562	2466.8	539.2	0.0049	0.1501	0.0328
FBgn0000564	199.8	91.2	0.0051	0.048	0.1063
FBgn0000565	589.5	148.5	0.0035	0.0991	0.0352
FBgn0000566	936.4	242.6	0.0132	0.1918	0.0686
FBgn0000567	1929.7	521.3	0.2642	0.5103	0.5176
FBgn0000575	445.9	151.1	0.0046	0.0405	0.1136
FBgn0000576	1063.2	415.8	0.0029	0.0937	0.0305
FBgn0000577	1290.4	365.6	0.0016	0.1183	0.0131
FBgn0000578	1846.3	625.7	0.0027	0.0944	0.0288
FBgn0000579	1266.7	233.3	0.0048	0.133	0.0361
FBgn0000581	4693.7	1567.3	0.0113	0.0813	0.1391
FBgn0000588	1041.0	234.0	0.001	0.1914	0.0051
FBgn0000591	431.2	105.8	0.0071	0.0725	0.098
FBgn0000611	879.4	248.6	0.0001	0.0621	0.001
FBgn0000615	1220.0	376.0	0.0361	0.1286	0.2805
FBgn0000617	669.2	158.8	0.0091	0.1397	0.0653
FBgn0000618	237.2	65.8	0.031	0.1305	0.2374
FBgn0000625	1391.8	603.2	0.0066	0.0786	0.0838
FBgn0000629	1837.5	457.5	0.011	0.175	0.0628
FBgn0000633	1931.1	534.9	0.009	0.1337	0.0671
FBgn0000635	1981.1	637.9	0.0031	0.1146	0.027
FBgn0000636	1367.4	363.6	0.0045	0.0904	0.0495
FBgn0000639	2260.3	823.7	0.0193	0.1109	0.174
FBgn0000640	646.6	121.4	0.0153	0.1498	0.1022
FBgn0000644	588.0	186.0	0.0418	0.2718	0.1539
FBgn0000658	1341.1	407.9	0.0175	0.1075	0.1624
FBgn0000659	1605.4	464.6	0.0013	0.0826	0.0154
FBgn0000662	1227.4	380.6	0.0118	0.0862	0.1368
FBgn0000667	2280.4	470.6	0.0001	0.0666	0.001
FBgn0000709	2917.4	850.6	0.0035	0.0949	0.0366
FBgn0000711	1079.6	273.4	0.0231	0.1526	0.1513
FBgn0000715	851.1	189.9	0.0117	0.1239	0.0942
FBgn0000719	1540.4	625.6	0.0411	0.0567	0.725
FBgn0000721	2572.0	665.0	0.0064	0.105	0.0607
FBgn0000723	3074.2	900.8	0.0059	0.0936	0.0635
FBgn0000808	1241.0	343.0	0.0065	0.1051	0.0618
FBgn0000810	1014.3	362.7	0.0151	0.1061	0.1425
FBgn0000826	717.9	155.1	0.007	0.2156	0.0326
FBgn0000927	1710.7	365.3	0.0113	0.1452	0.078
FBgn0000928	2374.3	706.7	0.0839	0.1439	0.5831
FBgn0000996	1687.1	520.9	0.0134	0.1133	0.1187
FBgn0001075	11425.5	4006.5	0.0053	0.1637	0.0326
FBgn0001077	976.2	253.8	0.0126	0.1134	0.1115
FBgn0001078	2355.0	705.0	0.0074	0.0664	0.1106
FBgn0001079	1814.3	600.7	0.0073	0.1319	0.0555
FBgn0001083	2736.3	785.7	0.003	0.1315	0.0228
FBgn0001084	927.0	321.0	0.0033	0.1871	0.0176
FBgn0001085	1352.5	480.5	0.0007	0.0877	0.0085
FBgn0001086	1223.8	354.2	0.0017	0.0936	0.0177
FBgn0001087	2419.2	682.8	0.0054	0.1187	0.0457
FBgn0001089	1543.9	472.1	0.0059	0.1251	0.0475
FBgn0001090	915.0	378.0	0.0136	0.0509	0.268
FBgn0001098	1423.4	262.6	0.0007	0.0742	0.0096
FBgn0001099	455.3	126.7	0.0134	0.132	0.1017
FBgn0001104	860.2	204.8	0.0012	0.1051	0.0112
FBgn0001105	812.1	207.9	0.0	0.015	0.001
FBgn0001108	2961.1	833.9	0.0107	0.1372	0.0778
FBgn0001112	1381.0	455.0	0.0044	0.1156	0.0382
FBgn0001114	2268.5	767.5	0.0383	0.1454	0.2633
FBgn0001120	510.6	209.4	0.0202	0.1077	0.1875
FBgn0001122	815.1	246.9	0.0	0.0415	0.001
FBgn0001123	744.6	410.4	0.0	0.0098	0.001
FBgn0001124	1007.8	303.2	0.0195	0.1181	0.1649
FBgn0001125	1059.9	233.1	0.0087	0.0977	0.0887
FBgn0001128	862.8	217.2	0.0001	0.074	0.001
FBgn0001133	1412.5	297.5	0.0051	0.1404	0.0364
FBgn0001134	1560.6	497.4	0.0013	0.088	0.0147
FBgn0001137	670.5	214.5	0.0106	0.0974	0.1087
FBgn0001138	1680.1	443.9	0.0247	0.1068	0.231
FBgn0001139	1591.7	598.3	0.0	0.0382	0.001
FBgn0001142	914.4	282.6	0.0044	0.1222	0.0364
FBgn0001145	920.8	186.2	0.01	0.1936	0.0518
FBgn0001147	972.4	374.6	0.0042	0.0999	0.0417
FBgn0001148	933.0	348.0	0.0087	0.1235	0.0704
FBgn0001149	550.9	76.1	0.0133	0.1538	0.0865
FBgn0001168	781.4	229.6	0.0013	0.1091	0.012
FBgn0001169	2227.5	940.5	0.0118	0.0781	0.151
FBgn0001170	939.4	308.6	0.0109	0.1046	0.104
FBgn0001174	276.2	50.8	0.0037	0.1199	0.0309
FBgn0001179	1808.4	585.6	0.0034	0.1414	0.0237
FBgn0001180	1776.5	479.5	0.0112	0.141	0.0794
FBgn0001185	1155.6	305.4	0.0356	0.1419	0.2507
FBgn0001186	1234.0	389.0	0.0001	0.0584	0.001
FBgn0001187	1018.3	343.7	0.002	0.1201	0.0165
FBgn0001189	1378.6	442.4	0.0103	0.109	0.0949
FBgn0001197	321.5	101.5	0.0001	0.0929	0.001
FBgn0001202	1589.4	447.6	0.0013	0.1869	0.0068
FBgn0001206	3008.9	1152.1	0.0889	0.1016	0.8749
FBgn0001208	1082.5	273.5	0.0009	0.1435	0.0065
FBgn0001215	885.4	206.6	0.0304	0.1381	0.22
FBgn0001216	1484.1	438.9	0.0041	0.1508	0.0271
FBgn0001217	1517.5	381.5	0.0054	0.1574	0.0341
FBgn0001218	1540.1	427.9	0.0013	0.0635	0.0206
FBgn0001220	1590.3	467.7	0.0025	0.1455	0.0175
FBgn0001222	1713.9	482.1	0.0111	0.102	0.1093
FBgn0001223	423.0	96.0	0.0024	0.1076	0.0221
FBgn0001224	449.1	108.9	0.0046	0.0981	0.0464
FBgn0001225	493.6	130.4	0.0103	0.1394	0.0736
FBgn0001226	491.1	147.9	0.0166	0.0797	0.2086
FBgn0001227	945.7	389.3	0.0142	0.0619	0.2293
FBgn0001228	268.1	64.9	0.0118	0.1317	0.0895
FBgn0001229	404.6	192.4	0.0075	0.0673	0.1114
FBgn0001230	1473.9	431.1	0.0118	0.1399	0.0843
FBgn0001233	1811.2	339.8	0.0017	0.0805	0.0207
FBgn0001235	1053.8	407.2	0.0	0.0077	0.001
FBgn0001247	2310.8	659.2	0.003	0.1329	0.0229
FBgn0001248	1167.5	269.5	0.014	0.2176	0.0643
FBgn0001250	3322.1	865.9	0.004	0.1208	0.033
FBgn0001253	3610.0	1226.0	0.016	0.079	0.2027
FBgn0001254	951.5	395.5	0.0273	0.1715	0.159
FBgn0001255	698.7	276.3	0.0162	0.0885	0.1827
FBgn0001256	792.9	230.1	0.0234	0.1256	0.1859
FBgn0001257	641.2	156.8	0.0095	0.0886	0.1076
FBgn0001258	830.9	165.1	0.0025	0.1052	0.0237
FBgn0001259	2015.1	591.9	0.0106	0.1239	0.0852
FBgn0001263	1655.3	366.7	0.0056	0.1492	0.0378
FBgn0001269	1308.4	419.6	0.0023	0.1416	0.0166
FBgn0001276	447.6	113.4	0.0022	0.1733	0.0127
FBgn0001280	311.8	93.2	0.0131	0.0573	0.2292
FBgn0001285	713.5	99.5	0.013	0.1691	0.0771
FBgn0001291	834.8	278.2	0.0211	0.1099	0.1922
FBgn0001296	1435.2	400.8	0.0072	0.1479	0.0485
FBgn0001297	1803.3	422.7	0.019	0.1076	0.1768
FBgn0001301	3245.6	1167.4	0.0069	0.1104	0.0624
FBgn0001308	2407.5	517.5	0.0013	0.1234	0.0102
FBgn0001311	3856.2	988.8	0.0067	0.1935	0.0344
FBgn0001316	5179.0	1622.0	0.01	0.1003	0.0998
FBgn0001319	1301.1	369.9	0.0001	0.0771	0.001
FBgn0001320	1022.9	276.1	0.0132	0.1038	0.1274
FBgn0001321	1570.9	496.1	0.0045	0.1583	0.0287
FBgn0001323	1411.6	517.4	0.0086	0.093	0.0926
FBgn0001324	5768.9	1803.1	0.0049	0.1406	0.0348
FBgn0001325	1083.3	410.7	0.0074	0.0754	0.0979
FBgn0001330	2664.1	908.9	0.0104	0.1287	0.0808
FBgn0001341	2505.4	890.6	0.0296	0.07	0.4225
FBgn0001404	1089.0	282.0	0.0009	0.1417	0.0066
FBgn0001491	349.2	82.8	0.0002	0.1723	0.001
FBgn0001565	1296.1	374.9	0.0225	0.1246	0.1808
FBgn0001612	2083.9	574.1	0.0554	0.1685	0.3291
FBgn0001624	2324.4	759.6	0.0061	0.0869	0.0707
FBgn0001941	769.6	193.4	0.0027	0.1199	0.0226
FBgn0001942	958.3	250.7	0.0042	0.0753	0.0558
FBgn0001961	959.0	172.0	0.0011	0.1185	0.0089
FBgn0001965	3678.1	1106.9	0.0025	0.0884	0.0278
FBgn0001967	516.7	152.3	0.0098	0.1712	0.0573
FBgn0001970	1531.8	364.2	0.0067	0.2152	0.0309
FBgn0001977	587.7	156.3	0.0034	0.1627	0.0211
FBgn0001978	2575.7	715.3	0.0274	0.1494	0.1835
FBgn0001983	1269.9	374.1	0.0079	0.1241	0.064
FBgn0001986	2452.4	700.6	0.0107	0.1382	0.0776
FBgn0001987	2183.8	684.2	0.0042	0.1637	0.0255
FBgn0001989	406.4	94.6	0.0076	0.0989	0.0769
FBgn0001990	1077.2	332.8	0.0298	0.1651	0.1802
FBgn0001991	5975.2	2130.8	0.0029	0.0797	0.0361
FBgn0001992	1175.3	333.7	0.0051	0.161	0.0315
FBgn0001994	1472.0	418.0	0.0062	0.098	0.0635
FBgn0001995	665.9	222.1	0.0169	0.1668	0.1016
FBgn0002021	1128.8	416.2	0.0239	0.105	0.228
FBgn0002022	953.7	381.3	0.0101	0.117	0.0862
FBgn0002023	1353.8	299.2	0.0001	0.0853	0.001
FBgn0002031	650.4	177.6	0.0001	0.1087	0.001
FBgn0002036	1135.1	376.9	0.0164	0.1549	0.106
FBgn0002044	2318.1	870.9	0.0096	0.0821	0.1169
FBgn0002069	1232.5	360.5	0.0049	0.1312	0.0374
FBgn0002121	2589.0	894.0	0.0159	0.1286	0.1237
FBgn0002174	1256.4	297.6	0.0099	0.1276	0.0773
FBgn0002183	2772.6	593.4	0.0011	0.1486	0.0073
FBgn0002283	555.5	110.5	0.0001	0.0554	0.001
FBgn0002284	566.4	138.6	0.009	0.1602	0.0564
FBgn0002306	3755.4	1290.6	0.0163	0.1004	0.1623
FBgn0002354	257.5	72.5	0.004	0.1366	0.0292
FBgn0002413	1045.8	274.2	0.001	0.1317	0.0073
FBgn0002431	6281.6	2367.4	0.0058	0.0729	0.0794
FBgn0002440	742.4	301.6	0.0384	0.092	0.4176
FBgn0002441	3385.4	1024.6	0.0343	0.1058	0.3246
FBgn0002466	4369.7	1204.3	0.0079	0.1531	0.0516
FBgn0002521	1218.6	335.4	0.0349	0.1191	0.2932
FBgn0002522	1510.4	373.6	0.0123	0.1643	0.0746
FBgn0002524	1305.7	485.3	0.0055	0.1345	0.0409
FBgn0002525	1570.4	295.6	0.0144	0.1265	0.1138
FBgn0002526	8650.5	2485.5	0.0047	0.1267	0.0372
FBgn0002542	2400.2	782.8	0.0253	0.1061	0.2383
FBgn0002543	3411.5	1136.5	0.0054	0.076	0.0707
FBgn0002552	2104.5	469.5	0.0078	0.1486	0.0524
FBgn0002561	581.1	189.9	0.0088	0.0385	0.2291
FBgn0002562	2069.7	375.3	0.0118	0.2296	0.0514
FBgn0002563	2199.5	167.5	0.0056	0.2743	0.0205
FBgn0002564	1881.0	435.0	0.0061	0.1863	0.0325
FBgn0002565	1771.4	331.6	0.0069	0.1817	0.0379
FBgn0002566	1920.0	579.0	0.0316	0.1491	0.2118
FBgn0002567	1625.6	423.4	0.0081	0.1067	0.076
FBgn0002569	1267.5	433.5	0.0065	0.1171	0.0552
FBgn0002570	1416.8	314.2	0.0058	0.1987	0.0293
FBgn0002571	1401.0	321.0	0.0029	0.1948	0.0149
FBgn0002573	1292.8	327.2	0.0031	0.1306	0.0238
FBgn0002576	689.1	198.9	0.006	0.0711	0.0844
FBgn0002577	1499.9	534.1	0.0047	0.1214	0.039
FBgn0002578	374.7	93.3	0.0027	0.068	0.0398
FBgn0002579	302.9	42.1	0.0001	0.1248	0.001
FBgn0002590	530.3	153.7	0.0	0.0485	0.001
FBgn0002592	509.1	138.9	0.0102	0.1227	0.0831
FBgn0002593	263.2	72.8	0.0	0.044	0.001
FBgn0002609	502.8	169.2	0.0001	0.0694	0.001
FBgn0002622	589.8	148.2	0.0017	0.08	0.0215
FBgn0002626	329.8	72.2	0.0	0.048	0.001
FBgn0002629	398.3	54.7	0.0026	0.194	0.0133
FBgn0002631	436.0	98.0	0.0046	0.092	0.0502
FBgn0002632	177.7	32.3	0.0113	0.1481	0.0765
FBgn0002633	450.1	107.9	0.0045	0.0511	0.0874
FBgn0002638	1263.9	371.1	0.0064	0.0856	0.0751
FBgn0002641	1787.7	555.3	0.0212	0.1313	0.1615
FBgn0002643	3673.5	1081.5	0.0044	0.1314	0.0338
FBgn0002645	2474.3	963.7	0.0494	0.1056	0.4673
FBgn0002673	988.2	289.8	0.027	0.1856	0.1453
FBgn0002709	2613.6	890.4	0.109	0.132	0.826
FBgn0002715	893.0	310.0	0.017	0.1366	0.1247
FBgn0002716	729.4	263.6	0.0127	0.0676	0.1874
FBgn0002719	1773.6	500.4	0.0052	0.0923	0.0565
FBgn0002723	1606.0	542.0	0.005	0.0943	0.0534
FBgn0002732	343.2	70.8	0.0059	0.0958	0.0621
FBgn0002733	444.8	140.2	0.0046	0.0949	0.048
FBgn0002734	366.1	152.9	0.0001	0.1091	0.001
FBgn0002735	485.3	129.7	0.0021	0.0652	0.032
FBgn0002736	366.3	74.7	0.0001	0.1156	0.001
FBgn0002772	362.7	102.3	0.0028	0.0299	0.0933
FBgn0002773	481.0	185.0	0.0	0.0053	0.001
FBgn0002774	2872.1	1003.9	0.0206	0.1033	0.1992
FBgn0002775	1204.3	331.7	0.0197	0.1029	0.1916
FBgn0002778	1119.8	377.2	0.0018	0.0925	0.0198
FBgn0002780	1204.8	415.2	0.0273	0.1517	0.18
FBgn0002783	2661.3	965.7	0.0072	0.1	0.0723
FBgn0002787	837.9	176.1	0.0001	0.1384	0.001
FBgn0002789	465.2	86.8	0.0065	0.0655	0.0997
FBgn0002791	1825.6	580.4	0.0066	0.0966	0.0686
FBgn0002838	401.4	147.6	0.0331	0.1357	0.2442
FBgn0002842	616.2	208.8	0.0461	0.1314	0.3513
FBgn0002855	553.0	203.0	0.1737	0.1702	1.0206
FBgn0002856	206.3	63.7	0.0366	0.1437	0.2546
FBgn0002863	107.8	48.2	0.0386	0.1967	0.196
FBgn0002868	103.9	16.1	0.0112	0.0001	99.0
FBgn0002872	2763.7	1070.3	0.05	0.098	0.5104
FBgn0002878	3203.2	1071.8	0.0167	0.1157	0.1441
FBgn0002887	2821.7	877.3	0.0122	0.1068	0.1144
FBgn0002891	4793.3	1593.7	0.0234	0.13	0.18
FBgn0002899	2380.4	772.6	0.0128	0.1507	0.0848
FBgn0002901	1891.4	646.6	0.0156	0.1362	0.1143
FBgn0002905	4509.2	1508.8	0.0353	0.1302	0.271
FBgn0002906	3336.0	1125.0	0.0209	0.1494	0.1398
FBgn0002909	2526.8	920.2	0.03	0.1595	0.1882
FBgn0002914	1498.2	472.8	0.0184	0.0839	0.2196
FBgn0002917	5091.5	1598.5	0.0024	0.1174	0.0203
FBgn0002921	2453.4	669.6	0.0054	0.0879	0.0617
FBgn0002922	778.5	217.5	0.0211	0.1327	0.1589
FBgn0002924	1646.1	447.9	0.0156	0.1534	0.1015
FBgn0002926	5864.7	1983.3	0.0202	0.1349	0.1497
FBgn0002930	1154.4	258.6	0.0404	0.178	0.227
FBgn0002931	760.2	319.8	0.0172	0.062	0.2779
FBgn0002932	1729.8	529.2	0.0035	0.103	0.0343
FBgn0002936	596.9	114.1	0.0017	0.1395	0.0122
FBgn0002937	1413.4	446.6	0.0115	0.1598	0.0718
FBgn0002938	3474.9	1025.1	0.0032	0.135	0.0236
FBgn0002939	1170.0	369.0	0.0112	0.1104	0.1016
FBgn0002940	925.5	193.5	0.0011	0.082	0.0134
FBgn0002941	1579.9	505.1	0.0051	0.1272	0.0403
FBgn0002945	2185.2	589.8	0.0047	0.0732	0.0638
FBgn0002948	1490.8	507.2	0.0286	0.1333	0.2146
FBgn0002962	891.3	308.7	0.0373	0.0817	0.4563
FBgn0002973	1201.8	466.2	0.0025	0.0616	0.0411
FBgn0002985	892.5	277.5	0.008	0.1006	0.0796
FBgn0002989	1789.3	562.7	0.0045	0.1268	0.0356
FBgn0003002	1519.9	301.1	0.0007	0.1882	0.0035
FBgn0003008	441.8	131.2	0.0001	0.0838	0.001
FBgn0003009	1140.0	285.0	0.0308	0.22	0.1398
FBgn0003011	1108.6	346.4	0.0018	0.1634	0.0111
FBgn0003015	1403.5	411.5	0.0317	0.1111	0.2855
FBgn0003016	3532.1	1162.9	0.0052	0.0859	0.0603
FBgn0003023	1908.3	647.7	0.042	0.1046	0.4017
FBgn0003034	120.8	44.2	0.034	0.1035	0.3289
FBgn0003041	2864.9	1053.1	0.0042	0.1006	0.0421
FBgn0003042	931.2	238.8	0.0087	0.1205	0.0719
FBgn0003044	2279.5	843.5	0.009	0.0934	0.0961
FBgn0003046	437.0	115.0	0.0023	0.1727	0.0135
FBgn0003048	7435.6	2794.4	0.011	0.0832	0.132
FBgn0003060	200.5	180.5	0.0405	0.4165	0.0973
FBgn0003062	727.7	304.3	0.0001	0.0562	0.001
FBgn0003065	380.8	174.2	0.0085	0.1281	0.0667
FBgn0003067	1553.5	387.5	0.0052	0.1311	0.0399
FBgn0003068	2945.8	675.2	0.0189	0.2417	0.0781
FBgn0003071	2224.9	625.1	0.0092	0.1213	0.0756
FBgn0003074	1385.9	288.1	0.0007	0.094	0.0078
FBgn0003076	1268.7	411.3	0.0008	0.1463	0.0055
