gene	YN00_dN	YN00_dS	YN00_w	NG86_dN	NG86_dS	NG86_w
FBgn0000206	0.0049	0.1216	0.0406	0.0049	0.1197	0.0413
FBgn0000212	0.0005	0.0887	0.006	0.0005	0.0896	0.0059
FBgn0000216	0.0253	0.1129	0.224	0.0274	0.078	0.3511
FBgn0000221	0.0158	0.1294	0.1219	0.0165	0.1069	0.1546
FBgn0000227	0.0165	0.1304	0.1264	0.0157	0.1505	0.1043
FBgn0000228	0.008	0.1485	0.0539	0.0088	0.1222	0.0724
FBgn0000229	-0.0	0.0431	0.0	0.0	0.0579	-1.0
FBgn0000233	0.0179	0.1001	0.1791	0.0184	0.1005	0.1832
FBgn0000239	0.0039	0.1213	0.0318	0.0039	0.1174	0.033
FBgn0000244	0.008	0.0811	0.0983	0.0082	0.0742	0.1102
FBgn0000246	0.0548	0.114	0.4809	0.0517	0.1398	0.3699
FBgn0000247	0.0115	0.0951	0.1214	0.0122	0.0855	0.1422
FBgn0000250	0.0017	0.063	0.0276	0.0017	0.0622	0.0281
FBgn0000251	0.0068	0.111	0.0615	0.0073	0.0846	0.086
FBgn0000253	-0.0	0.0272	0.0	0.0	0.0324	-1.0
FBgn0000256	0.0215	0.103	0.2091	0.0217	0.1016	0.2137
FBgn0000257	0.0047	0.0972	0.048	0.0049	0.0799	0.0617
FBgn0000259	0.059	0.1316	0.4481	0.0585	0.1361	0.4298
FBgn0000261	0.0074	0.0806	0.0916	0.0077	0.0661	0.117
FBgn0000273	-0.0	0.0523	0.0	0.0	0.0416	-1.0
FBgn0000274	0.1073	0.3586	0.2993	0.1166	0.2507	0.4651
FBgn0000278	0.0069	0.1553	0.0447	0.0071	0.138	0.0515
FBgn0000283	0.0134	0.0859	0.1566	0.0127	0.1016	0.125
FBgn0000286	0.0055	0.0771	0.0718	0.0055	0.0784	0.0697
FBgn0000287	0.0063	0.0942	0.0672	0.0062	0.0988	0.063
FBgn0000289	0.0021	0.069	0.0311	0.0021	0.0731	0.0287
FBgn0000299	0.0222	0.0884	0.2514	0.0199	0.114	0.1746
FBgn0000303	0.0018	0.1085	0.0168	0.0018	0.1038	0.0177
FBgn0000307	0.0131	0.0834	0.1573	0.0127	0.0927	0.1367
FBgn0000308	0.0034	-0.0	99.0	0.0035	0.0	-1.0
FBgn0000316	0.0205	0.1165	0.1759	0.0201	0.1224	0.1643
FBgn0000317	0.0008	0.1242	0.0065	0.0008	0.1246	0.0065
FBgn0000318	0.0095	0.1275	0.0745	0.0102	0.0922	0.1102
FBgn0000319	0.0005	0.0881	0.0059	0.0005	0.0872	0.0059
FBgn0000320	0.0039	0.0979	0.0396	0.004	0.0822	0.0492
FBgn0000326	0.0172	0.1459	0.118	0.0171	0.1457	0.1174
FBgn0000330	0.0021	0.1408	0.0148	0.0021	0.1291	0.0165
FBgn0000337	0.0725	0.2669	0.2715	0.0774	0.2276	0.3401
FBgn0000339	0.0031	0.0978	0.032	0.003	0.1079	0.0279
FBgn0000346	0.0034	0.2012	0.0169	0.0035	0.1689	0.021
FBgn0000351	0.005	0.2001	0.025	0.0054	0.1386	0.0389
FBgn0000352	0.0123	0.1306	0.0939	0.0126	0.1183	0.1062
FBgn0000355	0.0305	0.179	0.1705	0.0324	0.1422	0.2278
FBgn0000356	0.044	0.1017	0.4322	0.0453	0.0918	0.494
FBgn0000358	0.0072	0.1762	0.0406	0.0078	0.1234	0.0631
FBgn0000359	0.0015	0.0992	0.0153	0.0016	0.0831	0.0191
FBgn0000360	-0.0	0.0554	0.0	0.0	0.06	-1.0
FBgn0000370	0.0384	0.1098	0.3501	0.0371	0.1213	0.306
FBgn0000376	0.0278	0.1419	0.1962	0.0288	0.1275	0.2257
FBgn0000377	0.0065	0.1351	0.0478	0.0068	0.11	0.0614
FBgn0000384	0.0084	0.0964	0.0867	0.0086	0.0871	0.0985
FBgn0000392	0.0184	0.1838	0.1	0.0193	0.1587	0.1216
FBgn0000394	-0.0	0.1538	0.0	0.0	0.1197	-1.0
FBgn0000395	0.0045	0.1171	0.0382	0.0047	0.0987	0.0472
FBgn0000404	0.0096	0.1141	0.0843	0.0101	0.1041	0.0969
FBgn0000405	0.0069	0.0681	0.1009	0.0067	0.0717	0.0938
FBgn0000406	0.0069	0.1351	0.0511	0.007	0.1244	0.0564
FBgn0000411	0.0012	0.0588	0.0207	0.0012	0.0663	0.0175
FBgn0000412	0.0362	0.1091	0.3321	0.0359	0.1139	0.3153
FBgn0000414	0.009	0.107	0.0839	0.009	0.1144	0.079
FBgn0000416	0.0159	0.1097	0.145	0.016	0.1056	0.1513
FBgn0000422	0.0017	0.1309	0.0126	0.0017	0.1156	0.0147
FBgn0000426	-0.0	0.0558	0.0	0.0	0.0336	-1.0
FBgn0000427	0.1279	0.2864	0.4466	0.1273	0.2914	0.437
FBgn0000439	0.0065	0.1339	0.0484	0.0071	0.1054	0.0675
FBgn0000442	0.0064	0.158	0.0407	0.0069	0.119	0.0576
FBgn0000447	0.0066	0.116	0.0569	0.0066	0.114	0.0579
FBgn0000448	0.0038	0.0722	0.0521	0.0038	0.0686	0.0555
FBgn0000449	0.0111	0.1013	0.1096	0.0101	0.131	0.0768
FBgn0000451	0.0092	0.0886	0.1033	0.0092	0.0893	0.1031
FBgn0000454	0.0043	0.0945	0.0454	0.0044	0.0885	0.0492
FBgn0000455	0.006	0.1441	0.0418	0.0072	0.1171	0.0612
FBgn0000459	0.004	0.1091	0.0368	0.0038	0.1238	0.0311
FBgn0000463	0.0042	0.0778	0.0535	0.0042	0.0772	0.0539
FBgn0000464	0.0004	0.0807	0.0053	0.0004	0.0767	0.0057
FBgn0000473	0.0135	0.2813	0.0481	0.0156	0.1789	0.0872
FBgn0000477	0.0176	0.1603	0.1099	0.018	0.1418	0.127
FBgn0000479	0.0132	0.1368	0.0965	0.0138	0.1268	0.1085
FBgn0000482	0.0056	0.1201	0.0466	0.0057	0.1118	0.0509
FBgn0000489	0.0082	0.0795	0.1033	0.0081	0.0808	0.1009
FBgn0000490	0.0094	0.0856	0.1099	0.0114	0.0626	0.1813
FBgn0000492	0.0008	0.1	0.0082	0.0009	0.0786	0.011
FBgn0000499	0.0014	0.1416	0.0101	0.0018	0.1194	0.0147
FBgn0000500	0.0452	0.1165	0.3877	0.0445	0.1207	0.3682
FBgn0000504	0.0032	0.1055	0.0307	0.0033	0.1023	0.0319
FBgn0000520	0.0403	0.2829	0.1426	0.0449	0.1706	0.2633
FBgn0000524	0.005	0.1848	0.0271	0.0054	0.1357	0.0395
FBgn0000527	0.0028	0.289	0.0097	0.0035	0.1938	0.0182
FBgn0000529	0.0041	0.0655	0.0624	0.0041	0.0628	0.0657
FBgn0000533	0.0042	0.1499	0.0281	0.0045	0.1112	0.0407
FBgn0000535	0.0014	0.0482	0.029	0.0014	0.0454	0.0312
FBgn0000536	0.0313	0.1062	0.2953	0.0322	0.1038	0.3103
FBgn0000541	0.0115	0.0861	0.1331	0.0111	0.0959	0.1162
FBgn0000542	0.0067	0.1415	0.0474	0.0072	0.1317	0.0544
FBgn0000543	0.0064	0.2037	0.0316	0.007	0.1323	0.0531
FBgn0000547	0.0028	0.1169	0.0237	0.0033	0.131	0.0252
FBgn0000551	-0.0	0.2427	0.0	0.0	0.1937	-1.0
FBgn0000552	0.0359	0.1149	0.3129	0.033	0.1466	0.2254
FBgn0000557	-0.0	0.0744	0.0	0.0	0.0529	-1.0
FBgn0000559	0.001	0.1336	0.0076	0.001	0.1203	0.0086
FBgn0000560	0.0498	0.2226	0.2238	0.0551	0.1865	0.2954
FBgn0000562	0.0048	0.17	0.0282	0.0052	0.1134	0.0459
FBgn0000564	0.0046	0.0557	0.0831	0.0044	0.0659	0.0669
FBgn0000565	0.0034	0.0965	0.0357	0.0036	0.0838	0.0426
FBgn0000566	0.0131	0.1853	0.0706	0.0136	0.1568	0.0868
FBgn0000567	0.2549	0.494	0.516	0.2727	0.3722	0.7327
FBgn0000575	0.0042	0.0522	0.0804	0.0044	0.0446	0.0982
FBgn0000576	0.0028	0.0977	0.0282	0.0027	0.1037	0.0259
FBgn0000577	0.0015	0.1267	0.0119	0.0016	0.1015	0.0157
FBgn0000578	0.0026	0.1045	0.0249	0.0027	0.0958	0.0278
FBgn0000579	0.0047	0.1376	0.0344	0.0053	0.0815	0.0649
FBgn0000581	0.0113	0.0775	0.1459	0.011	0.0837	0.1316
FBgn0000588	0.001	0.1932	0.005	0.001	0.15	0.0068
FBgn0000591	0.0069	0.0746	0.0926	0.0073	0.0601	0.1207
FBgn0000611	-0.0	0.0611	0.0	0.0	0.0572	-1.0
FBgn0000615	0.0354	0.1298	0.2731	0.0367	0.1179	0.311
FBgn0000617	0.0089	0.1469	0.0608	0.0098	0.102	0.0958
FBgn0000618	0.0293	0.148	0.1982	0.0308	0.1218	0.2531
FBgn0000625	0.0064	0.08	0.0803	0.0062	0.0885	0.0696
FBgn0000629	0.0107	0.1948	0.0549	0.0111	0.1571	0.0709
FBgn0000633	0.0087	0.1485	0.0584	0.0092	0.1169	0.0784
FBgn0000635	0.0029	0.1308	0.0225	0.0031	0.113	0.027
FBgn0000636	0.0044	0.0934	0.0468	0.0046	0.075	0.0619
FBgn0000639	0.0192	0.1066	0.1804	0.0187	0.1178	0.1588
FBgn0000640	0.0155	0.1223	0.1268	0.0162	0.0965	0.1677
FBgn0000644	0.04	0.3116	0.1284	0.0432	0.2584	0.1671
FBgn0000658	0.0169	0.1148	0.1472	0.0186	0.095	0.1961
FBgn0000659	0.0013	0.0777	0.0162	0.0013	0.0779	0.0161
FBgn0000662	0.0114	0.0935	0.1222	0.0125	0.0832	0.1503
FBgn0000667	-0.0	0.065	0.0	0.0	0.0494	-1.0
FBgn0000709	0.0036	0.0812	0.0444	0.0035	0.089	0.0392
FBgn0000711	0.0228	0.1573	0.1447	0.0253	0.1233	0.2049
FBgn0000715	0.0119	0.1101	0.1084	0.0124	0.0937	0.1322
FBgn0000719	0.0403	0.0566	0.7116	0.0382	0.065	0.5884
FBgn0000721	0.0062	0.1113	0.0558	0.0067	0.0882	0.076
FBgn0000723	0.0058	0.0968	0.0604	0.0059	0.0926	0.0636
FBgn0000808	0.0063	0.1166	0.054	0.0067	0.0934	0.0712
FBgn0000810	0.015	0.1017	0.1471	0.0149	0.1189	0.1251
FBgn0000826	0.0069	0.2256	0.0306	0.0076	0.1383	0.0551
FBgn0000927	0.0112	0.1469	0.0763	0.0125	0.0986	0.1269
FBgn0000928	0.0831	0.1376	0.6036	0.0846	0.1291	0.6552
FBgn0000996	0.0137	0.1029	0.1329	0.0142	0.1062	0.1339
FBgn0001075	0.0053	0.1592	0.0335	0.0053	0.1724	0.0307
FBgn0001077	0.0125	0.1101	0.1133	0.0128	0.0972	0.1318
FBgn0001078	0.007	0.0758	0.0927	0.0073	0.0648	0.1129
FBgn0001079	0.0075	0.1163	0.0648	0.0072	0.1336	0.0535
FBgn0001083	0.003	0.1323	0.0223	0.003	0.1218	0.0247
FBgn0001084	0.0032	0.1905	0.017	0.0032	0.1996	0.0159
FBgn0001085	0.0007	0.0888	0.0083	0.0007	0.0913	0.0079
FBgn0001086	0.0016	0.0916	0.018	0.0017	0.087	0.0192
FBgn0001087	0.0053	0.1251	0.0425	0.0055	0.1081	0.051
FBgn0001089	0.0058	0.1287	0.0452	0.0059	0.1187	0.05
FBgn0001090	0.0131	0.0509	0.2575	0.0125	0.0576	0.2167
FBgn0001098	0.0007	0.0713	0.0099	0.0008	0.0456	0.0172
FBgn0001099	0.0134	0.1256	0.1068	0.0133	0.1273	0.1048
FBgn0001104	0.0012	0.0955	0.0125	0.0012	0.0842	0.0146
FBgn0001105	-0.0	0.0137	0.0	0.0	0.0121	-1.0
FBgn0001108	0.0104	0.1483	0.0699	0.0108	0.1261	0.0854
FBgn0001112	0.0044	0.115	0.0381	0.0047	0.112	0.0422
FBgn0001114	0.0374	0.1464	0.2552	0.0375	0.1483	0.2528
FBgn0001120	0.021	0.0962	0.218	0.0189	0.1229	0.1541
FBgn0001122	-0.0	0.0367	0.0	0.0	0.0441	-1.0
FBgn0001123	-0.0	0.0121	0.0	0.0	0.0161	-1.0
FBgn0001124	0.0194	0.1133	0.1711	0.0193	0.1128	0.1713
FBgn0001125	0.0085	0.101	0.0839	0.0092	0.0721	0.1272
FBgn0001128	-0.0	0.0746	0.0	0.0	0.0607	-1.0
FBgn0001133	0.0052	0.1212	0.0433	0.0063	0.105	0.0604
FBgn0001134	0.0013	0.093	0.0136	0.0013	0.0848	0.0153
FBgn0001137	0.0102	0.1051	0.0973	0.0104	0.0987	0.1051
FBgn0001138	0.0243	0.1079	0.2251	0.0258	0.0884	0.2915
FBgn0001139	-0.0	0.0373	0.0	0.0	0.0418	-1.0
FBgn0001142	0.0044	0.1239	0.0351	0.0044	0.1146	0.0387
FBgn0001145	0.0101	0.178	0.0566	0.0119	0.1306	0.091
FBgn0001147	0.0042	0.0946	0.0442	0.004	0.1071	0.0372
FBgn0001148	0.0086	0.1211	0.0708	0.0084	0.128	0.0656
FBgn0001149	0.0129	0.1556	0.0831	0.0147	0.079	0.1864
FBgn0001168	0.0013	0.1048	0.0122	0.0013	0.0981	0.0132
FBgn0001169	0.0119	0.0721	0.165	0.0115	0.0849	0.1359
FBgn0001170	0.0108	0.1012	0.107	0.0112	0.1013	0.1102
FBgn0001174	0.0039	0.0878	0.0449	0.004	0.0828	0.0484
FBgn0001179	0.0033	0.1467	0.0224	0.0033	0.1462	0.0224
FBgn0001180	0.011	0.1457	0.0753	0.0124	0.1221	0.1017
FBgn0001185	0.0353	0.1419	0.2484	0.0356	0.1333	0.2673
FBgn0001186	-0.0	0.0545	0.0	0.0	0.0578	-1.0
FBgn0001187	0.002	0.1197	0.0163	0.0019	0.1207	0.0161
FBgn0001189	0.0103	0.1051	0.0982	0.0102	0.1089	0.0933
FBgn0001197	-0.0	0.097	0.0	0.0	0.0852	-1.0
FBgn0001202	0.0013	0.1638	0.008	0.0013	0.1769	0.0073
FBgn0001206	0.0867	0.1026	0.845	0.0838	0.1121	0.7478
FBgn0001208	0.0009	0.1548	0.0059	0.001	0.1184	0.0082
FBgn0001215	0.0303	0.1296	0.2335	0.0301	0.1261	0.2389
FBgn0001216	0.0039	0.1701	0.0232	0.0041	0.1366	0.0304
FBgn0001217	0.0052	0.1699	0.0308	0.0056	0.1297	0.0428
FBgn0001218	0.0013	0.0588	0.0224	0.0013	0.0553	0.0242
FBgn0001220	0.0025	0.1535	0.0161	0.0032	0.1263	0.0256
FBgn0001222	0.0109	0.1093	0.0997	0.0115	0.0942	0.1224
FBgn0001223	0.0024	0.102	0.0232	0.0025	0.0784	0.0321
FBgn0001224	0.0046	0.0872	0.0529	0.0047	0.08	0.0588
FBgn0001225	0.0103	0.1318	0.078	0.0106	0.1152	0.0922
FBgn0001226	0.0168	0.0752	0.2237	0.0178	0.0702	0.2542
FBgn0001227	0.0141	0.06	0.2348	0.013	0.0743	0.1749
FBgn0001228	0.0115	0.1402	0.082	0.0137	0.1058	0.13
FBgn0001229	0.0073	0.0694	0.1053	0.0066	0.0885	0.0751
FBgn0001230	0.012	0.1219	0.0986	0.0118	0.1281	0.092
FBgn0001233	0.0016	0.0824	0.0198	0.0018	0.052	0.0345
FBgn0001235	-0.0	0.0069	0.0	0.0	0.0086	-1.0
FBgn0001247	0.003	0.1402	0.0213	0.003	0.1293	0.0235
FBgn0001248	0.0137	0.2235	0.0614	0.0146	0.1642	0.0891
FBgn0001250	0.0042	0.0986	0.0423	0.0041	0.1048	0.0389
FBgn0001253	0.0157	0.0818	0.1915	0.0155	0.0844	0.1832
FBgn0001254	0.0268	0.1668	0.161	0.0253	0.2047	0.1234
FBgn0001255	0.0159	0.0899	0.1765	0.0153	0.0985	0.1555
FBgn0001256	0.0227	0.1327	0.171	0.0231	0.1217	0.1897
FBgn0001257	0.0092	0.0992	0.093	0.01	0.0705	0.1417
FBgn0001258	0.0024	0.1094	0.0222	0.0027	0.0711	0.0378
FBgn0001259	0.0104	0.1264	0.0825	0.0106	0.1146	0.0929
FBgn0001263	0.0055	0.1619	0.0341	0.0063	0.1118	0.0567
FBgn0001269	0.0023	0.1343	0.0175	0.0027	0.1373	0.0196
FBgn0001276	0.0022	0.1583	0.0141	0.0023	0.1432	0.016
FBgn0001280	0.0134	0.0496	0.2711	0.0131	0.054	0.2421
FBgn0001285	0.0129	0.1675	0.0769	0.0145	0.0905	0.1606
FBgn0001291	0.0208	0.1081	0.1925	0.0205	0.1112	0.184
FBgn0001296	0.0071	0.1484	0.0478	0.0078	0.122	0.064
FBgn0001297	0.0187	0.1104	0.1696	0.0201	0.0821	0.2444
FBgn0001301	0.0067	0.1174	0.0568	0.0066	0.1188	0.0557
FBgn0001308	0.0013	0.1182	0.0106	0.0018	0.0888	0.0201
FBgn0001311	0.0065	0.213	0.0306	0.0075	0.1574	0.0475
FBgn0001316	0.0098	0.1022	0.0961	0.0099	0.097	0.1025
FBgn0001319	-0.0	0.0796	0.0	0.0	0.068	-1.0
FBgn0001320	0.0133	0.0968	0.1371	0.0151	0.0814	0.186
FBgn0001321	0.0043	0.1877	0.023	0.0044	0.1654	0.0268
FBgn0001323	0.0084	0.0989	0.0845	0.0084	0.1014	0.0833
FBgn0001324	0.0047	0.1517	0.0312	0.0048	0.1388	0.0347
FBgn0001325	0.0072	0.0792	0.0907	0.007	0.0843	0.0834
FBgn0001330	0.0104	0.1242	0.0838	0.0104	0.1306	0.0798
FBgn0001341	0.0297	0.0654	0.4544	0.0278	0.0801	0.3465
FBgn0001404	0.0009	0.141	0.0066	0.001	0.1184	0.0082
FBgn0001491	-0.0	0.2321	0.0	0.0	0.1459	-1.0
FBgn0001565	0.0227	0.1168	0.1943	0.0231	0.1118	0.2066
FBgn0001612	0.0546	0.1687	0.3237	0.0558	0.1541	0.3618
FBgn0001624	0.0058	0.1004	0.058	0.006	0.0881	0.0683
FBgn0001941	0.0026	0.1359	0.0192	0.0034	0.0949	0.036
FBgn0001942	0.0042	0.0704	0.0598	0.0043	0.0624	0.0695
FBgn0001961	0.001	0.1254	0.0083	0.0012	0.0732	0.0159
FBgn0001965	0.0024	0.0926	0.026	0.0025	0.0825	0.0301
FBgn0001967	0.0099	0.1558	0.0638	0.0107	0.1569	0.0683
FBgn0001970	0.0065	0.2434	0.0266	0.007	0.1682	0.0417
FBgn0001977	0.0035	0.1587	0.0218	0.0035	0.1467	0.0239
FBgn0001978	0.027	0.1559	0.1733	0.0288	0.1333	0.2163
FBgn0001983	0.0075	0.1489	0.0506	0.0079	0.1216	0.0646
FBgn0001986	0.0103	0.1567	0.066	0.0109	0.125	0.0871
FBgn0001987	0.0043	0.1493	0.0285	0.0041	0.1606	0.0258
FBgn0001989	0.0074	0.105	0.0705	0.0081	0.0743	0.1086
FBgn0001990	0.0294	0.1692	0.174	0.0295	0.1681	0.1756
FBgn0001991	0.0029	0.0763	0.0377	0.0029	0.0861	0.0333
FBgn0001992	0.005	0.1624	0.031	0.0052	0.1445	0.0357
FBgn0001994	0.006	0.1041	0.0581	0.0063	0.0873	0.0724
FBgn0001995	0.017	0.1585	0.1072	0.0166	0.1688	0.0984
FBgn0002021	0.0234	0.1078	0.2168	0.023	0.1131	0.2035
FBgn0002022	0.0098	0.1227	0.0801	0.0104	0.1376	0.0753
FBgn0002023	-0.0	0.0773	0.0	0.0	0.0678	-1.0
FBgn0002031	-0.0	0.1081	0.0	0.0	0.0846	-1.0
FBgn0002036	0.0163	0.1517	0.1072	0.0165	0.1515	0.1086
FBgn0002044	0.0095	0.0816	0.1164	0.0092	0.0884	0.1044
FBgn0002069	0.0048	0.1391	0.0344	0.005	0.1193	0.0416
FBgn0002121	0.0158	0.126	0.1255	0.0159	0.1312	0.1211
FBgn0002174	0.0097	0.1269	0.0763	0.0103	0.0982	0.1049
FBgn0002183	0.0011	0.1417	0.0077	0.0011	0.115	0.01
FBgn0002283	-0.0	0.0581	0.0	0.0	0.042	-1.0
FBgn0002284	0.0087	0.1874	0.0462	0.0094	0.1276	0.0737
FBgn0002306	0.0158	0.1046	0.1512	0.0158	0.1053	0.1505
FBgn0002354	0.0039	0.142	0.0274	0.008	0.1108	0.0719
FBgn0002413	0.001	0.1291	0.0075	0.001	0.1097	0.0092
FBgn0002431	0.0057	0.0747	0.076	0.0055	0.0824	0.0673
FBgn0002440	0.0375	0.0918	0.4081	0.036	0.1022	0.3526
FBgn0002441	0.0339	0.1049	0.3227	0.0344	0.0992	0.3461
FBgn0002466	0.0078	0.154	0.0509	0.008	0.1418	0.0563
FBgn0002521	0.0349	0.1125	0.3103	0.0348	0.1111	0.3133
FBgn0002522	0.0118	0.1845	0.0642	0.0134	0.1273	0.1052
FBgn0002524	0.0056	0.123	0.0454	0.0052	0.1491	0.0348
FBgn0002525	0.0143	0.1261	0.1131	0.0161	0.0778	0.207
FBgn0002526	0.0047	0.1224	0.0385	0.0048	0.1229	0.0388
FBgn0002542	0.0251	0.104	0.2418	0.0247	0.1101	0.2246
FBgn0002543	0.0053	0.0761	0.0695	0.0056	0.0745	0.0748
FBgn0002552	0.0077	0.1509	0.0512	0.0086	0.1103	0.078
FBgn0002561	0.0087	0.0369	0.2374	0.0083	0.0432	0.1928
FBgn0002562	0.0116	0.2366	0.0492	0.0124	0.1638	0.0756
FBgn0002563	0.0054	0.3789	0.0143	0.0063	0.0836	0.0759
FBgn0002564	0.0062	0.1471	0.0419	0.006	0.1587	0.0378
FBgn0002565	0.0068	0.1765	0.0388	0.0073	0.1283	0.0565
FBgn0002566	0.0314	0.145	0.2166	0.0323	0.1434	0.2255
FBgn0002567	0.0079	0.1162	0.0676	0.0091	0.0857	0.1057
FBgn0002569	0.0061	0.1325	0.0462	0.0061	0.1291	0.0474
FBgn0002570	0.0059	0.1808	0.0325	0.0064	0.1538	0.0414
FBgn0002571	0.003	0.1542	0.0196	0.003	0.1498	0.0203
FBgn0002573	0.0031	0.1216	0.0258	0.0032	0.1117	0.0286
FBgn0002576	0.0059	0.0696	0.0855	0.0061	0.0639	0.0953
FBgn0002577	0.0044	0.1511	0.0292	0.0048	0.1309	0.0369
FBgn0002578	0.0028	0.0572	0.049	0.0028	0.0597	0.0462
FBgn0002579	-0.0	0.1257	0.0	0.0	0.0623	-1.0
FBgn0002590	-0.0	0.0481	0.0	0.0	0.0421	-1.0
FBgn0002592	0.0098	0.1342	0.073	0.01	0.1193	0.0839
FBgn0002593	-0.0	0.0485	0.0	0.0	0.0368	-1.0
FBgn0002609	-0.0	0.0654	0.0	0.0	0.0689	-1.0
FBgn0002622	0.0017	0.0769	0.0222	0.0018	0.0621	0.0291
FBgn0002626	-0.0	0.0529	0.0	0.0	0.0316	-1.0
FBgn0002629	0.0025	0.2392	0.0103	0.0028	0.0962	0.0295
FBgn0002631	0.0046	0.0885	0.0518	0.0049	0.0688	0.0708
FBgn0002632	0.013	0.0777	0.1675	0.0121	0.0971	0.125
FBgn0002633	0.0044	0.051	0.0864	0.0047	0.0384	0.1231
FBgn0002638	0.0063	0.0881	0.0718	0.0065	0.0795	0.0817
FBgn0002641	0.021	0.1314	0.1597	0.021	0.1282	0.1641
FBgn0002643	0.0042	0.1599	0.0261	0.0046	0.1278	0.0362
FBgn0002645	0.049	0.1015	0.4829	0.0475	0.1128	0.4208
FBgn0002673	0.0271	0.1787	0.1514	0.0269	0.179	0.1504
FBgn0002709	0.1065	0.1318	0.8083	0.1047	0.1379	0.7591
FBgn0002715	0.0168	0.1397	0.1201	0.0172	0.137	0.1255
FBgn0002716	0.0124	0.0682	0.182	0.0123	0.0704	0.1743
FBgn0002719	0.0054	0.0817	0.0655	0.0055	0.084	0.0657
