gene	gapped_len	mel_len	sim_len	gap_num	indel_num	indel_mean_len	ungapped_len
FBgn0000339	1048	1000	1037	59	6	9.833333333333334	989
FBgn0000352	1013	1000	1000	26	7	3.7142857142857144	987
FBgn0000355	965	953	960	17	5	3.4	948
FBgn0000356	1051	1000	1016	86	7	12.285714285714286	965
FBgn0000357	1006	1000	1004	8	4	2	998
FBgn0000359	1026	1000	973	79	21	3.761904761904762	947
FBgn0000360	1037	1000	1006	68	14	4.857142857142857	969
FBgn0000370	1019	1000	944	94	14	6.714285714285714	925
FBgn0000382	1037	1000	1029	45	9	5	992
FBgn0000394	1000	1000	989	11	3	3.6666666666666665	989
FBgn0000395	1063	1000	999	127	11	11.545454545454545	936
FBgn0000404	1103	1000	985	221	20	11.05	882
FBgn0000405	1014	1000	996	32	8	4	982
FBgn0000406	1022	1000	986	58	8	7.25	964
FBgn0000411	1022	1000	742	302	7	43.142857142857146	720
FBgn0000414	1026	1000	995	57	5	11.4	969
FBgn0000416	1017	1000	996	38	6	6.333333333333333	979
FBgn0000422	1038	1000	907	169	12	14.083333333333334	869
FBgn0000426	1000	1000	996	4	2	2	996
FBgn0000427	1040	1000	984	96	12	8	944
FBgn0000439	1041	1000	1024	58	6	9.666666666666666	983
FBgn0000442	1002	1000	973	31	8	3.875	971
FBgn0000447	977	959	973	22	7	3.142857142857143	955
FBgn0000451	1004	1000	961	47	11	4.2727272727272725	957
FBgn0000455	1000	1000	1000	0	0	NA	1000
FBgn0000459	1018	1000	1018	18	1	18	1000
FBgn0000477	1005	1000	978	32	8	4	973
FBgn0000482	1012	1000	989	35	9	3.888888888888889	977
FBgn0000489	1007	1000	988	26	11	2.3636363636363638	981
FBgn0000490	1010	1000	965	55	8	6.875	955
FBgn0000492	1008	1000	987	29	5	5.8	979
FBgn0000499	1003	1000	945	61	7	8.714285714285714	942
FBgn0000529	1007	1000	999	15	7	2.142857142857143	992
FBgn0000533	1024	1000	988	60	8	7.5	964
FBgn0000536	1007	1000	986	28	8	3.5	979
FBgn0000543	1035	1000	993	77	9	8.555555555555555	958
FBgn0000551	1014	1000	1003	25	5	5	989
FBgn0000552	1053	1000	1043	63	12	5.25	990
FBgn0000560	1007	1000	956	58	8	7.25	949
FBgn0000564	1028	1000	983	73	11	6.636363636363637	955
FBgn0000567	1039	969	1011	98	12	8.166666666666666	941
FBgn0000568	1038	1000	1002	74	12	6.166666666666667	964
FBgn0000575	1013	1000	1003	23	6	3.8333333333333335	990
FBgn0000576	1012	1000	1005	19	3	6.333333333333333	993
FBgn0000577	1001	1000	1001	1	1	1	1000
FBgn0000578	771	725	734	83	13	6.384615384615385	688
FBgn0000579	1007	1000	996	18	6	3	989
FBgn0000581	1006	1000	992	20	7	2.857142857142857	986
FBgn0000591	1003	1000	951	55	3	18.333333333333332	948
FBgn0000606	1000	1000	991	9	3	3	991
FBgn0000611	1038	1000	1017	59	9	6.555555555555555	979
FBgn0000615	1011	1000	1000	22	6	3.6666666666666665	989
FBgn0000617	1019	1000	986	52	9	5.777777777777778	967
FBgn0000618	1001	1000	1000	2	2	1	999
FBgn0000625	1087	1000	1080	94	11	8.545454545454545	993
FBgn0000629	1019	1000	896	142	16	8.875	877
FBgn0000633	1066	1000	1016	116	24	4.833333333333333	950
FBgn0000635	1017	1000	962	72	9	8	945
FBgn0000636	1030	1000	953	107	12	8.916666666666666	923
FBgn0000639	1017	1000	999	35	5	7	982
FBgn0000640	692	683	673	28	4	7	664
FBgn0000644	1015	1000	982	48	16	3	967
FBgn0000662	1024	1000	994	54	9	6	970
FBgn0000709	1018	1000	1003	33	6	5.5	985
FBgn0000715	1002	1000	996	8	5	1.6	994
FBgn0000721	1008	1000	951	65	13	5	943
FBgn0000723	1025	1000	943	107	14	7.642857142857143	918
FBgn0000810	1021	1000	1016	26	5	5.2	995
FBgn0000928	1004	1000	972	36	9	4	968
FBgn0000964	1030	1000	1006	54	19	2.8421052631578947	976
FBgn0000996	1056	1000	1045	67	16	4.1875	989
FBgn0001075	1038	1000	1006	70	15	4.666666666666667	968
FBgn0001077	1000	1000	982	18	4	4.5	982
FBgn0001079	1033	1000	1011	55	8	6.875	978
FBgn0001083	1047	1000	970	124	23	5.391304347826087	923
FBgn0001085	1003	1000	962	44	6	7.333333333333333	959
FBgn0001086	1000	1000	991	9	4	2.25	991
FBgn0001087	851	823	778	101	9	11.222222222222221	750
FBgn0001089	1011	1000	938	84	11	7.636363636363637	927
FBgn0001090	1024	1000	986	62	8	7.75	962
FBgn0001091	1000	1000	978	22	6	3.6666666666666665	978
FBgn0001092	1012	1000	996	28	10	2.8	984
FBgn0001104	1005	1000	909	101	15	6.733333333333333	904
FBgn0001108	1047	1000	995	99	9	11	948
FBgn0001112	1040	1000	1037	43	9	4.777777777777778	997
FBgn0001114	1010	1000	960	60	9	6.666666666666667	950
FBgn0001120	1079	1000	1052	106	15	7.066666666666666	973
FBgn0001122	1044	1000	1006	82	12	6.833333333333333	962
FBgn0001124	1009	1000	1008	10	4	2.5	999
FBgn0001125	1000	1000	989	11	5	2.2	989
FBgn0001128	1016	1000	888	144	12	12	872
FBgn0001133	1000	1000	998	2	2	1	998
FBgn0001134	1015	1000	1009	21	4	5.25	994
FBgn0001138	1000	1000	993	7	3	2.3333333333333335	993
FBgn0001139	896	872	775	145	12	12.083333333333334	751
FBgn0001145	1029	1000	1004	54	12	4.5	975
FBgn0001147	1006	1000	1005	7	3	2.3333333333333335	999
FBgn0001148	1072	1000	1054	90	11	8.181818181818182	982
FBgn0001150	1008	1000	941	75	6	12.5	933
FBgn0001168	1002	1000	945	59	6	9.833333333333334	943
FBgn0001169	1033	1000	1013	53	11	4.818181818181818	980
FBgn0001174	1117	1000	1066	168	16	10.5	949
FBgn0001180	1020	1000	982	58	10	5.8	962
FBgn0001185	1023	1000	1011	35	8	4.375	988
FBgn0001186	1020	1000	982	58	11	5.2727272727272725	962
FBgn0001187	1015	1000	1013	17	5	3.4	998
FBgn0001189	1002	1000	1001	3	2	1.5	999
FBgn0001206	1023	1000	1000	46	8	5.75	977
FBgn0001208	1007	1000	1001	13	3	4.333333333333333	994
FBgn0001215	1000	1000	514	486	2	243	514
FBgn0001216	1019	1000	952	86	11	7.818181818181818	933
FBgn0001222	1015	1000	997	33	15	2.2	982
FBgn0001224	766	762	675	95	5	19	671
FBgn0001225	679	674	673	11	6	1.8333333333333333	668
FBgn0001226	1018	1000	988	48	11	4.363636363636363	970
FBgn0001227	1001	1000	924	78	8	9.75	923
FBgn0001228	1003	1000	1003	3	1	3	1000
FBgn0001229	1004	1000	961	47	8	5.875	957
FBgn0001230	1021	1000	959	83	12	6.916666666666667	938
FBgn0001235	1012	1000	1000	24	6	4	988
FBgn0001247	1010	1000	971	49	7	7	961
FBgn0001248	1015	1000	1004	26	7	3.7142857142857144	989
FBgn0001250	1013	1000	955	71	8	8.875	942
FBgn0001253	1010	1000	934	86	7	12.285714285714286	924
FBgn0001254	1045	1000	987	103	12	8.583333333333334	942
FBgn0001256	1000	1000	969	31	5	6.2	969
FBgn0001257	1014	1000	1010	18	6	3	996
FBgn0001259	1014	1000	978	50	9	5.555555555555555	964
FBgn0001269	1001	1000	623	379	2	189.5	622
FBgn0001276	1012	1000	989	35	9	3.888888888888889	977
FBgn0001280	1000	1000	999	1	1	1	999
FBgn0001291	1008	1000	989	27	9	3	981
FBgn0001297	1044	1000	963	125	12	10.416666666666666	919
FBgn0001301	1120	1000	1068	172	14	12.285714285714286	948
FBgn0001308	1000	1000	999	1	1	1	999
FBgn0001311	1059	1000	1056	62	12	5.166666666666667	997
FBgn0001316	1044	1000	1036	52	9	5.777777777777778	992
FBgn0001319	1042	1000	1000	84	9	9.333333333333334	958
FBgn0001320	1015	1000	992	38	10	3.8	977
FBgn0001321	1007	1000	968	46	12	3.8333333333333335	961
FBgn0001323	1009	1000	986	32	5	6.4	977
FBgn0001325	1002	1000	999	5	2	2.5	997
FBgn0001330	1044	1000	1032	56	9	6.222222222222222	988
FBgn0001404	875	873	818	59	12	4.916666666666667	816
FBgn0001491	1015	1000	1004	26	6	4.333333333333333	989
FBgn0001612	1034	1000	994	74	15	4.933333333333334	960
FBgn0001624	821	784	795	63	9	7	758
FBgn0001941	1039	1000	990	88	16	5.5	951
FBgn0001942	1031	1000	978	84	10	8.4	947
FBgn0001961	1006	1000	981	31	7	4.428571428571429	975
FBgn0001965	1004	1000	499	509	5	101.8	495
FBgn0001967	1018	1000	962	74	15	4.933333333333334	944
FBgn0001970	1043	1000	970	116	16	7.25	927
FBgn0001977	1001	1000	972	30	6	5	971
FBgn0001983	1008	1000	1003	13	5	2.6	995
FBgn0001987	1050	1000	850	250	19	13.157894736842104	800
FBgn0001991	1075	1000	1049	101	13	7.769230769230769	974
FBgn0001992	1024	1000	997	51	12	4.25	973
FBgn0001994	1029	1000	1014	44	10	4.4	985
FBgn0001995	1070	1000	1036	104	18	5.777777777777778	966
FBgn0002022	754	739	747	22	9	2.4444444444444446	732
FBgn0002023	1000	1000	786	214	2	107	786
FBgn0002044	1020	1000	978	62	7	8.857142857142858	958
FBgn0002174	1023	1000	1002	44	8	5.5	979
FBgn0002283	721	674	701	67	8	8.375	654
FBgn0002306	1056	1000	1006	106	17	6.235294117647059	950
FBgn0002354	1002	1000	997	7	4	1.75	995
FBgn0002413	1045	1000	1012	78	17	4.588235294117647	967
FBgn0002431	968	954	924	58	9	6.444444444444445	910
FBgn0002440	1032	1000	1029	35	4	8.75	997
FBgn0002441	1002	1000	999	5	4	1.25	997
FBgn0002524	1011	1000	974	48	6	8	963
FBgn0002525	1006	1000	999	13	4	3.25	993
FBgn0002526	1034	1000	971	97	10	9.7	937
FBgn0002531	1076	1000	1043	109	15	7.266666666666667	967
FBgn0002542	1005	1000	962	48	3	16	957
FBgn0002552	1025	1000	1017	33	5	6.6	992
FBgn0002561	1014	1000	1008	20	7	2.857142857142857	994
FBgn0002562	1042	1000	1000	84	13	6.461538461538462	958
FBgn0002563	1003	1000	943	63	8	7.875	940
FBgn0002564	1047	1000	612	482	3	160.66666666666666	565
FBgn0002565	1008	989	952	75	6	12.5	933
FBgn0002570	1049	1000	931	167	12	13.916666666666666	882
FBgn0002571	1003	1000	988	18	5	3.6	985
FBgn0002573	1027	1000	985	69	9	7.666666666666667	958
FBgn0002576	1020	1000	993	47	5	9.4	973
FBgn0002579	1015	1000	1014	16	4	4	999
FBgn0002593	1000	1000	997	3	3	1	997
FBgn0002626	1007	1000	997	17	7	2.4285714285714284	990
FBgn0002629	1001	1000	1000	2	2	1	999
FBgn0002631	1000	1000	965	35	2	17.5	965
FBgn0002632	1008	1000	1005	11	5	2.2	997
FBgn0002638	996	996	974	22	4	5.5	974
FBgn0002641	1047	1000	1042	52	5	10.4	995
FBgn0002643	1031	1000	1012	50	10	5	981
FBgn0002673	1042	1000	1005	79	8	9.875	963
FBgn0002715	1008	1000	1006	10	3	3.3333333333333335	998
FBgn0002732	1000	1000	1000	0	0	NA	1000
FBgn0002734	1009	1000	949	69	9	7.666666666666667	940
FBgn0002735	1000	1000	966	34	3	11.333333333333334	966
FBgn0002736	1006	1000	998	14	4	3.5	992
FBgn0002772	1043	1000	1033	53	12	4.416666666666667	990
FBgn0002773	1007	1000	977	37	4	9.25	970
FBgn0002775	1012	1000	1011	13	3	4.333333333333333	999
FBgn0002778	679	675	677	6	4	1.5	673
FBgn0002780	1037	1000	898	176	3	58.666666666666664	861
FBgn0002783	1009	1000	1001	17	6	2.8333333333333335	992
FBgn0002787	1003	1000	1000	6	2	3	997
FBgn0002789	1104	1000	1086	122	18	6.777777777777778	982
FBgn0002842	1005	1000	929	81	9	9	924
FBgn0002862	1008	1000	904	112	10	11.2	896
FBgn0002863	770	756	753	31	8	3.875	739
FBgn0002865	1001	1000	984	18	6	3	983
FBgn0002868	1013	1000	1011	15	6	2.5	998
FBgn0002872	1000	1000	981	19	3	6.333333333333333	981
FBgn0002878	1033	1000	1027	39	5	7.8	994
FBgn0002899	1019	1000	993	45	10	4.5	974
FBgn0002901	1041	1000	1010	72	3	24	969
FBgn0002905	1003	1000	743	263	13	20.23076923076923	740
FBgn0002906	1035	1000	1029	41	4	10.25	994
FBgn0002917	1012	1000	1000	24	6	4	988
FBgn0002922	1024	1000	954	94	16	5.875	930
FBgn0002924	1002	1000	1001	3	2	1.5	999
FBgn0002926	1026	1000	973	79	12	6.583333333333333	947
FBgn0002930	1000	1000	993	7	1	7	993
FBgn0002932	1002	1000	1000	4	4	1	998
FBgn0002937	1059	1000	1017	101	18	5.611111111111111	958
FBgn0002939	1063	1000	1053	73	9	8.11111111111111	990
FBgn0002940	1013	1000	993	33	8	4.125	980
FBgn0002941	1004	1000	957	51	7	7.285714285714286	953
FBgn0002962	1017	1000	1015	19	5	3.8	998
FBgn0002985	1000	1000	968	32	4	8	968
FBgn0002989	1002	1000	987	17	6	2.8333333333333335	985
FBgn0003008	1002	1000	998	6	5	1.2	996
FBgn0003009	1033	1000	1006	60	11	5.454545454545454	973
FBgn0003011	1003	1000	957	49	6	8.166666666666666	954
FBgn0003015	1008	1000	951	65	12	5.416666666666667	943
FBgn0003016	1064	1000	485	643	12	53.583333333333336	421
FBgn0003028	1042	1000	1035	49	12	4.083333333333333	993
FBgn0003034	1009	1000	989	29	10	2.9	980
FBgn0003041	1045	1000	1013	77	7	11	968
FBgn0003044	1015	1000	997	33	15	2.2	982
FBgn0003046	1014	1000	997	31	8	3.875	983
FBgn0003053	1049	1000	983	115	9	12.777777777777779	934
FBgn0003057	1023	1000	1005	41	6	6.833333333333333	982
FBgn0003060	1018	1000	995	41	9	4.555555555555555	977
FBgn0003062	1005	1000	955	55	8	6.875	950
FBgn0003065	1012	1000	987	37	6	6.166666666666667	975
FBgn0003068	1020	1000	952	88	12	7.333333333333333	932
FBgn0003071	1004	1000	999	9	5	1.8	995
FBgn0003074	1025	1000	1022	28	3	9.333333333333334	997
FBgn0003076	1061	1000	1043	79	10	7.9	982
FBgn0003079	1078	1000	983	173	20	8.65	905
FBgn0003082	1069	1000	1059	79	9	8.777777777777779	990
FBgn0003087	1000	1000	989	11	3	3.6666666666666665	989
FBgn0003089	1029	1000	1019	39	8	4.875	990
FBgn0003091	1045	1000	1034	56	11	5.090909090909091	989
FBgn0003093	1000	1000	999	1	1	1	999
FBgn0003114	1001	1000	1000	2	2	1	999
FBgn0003117	1003	1000	976	30	7	4.285714285714286	973
FBgn0003118	1010	1000	938	82	11	7.454545454545454	928
FBgn0003124	837	827	800	47	10	4.7	790
FBgn0003129	1016	1000	1011	21	6	3.5	995
FBgn0003130	1023	1000	994	52	9	5.777777777777778	971
FBgn0003137	1005	1000	982	28	6	4.666666666666667	977
FBgn0003139	1016	1000	934	98	11	8.909090909090908	918
FBgn0003140	1006	1000	970	42	7	6	964
FBgn0003141	1000	1000	1000	0	0	NA	1000
FBgn0003145	1039	1000	990	88	13	6.769230769230769	951
FBgn0003149	1016	1000	1007	25	6	4.166666666666667	991
FBgn0003159	1040	1000	1001	79	15	5.266666666666667	961
FBgn0003162	1028	1000	973	83	9	9.222222222222221	945
FBgn0003165	837	836	787	51	10	5.1	786
FBgn0003169	1017	1000	1016	18	5	3.6	999
FBgn0003175	1029	1000	1008	50	12	4.166666666666667	979
FBgn0003187	888	878	807	91	14	6.5	797
FBgn0003189	1024	1000	1017	31	8	3.875	993
FBgn0003204	1048	1000	1033	63	8	7.875	985
FBgn0003205	1000	1000	1000	0	0	NA	1000
FBgn0003206	1000	1000	1000	0	0	NA	1000
FBgn0003209	1047	1000	773	321	11	29.181818181818183	726
FBgn0003231	1018	1000	368	668	5	133.6	350
FBgn0003249	1038	1000	963	113	9	12.555555555555555	925
FBgn0003250	1022	1000	1021	23	4	5.75	999
FBgn0003254	1047	1000	1029	65	8	8.125	982
FBgn0003255	1028	1000	992	64	14	4.571428571428571	964
FBgn0003256	1002	1000	287	717	4	179.25	285
FBgn0003257	1020	1000	991	49	9	5.444444444444445	971
FBgn0003261	1081	1000	785	377	21	17.952380952380953	704
FBgn0003267	1003	1000	979	27	7	3.857142857142857	976
FBgn0003268	1001	1000	1000	2	2	1	999
FBgn0003274	1036	1000	1005	67	10	6.7	969
FBgn0003279	1027	1000	998	56	10	5.6	971
FBgn0003285	1013	1000	977	49	12	4.083333333333333	964
FBgn0003292	1014	1000	977	51	12	4.25	963
FBgn0003295	1035	1000	940	130	15	8.666666666666666	905
FBgn0003300	1013	1000	963	63	8	7.875	950
FBgn0003301	1007	1000	991	23	8	2.875	984
FBgn0003310	1000	1000	1000	0	0	NA	1000
FBgn0003312	1041	1000	1028	54	10	5.4	987
FBgn0003317	1006	1000	979	33	8	4.125	973
FBgn0003319	1010	1000	950	70	8	8.75	940
FBgn0003321	1021	1000	1019	23	4	5.75	998
FBgn0003326	1009	1000	944	74	10	7.4	935
FBgn0003330	1031	1000	1025	37	7	5.285714285714286	994
FBgn0003334	1062	1000	858	266	11	24.181818181818183	796
FBgn0003339	1021	1000	1020	22	5	4.4	999
FBgn0003346	1042	1000	1014	70	14	5	972
FBgn0003353	1006	1000	989	23	8	2.875	983
FBgn0003356	729	683	664	111	13	8.538461538461538	618
FBgn0003357	1006	1000	997	15	4	3.75	991
FBgn0003360	1000	1000	361	639	3	213	361
FBgn0003366	1037	1000	975	99	18	5.5	938
FBgn0003372	1047	1000	994	100	11	9.090909090909092	947
FBgn0003377	1019	957	999	82	12	6.833333333333333	937
FBgn0003378	998	928	991	77	11	7	921
FBgn0003380	1008	1000	998	18	7	2.5714285714285716	990
FBgn0003382	1014	1000	983	45	9	5	969
FBgn0003388	1014	1000	992	36	10	3.6	978
FBgn0003390	1027	1000	920	134	21	6.380952380952381	893
FBgn0003391	1003	1000	960	46	7	6.571428571428571	957
FBgn0003396	1054	1000	917	191	15	12.733333333333333	863
FBgn0003410	1042	1000	1029	55	9	6.111111111111111	987
FBgn0003411	1021	1000	964	78	15	5.2	943
FBgn0003415	1007	1000	973	41	6	6.833333333333333	966
FBgn0003429	1004	1000	999	9	3	3	995
FBgn0003430	1019	1000	1014	24	5	4.8	995
FBgn0003435	1028	1000	1014	42	7	6	986
FBgn0003444	1010	1000	984	36	7	5.142857142857143	974
FBgn0003447	1000	1000	990	10	3	3.3333333333333335	990
FBgn0003448	1034	1000	897	171	8	21.375	863
FBgn0003449	1023	1000	1022	24	5	4.8	999
FBgn0003450	1003	1000	970	36	8	4.5	967
FBgn0003460	1032	1000	986	78	11	7.090909090909091	954
FBgn0003462	1022	1000	994	50	12	4.166666666666667	972
FBgn0003463	1054	1000	1002	106	14	7.571428571428571	948
FBgn0003464	1030	1000	1027	33	8	4.125	997
FBgn0003479	1025	1000	998	52	7	7.428571428571429	973
FBgn0003483	1006	1000	965	47	8	5.875	959
FBgn0003495	1052	1000	954	150	19	7.894736842105263	902
FBgn0003499	1043	1000	1023	63	6	10.5	980
FBgn0003507	1122	1000	1067	177	16	11.0625	945
FBgn0003512	1014	1000	986	42	6	7	972
FBgn0003513	1002	1000	1002	2	2	1	1000
FBgn0003514	1014	1000	979	49	8	6.125	965
FBgn0003515	1085	1000	1064	106	12	8.833333333333334	979
FBgn0003517	1023	1000	1005	41	10	4.1	982
FBgn0003520	1011	1000	1010	12	4	3	999
FBgn0003525	1020	1000	980	60	10	6	960
FBgn0003545	1051	1000	1050	52	7	7.428571428571429	999
FBgn0003557	1000	1000	981	19	4	4.75	981
FBgn0003567	1023	1000	1019	27	7	3.857142857142857	996
FBgn0003575	1000	1000	973	27	3	9	973
FBgn0003598	1000	1000	975	25	5	5	975
FBgn0003607	997	996	979	19	4	4.75	978
FBgn0003654	1012	1000	636	388	20	19.4	624
FBgn0003655	1002	1000	981	23	5	4.6	979
FBgn0003660	1059	1000	1050	68	10	6.8	991
FBgn0003701	1000	1000	797	203	6	33.833333333333336	797
FBgn0003714	1001	1000	993	9	5	1.8	992
FBgn0003716	1011	1000	1007	15	6	2.5	996
FBgn0003719	1016	1000	984	48	7	6.857142857142857	968
FBgn0003720	1000	1000	608	392	2	196	608
FBgn0003721	1000	1000	998	2	1	2	998
FBgn0003733	1083	1000	1071	95	11	8.636363636363637	988
FBgn0003744	1000	1000	968	32	4	8	968
FBgn0003747	1038	1000	1019	57	15	3.8	981
FBgn0003748	1016	1000	891	141	14	10.071428571428571	875
FBgn0003861	1048	1000	985	111	11	10.090909090909092	937
FBgn0003862	1002	1000	943	61	6	10.166666666666666	941
FBgn0003866	1007	1000	858	156	7	22.285714285714285	851
FBgn0003867	1032	1000	1032	32	4	8	1000
FBgn0003870	1000	1000	978	22	2	11	978
FBgn0003885	1086	1000	1043	129	19	6.7894736842105265	957
FBgn0003886	1037	1000	1003	71	12	5.916666666666667	966
FBgn0003888	1013	1000	968	58	11	5.2727272727272725	955
FBgn0003890	1021	1000	987	55	17	3.235294117647059	966
FBgn0003892	1033	1000	995	71	14	5.071428571428571	962
FBgn0003896	1001	1000	965	37	6	6.166666666666667	964
FBgn0003936	1010	1000	973	47	10	4.7	963
FBgn0003938	1006	1000	970	42	8	5.25	964
FBgn0003941	1019	1000	957	81	14	5.785714285714286	938
FBgn0003943	1001	1000	998	4	3	1.3333333333333333	997
FBgn0003950	1015	1000	715	315	11	28.636363636363637	700
FBgn0003965	1053	1000	1021	85	12	7.083333333333333	968
FBgn0003969	1022	1000	992	52	10	5.2	970
FBgn0003975	1013	1000	1008	18	6	3	995
FBgn0003977	1014	1000	984	44	9	4.888888888888889	970
FBgn0003978	1016	1000	978	54	11	4.909090909090909	962
FBgn0003979	1000	1000	374	626	1	626	374
FBgn0003983	1017	1000	989	45	9	5	972
FBgn0003984	1076	1000	1059	93	8	11.625	983
FBgn0003997	1030	1000	971	89	11	8.090909090909092	941
FBgn0004003	1013	1000	974	52	6	8.666666666666666	961
FBgn0004034	1014	1000	977	51	8	6.375	963
FBgn0004045	1015	1000	980	50	10	5	965
FBgn0004047	1080	1000	971	189	29	6.517241379310345	891
FBgn0004049	1015	1000	988	42	7	6	973
FBgn0004050	1003	1000	1001	5	3	1.6666666666666667	998
FBgn0004052	1041	1000	1035	47	8	5.875	994
FBgn0004053	1002	1000	904	100	7	14.285714285714286	902
FBgn0004054	1076	1000	1020	132	12	11	944
FBgn0004055	1065	1000	1042	88	10	8.8	977
FBgn0004066	1015	1000	995	35	9	3.888888888888889	980
FBgn0004101	1050	1000	1044	56	6	9.333333333333334	994
FBgn0004102	1013	1000	1003	23	5	4.6	990
FBgn0004103	1033	1000	1026	40	7	5.714285714285714	993
FBgn0004106	1033	1000	1012	54	11	4.909090909090909	979
FBgn0004108	1000	1000	982	18	4	4.5	982
FBgn0004110	1043	1000	838	248	9	27.555555555555557	795
FBgn0004117	1009	1000	973	45	13	3.4615384615384617	964
FBgn0004132	1032	1000	1028	36	4	9	996
FBgn0004133	1021	1000	994	48	10	4.8	973
FBgn0004143	1073	1000	1036	110	17	6.470588235294118	963
FBgn0004168	1035	1000	993	77	12	6.416666666666667	958
FBgn0004169	1018	1000	1010	26	10	2.6	992
FBgn0004170	1014	1000	1013	15	5	3	999
FBgn0004172	1008	1000	721	295	6	49.166666666666664	713
FBgn0004173	679	675	640	43	8	5.375	636
FBgn0004177	1001	1000	795	207	7	29.571428571428573	794
FBgn0004185	1007	1000	992	22	9	2.4444444444444446	985
FBgn0004192	1020	1000	949	91	13	7	929
FBgn0004197	1001	1000	986	16	4	4	985
FBgn0004198	1046	1000	1042	50	7	7.142857142857143	996
FBgn0004228	727	725	691	38	5	7.6	689
