gene	JC	K2P
FBgn0000008	  9.31  9.31
FBgn0000299	  4.81  4.82
FBgn0000308	 10.32 10.32
FBgn0000317	  9.11  9.13
FBgn0000318	  7.63  7.63
FBgn0000320	  4.79  4.80
FBgn0000326	  4.72  4.72
FBgn0000330	  5.15  5.16
FBgn0000337	  9.56  9.56
FBgn0000339	  4.48  4.48
FBgn0000352	  6.12  6.15
FBgn0000355	  8.24  8.25
FBgn0000356	  4.93  4.93
FBgn0000357	  1.93  1.93
FBgn0000359	  9.08  9.08
FBgn0000360	  9.33  9.35
FBgn0000370	 13.08 13.13
FBgn0000382	  4.04  4.04
FBgn0000394	  7.55  7.55
FBgn0000395	  8.35  8.36
FBgn0000404	 12.16 12.22
FBgn0000405	  2.91  2.91
FBgn0000406	  5.82  5.83
FBgn0000411	  6.83  6.83
FBgn0000414	  5.46  5.46
FBgn0000416	  5.84  5.85
FBgn0000422	  8.26  8.27
FBgn0000426	  5.84  5.86
FBgn0000427	  5.04  5.05
FBgn0000439	  7.37  7.39
FBgn0000442	  4.46  4.47
FBgn0000447	  4.53  4.54
FBgn0000451	  3.97  3.97
FBgn0000455	  3.69  3.69
FBgn0000459	  1.21  1.21
FBgn0000477	  7.45  7.46
FBgn0000482	  2.60  2.61
FBgn0000489	  6.49  6.49
FBgn0000490	  2.99  2.99
FBgn0000492	  3.77  3.78
FBgn0000499	  7.36  7.36
FBgn0000529	  3.61  3.62
FBgn0000533	  9.38  9.38
FBgn0000536	 10.16 10.18
FBgn0000543	  6.20  6.22
FBgn0000551	  4.48  4.49
FBgn0000552	  9.81  9.83
FBgn0000560	  6.49  6.50
FBgn0000564	  7.02  7.03
FBgn0000567	  7.01  7.02
FBgn0000568	  6.61  6.62
FBgn0000575	  5.99  6.00
FBgn0000576	  3.61  3.62
FBgn0000577	  2.85  2.86
FBgn0000578	 12.12 12.13
FBgn0000579	  3.94  3.95
FBgn0000581	  3.74  3.75
FBgn0000591	  1.49  1.49
FBgn0000606	  2.46  2.47
FBgn0000611	  6.28  6.29
FBgn0000615	  5.02  5.02
FBgn0000617	  6.25  6.26
FBgn0000618	  6.59  6.61
FBgn0000625	  7.18  7.21
FBgn0000629	  4.95  4.96
FBgn0000633	 13.45 13.49
FBgn0000635	  6.63  6.65
FBgn0000636	 11.70 11.73
FBgn0000639	  5.27  5.28
FBgn0000640	  5.47  5.47
FBgn0000644	  7.16  7.18
FBgn0000662	  8.39  8.40
FBgn0000709	  6.35  6.38
FBgn0000715	  2.98  2.98
FBgn0000721	 11.56 11.57
FBgn0000723	  9.14  9.15
FBgn0000810	  6.18  6.18
FBgn0000928	  6.36  6.38
FBgn0000964	 13.18 13.20
FBgn0000996	 11.45 11.49
FBgn0001075	  7.26  7.27
FBgn0001077	  4.19  4.19
FBgn0001079	  8.66  8.67
FBgn0001083	 10.95 10.97
FBgn0001085	  7.68  7.70
FBgn0001086	  5.77  5.77
FBgn0001087	  7.87  7.88
FBgn0001089	  4.44  4.45
FBgn0001090	  2.11  2.11
FBgn0001091	  8.66  8.67
FBgn0001092	  8.26  8.28
FBgn0001104	 12.75 12.78
FBgn0001108	  6.73  6.75
FBgn0001112	  7.70  7.71
FBgn0001114	  6.25  6.26
FBgn0001120	 11.89 11.90
FBgn0001122	 10.35 10.36
FBgn0001124	  3.48  3.49
FBgn0001125	  6.77  6.78
FBgn0001128	 10.84 10.85
FBgn0001133	  3.59  3.60
FBgn0001134	  4.46  4.46
FBgn0001138	  2.87  2.88
FBgn0001139	 12.11 12.12
FBgn0001145	  6.31  6.31
FBgn0001147	  4.65  4.65
FBgn0001148	  6.71  6.71
FBgn0001150	  6.02  6.04
FBgn0001168	  1.39  1.39
FBgn0001169	  6.50  6.51
FBgn0001174	  8.71  8.73
FBgn0001180	  4.50  4.50
FBgn0001185	  3.84  3.84
FBgn0001186	  8.70  8.71
FBgn0001187	  5.94  5.94
FBgn0001189	  6.70  6.70
FBgn0001206	  9.25  9.25
FBgn0001208	  4.24  4.25
FBgn0001215	  4.20  4.21
FBgn0001216	 10.82 10.83
FBgn0001222	  9.20  9.21
FBgn0001224	  5.89  5.89
FBgn0001225	  3.52  3.53
FBgn0001226	  9.20  9.24
FBgn0001227	  2.98  2.99
FBgn0001228	  4.22  4.23
FBgn0001229	  6.55  6.56
FBgn0001230	  8.34  8.35
FBgn0001235	  5.89  5.89
FBgn0001247	  4.28  4.29
FBgn0001248	  3.94  3.96
FBgn0001250	  8.30  8.31
FBgn0001253	  5.97  5.97
FBgn0001254	  5.51  5.51
FBgn0001256	  5.57  5.57
FBgn0001257	  3.92  3.92
FBgn0001259	  6.16  6.17
FBgn0001269	  3.45  3.46
FBgn0001276	 11.36 11.37
FBgn0001280	  5.18  5.18
FBgn0001291	  2.80  2.81
FBgn0001297	  5.77  5.77
FBgn0001301	 11.25 11.25
FBgn0001308	  7.91  7.93
FBgn0001311	  9.28  9.28
FBgn0001316	  8.99  9.02
FBgn0001319	  6.77  6.78
FBgn0001320	  4.43  4.43
FBgn0001321	  5.17  5.17
FBgn0001323	  8.44  8.45
FBgn0001325	  3.91  3.92
FBgn0001330	  5.35  5.36
FBgn0001404	  6.26  6.28
FBgn0001491	  4.48  4.48
FBgn0001612	 13.18 13.21
FBgn0001624	 10.01 10.04
FBgn0001941	  9.28  9.32
FBgn0001942	  9.80  9.80
FBgn0001961	  8.34  8.37
FBgn0001965	  6.54  6.55
FBgn0001967	 12.41 12.42
FBgn0001970	  9.53  9.56
FBgn0001977	  8.27  8.31
FBgn0001983	  5.63  5.65
FBgn0001987	 11.31 11.31
FBgn0001991	  6.65  6.66
FBgn0001992	  7.45  7.46
FBgn0001994	 10.32 10.33
FBgn0001995	 12.47 12.49
FBgn0002022	  7.01  7.02
FBgn0002023	  2.06  2.06
FBgn0002044	  7.34  7.36
FBgn0002174	  7.97  8.00
FBgn0002283	 11.19 11.21
FBgn0002306	  8.46  8.47
FBgn0002354	  7.50  7.51
FBgn0002413	 15.57 15.61
FBgn0002431	  9.23  9.24
FBgn0002440	  5.62  5.63
FBgn0002441	  7.37  7.38
FBgn0002524	  7.65  7.66
FBgn0002525	  5.86  5.87
FBgn0002526	  7.63  7.64
FBgn0002531	 11.49 11.50
FBgn0002542	  8.75  8.76
FBgn0002552	  6.20  6.21
FBgn0002561	  3.19  3.19
FBgn0002562	 10.04 10.05
FBgn0002563	  2.93  2.93
FBgn0002564	  5.13  5.13
FBgn0002565	  5.33  5.33
FBgn0002570	  6.76  6.76
FBgn0002571	  5.58  5.59
FBgn0002573	  4.30  4.30
FBgn0002576	  4.01  4.02
FBgn0002579	  6.37  6.38
FBgn0002593	  6.93  6.95
FBgn0002626	  9.00  9.02
FBgn0002629	  1.52  1.52
FBgn0002631	  2.53  2.53
FBgn0002632	  2.03  2.03
FBgn0002638	  3.25  3.26
FBgn0002641	  5.63  5.66
FBgn0002643	  7.72  7.76
FBgn0002673	  9.04  9.05
FBgn0002715	  3.80  3.82
FBgn0002732	  0.50  0.50
FBgn0002734	  5.86  5.87
FBgn0002735	  1.99  2.00
FBgn0002736	  2.67  2.67
FBgn0002772	  3.41  3.41
FBgn0002773	  2.41  2.41
FBgn0002775	  5.50  5.51
FBgn0002778	  6.52  6.52
FBgn0002780	  2.96  2.97
FBgn0002783	  6.86  6.86
FBgn0002787	  4.12  4.13
FBgn0002789	  8.17  8.19
FBgn0002842	  5.04  5.04
FBgn0002862	  3.19  3.20
FBgn0002863	 10.13 10.13
FBgn0002865	  5.49  5.50
FBgn0002868	  4.01  4.02
FBgn0002872	  4.52  4.53
FBgn0002878	  6.62  6.63
FBgn0002899	 10.69 10.71
FBgn0002901	  5.12  5.13
FBgn0002905	 11.67 11.69
FBgn0002906	  4.99  5.00
FBgn0002917	  3.52  3.53
FBgn0002922	  5.23  5.23
FBgn0002924	  3.48  3.49
FBgn0002926	  5.59  5.59
FBgn0002930	  4.89  4.90
FBgn0002932	  7.70  7.72
FBgn0002937	  8.74  8.74
FBgn0002939	  9.69  9.70
FBgn0002940	  6.16  6.17
FBgn0002941	  2.34  2.35
FBgn0002962	  4.65  4.65
FBgn0002985	  1.46  1.46
FBgn0002989	  5.15  5.15
FBgn0003008	  7.49  7.49
FBgn0003009	  6.32  6.33
FBgn0003011	  5.66  5.67
FBgn0003015	  5.84  5.84
FBgn0003016	 16.99 17.00
FBgn0003028	  4.03  4.03
FBgn0003034	  7.96  7.97
FBgn0003041	  7.60  7.61
FBgn0003044	  9.66  9.67
FBgn0003046	  3.33  3.33
FBgn0003053	  7.19  7.22
FBgn0003057	  4.30  4.30
FBgn0003060	  6.30  6.31
FBgn0003062	 11.59 11.66
FBgn0003065	  5.20  5.21
FBgn0003068	  6.26  6.27
FBgn0003071	  1.01  1.01
FBgn0003074	  5.95  5.95
FBgn0003076	 10.12 10.15
FBgn0003079	  6.22  6.24
FBgn0003082	  8.78  8.79
FBgn0003087	  5.45  5.45
FBgn0003089	  4.58  4.58
FBgn0003091	  7.88  7.89
FBgn0003093	  5.18  5.19
FBgn0003114	  5.83  5.83
FBgn0003117	  4.55  4.56
FBgn0003118	  6.17  6.18
FBgn0003124	  5.11  5.11
FBgn0003129	  5.63  5.64
FBgn0003130	  7.69  7.70
FBgn0003137	  3.03  3.03
FBgn0003139	  8.90  8.91
FBgn0003140	  4.05  4.06
FBgn0003141	  5.71  5.72
FBgn0003145	  8.69  8.70
FBgn0003149	  2.88  2.89
FBgn0003159	  4.95  4.96
FBgn0003162	  5.15  5.16
FBgn0003165	  9.91  9.94
FBgn0003169	  6.70  6.71
FBgn0003175	 11.22 11.23
FBgn0003187	  4.93  4.93
FBgn0003189	 11.99 12.00
FBgn0003204	  5.15  5.16
FBgn0003205	  6.15  6.16
FBgn0003206	  2.13  2.14
FBgn0003209	 15.22 15.24
FBgn0003231	 14.10 14.17
FBgn0003249	  4.00  4.00
FBgn0003250	  6.48  6.48
FBgn0003254	  3.33  3.33
FBgn0003255	  7.52  7.53
FBgn0003256	 15.11 15.12
FBgn0003257	  7.69  7.71
FBgn0003261	 16.28 16.28
FBgn0003267	  6.19  6.20
FBgn0003268	  3.80  3.80
FBgn0003274	 10.63 10.66
FBgn0003279	 12.16 12.18
FBgn0003285	  6.61  6.61
FBgn0003292	 10.94 10.94
FBgn0003295	  7.67  7.68
FBgn0003300	  6.03  6.03
FBgn0003301	  8.95  8.97
FBgn0003310	  5.17  5.19
FBgn0003312	  6.89  6.90
FBgn0003317	  8.13  8.16
FBgn0003319	  3.93  3.94
FBgn0003321	  7.14  7.16
FBgn0003326	  4.29  4.31
FBgn0003330	  6.07  6.08
FBgn0003334	  8.50  8.51
FBgn0003339	  3.17  3.17
FBgn0003346	  8.03  8.05
FBgn0003353	  5.16  5.16
FBgn0003356	 12.28 12.30
FBgn0003357	  5.55  5.56
FBgn0003360	  6.96  6.96
FBgn0003366	  8.34  8.34
FBgn0003372	  8.13  8.14
FBgn0003377	 11.89 11.90
FBgn0003378	  8.74  8.76
FBgn0003380	  7.43  7.43
FBgn0003382	  7.48  7.49
FBgn0003388	  4.64  4.64
FBgn0003390	 11.08 11.15
FBgn0003391	  9.10  9.10
FBgn0003396	 10.03 10.06
FBgn0003410	  7.67  7.68
FBgn0003411	  4.93  4.94
FBgn0003415	  7.16  7.17
FBgn0003429	  5.85  5.86
FBgn0003430	  3.81  3.82
FBgn0003435	 10.08 10.08
FBgn0003444	  5.10  5.11
FBgn0003447	  5.12  5.14
FBgn0003448	  4.05  4.05
FBgn0003449	  7.58  7.60
FBgn0003450	  7.04  7.04
FBgn0003460	  9.25  9.28
FBgn0003462	  7.57  7.58
FBgn0003463	  9.79  9.83
FBgn0003464	  7.37  7.38
FBgn0003479	  7.11  7.11
FBgn0003483	  7.56  7.57
FBgn0003495	 14.78 14.84
FBgn0003499	  3.87  3.87
FBgn0003507	  7.92  7.92
FBgn0003512	  8.14  8.16
FBgn0003513	  4.85  4.86
FBgn0003514	  7.06  7.06
FBgn0003515	 10.04 10.06
FBgn0003517	  3.12  3.12
FBgn0003520	  6.70  6.70
FBgn0003525	  4.51  4.51
FBgn0003545	  7.69  7.70
FBgn0003557	  9.67  9.68
FBgn0003567	  9.51  9.53
FBgn0003575	  7.56  7.59
FBgn0003598	  8.23  8.25
FBgn0003607	  6.74  6.74
FBgn0003654	 12.91 12.94
FBgn0003655	  5.40  5.42
FBgn0003660	 10.14 10.15
FBgn0003701	  2.68  2.68
FBgn0003714	  6.53  6.54
FBgn0003716	  4.77  4.77
FBgn0003719	  2.74  2.74
FBgn0003720	  1.33  1.33
FBgn0003721	  4.97  4.97
FBgn0003733	  6.77  6.78
FBgn0003744	  9.22  9.24
FBgn0003747	  6.83  6.83
FBgn0003748	  7.44  7.48
FBgn0003861	  6.23  6.24
FBgn0003862	  8.55  8.55
FBgn0003866	  5.36  5.36
FBgn0003867	  2.23  2.23
FBgn0003870	  2.92  2.92
FBgn0003885	 14.73 14.79
FBgn0003886	  5.03  5.04
FBgn0003888	  6.45  6.46
FBgn0003890	  7.28  7.28
FBgn0003892	  6.29  6.29
FBgn0003896	  2.64  2.64
FBgn0003936	 13.01 13.01
FBgn0003938	  4.93  4.93
FBgn0003941	 13.77 13.77
FBgn0003943	  5.62  5.63
FBgn0003950	 14.28 14.30
FBgn0003965	  8.29  8.30
FBgn0003969	  7.70  7.73
FBgn0003975	  5.09  5.10
FBgn0003977	 10.14 10.17
FBgn0003978	 10.11 10.11
FBgn0003979	  6.42  6.42
FBgn0003983	  6.78  6.78
FBgn0003984	  6.92  6.92
FBgn0003997	  7.95  7.98
FBgn0004003	  4.28  4.29
FBgn0004034	  5.16  5.16
FBgn0004045	  9.49  9.50
FBgn0004047	 10.59 10.59
FBgn0004049	  9.17  9.17
FBgn0004050	  4.65  4.66
FBgn0004052	  8.18  8.19
FBgn0004053	  4.22  4.22
FBgn0004054	  6.76  6.76
FBgn0004055	  9.25  9.25
FBgn0004066	  7.73  7.74
FBgn0004101	  1.83  1.83
FBgn0004102	  2.36  2.36
FBgn0004103	  7.63  7.63
FBgn0004106	  9.81  9.81
FBgn0004108	  7.04  7.05
FBgn0004110	  8.09  8.11
FBgn0004117	  9.62  9.63
FBgn0004132	  5.52  5.52
FBgn0004133	 10.93 10.95
FBgn0004143	  7.30  7.34
FBgn0004168	  8.85  8.86
FBgn0004169	  3.61  3.62
FBgn0004170	  5.39  5.40
FBgn0004172	  7.67  7.71
FBgn0004173	  5.72  5.73
FBgn0004177	  4.95  4.95
FBgn0004185	  6.02  6.02
FBgn0004192	  8.42  8.43
FBgn0004197	  1.43  1.44
FBgn0004198	  5.09  5.09
FBgn0004228	 10.58 10.65
FBgn0004237	 20.63 20.72
FBgn0004242	 10.40 10.41
FBgn0004244	  4.68  4.69
FBgn0004359	  5.92  5.93
FBgn0004360	  7.03  7.05
FBgn0004362	  5.55  5.55
FBgn0004363	  7.68  7.69
FBgn0004367	  4.26  4.26
FBgn0004368	 12.58 12.62
FBgn0004369	  9.01  9.02
FBgn0004372	  6.22  6.23
FBgn0004373	  4.99  4.99
FBgn0004374	  6.48  6.50
FBgn0004379	  7.90  7.92
FBgn0004380	 11.42 11.42
FBgn0004389	  6.42  6.42
FBgn0004390	  8.93  8.95
FBgn0004391	  4.11  4.12
FBgn0004394	  8.58  8.58
FBgn0004396	  6.85  6.87
FBgn0004397	  5.55  5.58
FBgn0004403	  9.05  9.06
FBgn0004414	  3.40  3.40
FBgn0004419	 14.84 14.89
FBgn0004427	  3.84  3.85
FBgn0004431	  5.81  5.82
FBgn0004432	 10.34 10.35
FBgn0004449	 11.32 11.33
FBgn0004507	  9.14  9.15
FBgn0004509	  8.26  8.27
FBgn0004510	  6.55  6.55
FBgn0004511	  2.42  2.42
FBgn0004512	  6.59  6.60
FBgn0004513	  4.28  4.28
FBgn0004514	  7.94  7.96
FBgn0004516	  6.70  6.71
FBgn0004552	  1.02  1.02
FBgn0004554	  5.93  5.93
FBgn0004567	  4.94  4.94
FBgn0004569	  7.81  7.84
FBgn0004574	  3.90  3.91
FBgn0004575	  8.69  8.70
FBgn0004577	  5.73  5.74
FBgn0004580	  3.69  3.70
FBgn0004581	  5.21  5.22
FBgn0004583	  6.55  6.56
FBgn0004584	  9.35  9.36
FBgn0004587	 21.16 21.25
FBgn0004588	  8.85  8.86
FBgn0004589	  7.03  7.06
FBgn0004590	  7.35  7.35
FBgn0004591	  6.32  6.32
FBgn0004592	  3.92  3.92
FBgn0004593	  7.31  7.32
FBgn0004594	 10.12 10.15
FBgn0004595	  1.76  1.76
FBgn0004597	  3.49  3.49
FBgn0004598	  1.82  1.82
FBgn0004606	  6.24  6.25
FBgn0004607	  6.80  6.80
FBgn0004611	  5.16  5.17
FBgn0004618	  5.61  5.61
FBgn0004619	  4.45  4.46
FBgn0004623	  6.34  6.37
FBgn0004635	  6.74  6.75
FBgn0004638	  6.69  6.70
FBgn0004643	 10.85 10.87
FBgn0004644	  3.80  3.81
FBgn0004647	  9.32  9.32
FBgn0004649	  6.00  6.00
FBgn0004650	  3.82  3.82
FBgn0004652	  5.08  5.08
FBgn0004656	  3.70  3.71
FBgn0004657	  3.61  3.61
FBgn0004666	  5.61  5.62
FBgn0004687	  3.90  3.91
FBgn0004698	  7.92  7.93
FBgn0004781	  5.60  5.61
FBgn0004782	  8.45  8.48
FBgn0004783	  8.33  8.37
FBgn0004784	  8.13  8.16
FBgn0004795	  4.82  4.83
FBgn0004797	  9.54  9.56
FBgn0004811	  9.10  9.10
FBgn0004832	  5.08  5.08
FBgn0004837	  9.27  9.33
FBgn0004838	  8.12  8.14
FBgn0004839	 12.28 12.31
FBgn0004841	  7.54  7.55
FBgn0004842	  5.05  5.06
FBgn0004852	 12.24 12.26
FBgn0004854	  4.67  4.67
FBgn0004855	  9.73  9.75
FBgn0004858	  6.52  6.52
FBgn0004859	 13.17 13.17
FBgn0004862	 10.25 10.25
FBgn0004863	  2.13  2.14
FBgn0004864	  8.60  8.63
FBgn0004865	  3.95  3.96
FBgn0004868	  8.53  8.54
FBgn0004870	  2.86  2.86
FBgn0004872	  6.55  6.57
FBgn0004875	  3.44  3.44
FBgn0004878	  6.98  6.98
FBgn0004880	  4.44  4.44
FBgn0004882	  6.13  6.14
FBgn0004885	  6.68  6.68
FBgn0004889	 11.15 11.16
FBgn0004892	  3.35  3.36
FBgn0004893	  6.17  6.17
FBgn0004895	  9.97  9.99
FBgn0004896	  4.56  4.57
FBgn0004897	  8.93  8.93
FBgn0004898	  5.40  5.40
FBgn0004901	 10.24 10.24
FBgn0004903	  6.20  6.23
FBgn0004907	  5.28  5.30
FBgn0004908	  4.24  4.25
FBgn0004910	  5.39  5.41
FBgn0004911	  5.69  5.70
FBgn0004913	 14.93 14.95
FBgn0004914	  5.18  5.18
FBgn0004915	  7.24  7.25
FBgn0004921	  3.61  3.62
FBgn0004924	  8.12  8.12
FBgn0004926	  9.84  9.85
FBgn0004956	  6.62  6.63
FBgn0004957	  6.17  6.19
FBgn0004959	  3.18  3.18
FBgn0005198	 13.40 13.43
FBgn0005278	  6.00  6.01
FBgn0005390	  6.02  6.03
FBgn0005391	  9.33  9.33
FBgn0005411	  7.00  7.00
FBgn0005533	  8.36  8.37
FBgn0005558	 13.80 13.86
FBgn0005564	  7.28  7.28
FBgn0005585	  6.50  6.50
FBgn0005590	  5.35  5.36
FBgn0005596	  6.81  6.82
FBgn0005612	  4.59  4.59
FBgn0005613	  5.03  5.04
FBgn0005614	  6.19  6.20
FBgn0005616	  6.15  6.15
FBgn0005619	  5.43  5.44
FBgn0005624	  5.34  5.35
FBgn0005626	  4.39  4.39
FBgn0005632	  7.72  7.76
FBgn0005636	  4.12  4.13
FBgn0005640	 11.76 11.77
FBgn0005642	  9.75  9.79
FBgn0005649	  3.72  3.73
FBgn0005659	  6.52  6.53
FBgn0005660	  8.24  8.25
FBgn0005664	  8.46  8.47
FBgn0005670	  4.86  4.87
FBgn0005671	  4.92  4.92
FBgn0005672	  9.52  9.52
FBgn0005674	  6.78  6.79
FBgn0005677	  1.01  1.01
FBgn0005683	 10.23 10.24
FBgn0005695	  5.47  5.48
FBgn0005696	  7.08  7.10
FBgn0005771	  1.93  1.93
FBgn0005775	  5.74  5.74
FBgn0005777	  5.18  5.18
FBgn0005778	  4.23  4.23
FBgn0005779	  4.93  4.95
FBgn0008635	  9.81  9.83
FBgn0008636	  3.59  3.59
FBgn0008646	  7.06  7.06
FBgn0010015	  4.56  4.56
FBgn0010041	 10.73 10.77
FBgn0010042	 12.07 12.08
FBgn0010043	  9.75  9.79
FBgn0010044	 10.27 10.29
FBgn0010051	  8.19  8.21
FBgn0010052	  6.03  6.05
FBgn0010053	  5.03  5.05
FBgn0010078	  7.83  7.84
FBgn0010097	  5.65  5.66
FBgn0010105	  2.24  2.24
FBgn0010109	  8.66  8.66
FBgn0010113	  6.67  6.67
FBgn0010173	  8.97  8.98
FBgn0010197	  4.46  4.47
FBgn0010198	 10.12 10.14
FBgn0010213	  8.26  8.28
FBgn0010217	 13.96 14.00
FBgn0010220	  7.64  7.66
FBgn0010222	  6.99  7.01
FBgn0010223	  6.27  6.28
FBgn0010226	  6.02  6.03
FBgn0010235	  5.07  5.09
FBgn0010238	  4.57  4.57
FBgn0010241	  8.54  8.56
FBgn0010263	  4.59  4.60
FBgn0010265	  5.21  5.22
FBgn0010269	  4.63  4.64
FBgn0010278	  7.00  7.00
FBgn0010282	  6.58  6.59
FBgn0010287	  4.67  4.69
FBgn0010288	  6.25  6.26
FBgn0010292	  8.64  8.65
FBgn0010296	  9.01  9.05
FBgn0010300	  7.32  7.32
FBgn0010303	 10.33 10.35
FBgn0010309	  7.53  7.56
FBgn0010313	  4.45  4.45
FBgn0010314	 10.79 10.81
FBgn0010315	 10.61 10.63
FBgn0010316	  7.42  7.42
FBgn0010323	  3.10  3.10
FBgn0010329	  7.26  7.27
FBgn0010333	  6.26  6.27
FBgn0010339	  6.62  6.64
FBgn0010340	  5.86  5.87
FBgn0010350	  3.58  3.59
FBgn0010356	  6.36  6.37
FBgn0010379	 11.55 11.56
FBgn0010380	 10.16 10.16
FBgn0010382	 12.89 12.94
FBgn0010383	 10.62 10.65
FBgn0010385	  5.89  5.89
FBgn0010388	  7.74  7.76
FBgn0010391	  4.12  4.12
FBgn0010397	  5.91  5.92
FBgn0010398	  4.11  4.12
FBgn0010399	  8.14  8.20
FBgn0010401	  6.49  6.50
FBgn0010403	  4.84  4.84
FBgn0010406	  7.97  7.97
FBgn0010409	  5.30  5.31
FBgn0010411	  7.37  7.37
FBgn0010412	  7.17  7.18
FBgn0010414	  6.95  6.96
FBgn0010415	 12.70 12.72
FBgn0010416	  5.12  5.13
FBgn0010423	  4.57  4.57
FBgn0010424	  9.67  9.68
FBgn0010433	  2.86  2.87
FBgn0010435	  3.38  3.39
FBgn0010438	 13.86 13.90
FBgn0010441	 10.13 10.16
FBgn0010452	  2.80  2.80
FBgn0010453	  5.22  5.23
FBgn0010470	  8.84  8.86
FBgn0010473	  4.84  4.84
FBgn0010482	 13.37 13.37
FBgn0010488	  9.05  9.07
FBgn0010497	  7.53  7.53
FBgn0010501	  3.93  3.94
FBgn0010516	  9.63  9.64
FBgn0010548	  6.14  6.15
FBgn0010549	  5.25  5.25
FBgn0010551	  8.63  8.65
FBgn0010583	  3.79  3.80
FBgn0010590	  7.14  7.16
FBgn0010591	  5.07  5.09
FBgn0010607	  4.68  4.70
FBgn0010611	  2.79  2.79
FBgn0010612	  5.72  5.72
FBgn0010620	  5.80  5.80
FBgn0010621	  9.43  9.43
FBgn0010638	  9.57  9.59
FBgn0010651	  4.19  4.19
FBgn0010660	  7.37  7.38
FBgn0010747	  9.73  9.75
FBgn0010750	 13.28 13.35
FBgn0010768	 14.58 14.59
FBgn0010770	  3.67  3.67
FBgn0010772	  5.14  5.14
FBgn0010786	  5.33  5.35
FBgn0010803	  3.89  3.90
FBgn0010808	  4.14  4.14
FBgn0010812	  6.37  6.39
FBgn0010825	  8.66  8.66
FBgn0010830	  7.00  7.02
FBgn0010877	  5.26  5.26
FBgn0010905	  8.86  8.88
FBgn0010909	 11.44 11.47
FBgn0010926	 10.48 10.51
FBgn0011016	 10.01 10.03
FBgn0011202	  9.26  9.30
FBgn0011204	  4.84  4.84
FBgn0011205	  7.59  7.62
FBgn0011206	  4.12  4.13
FBgn0011211	  9.82  9.85
FBgn0011217	  6.77  6.77
FBgn0011224	  8.62  8.62
FBgn0011227	  3.91  3.91
FBgn0011232	  8.66  8.66
FBgn0011239	 13.16 13.21
FBgn0011244	  3.67  3.67
FBgn0011260	  3.19  3.20
FBgn0011272	  2.55  2.55
FBgn0011277	  7.04  7.07
FBgn0011278	  7.92  7.93
FBgn0011279	  5.63  5.64
FBgn0011280	  5.46  5.46
FBgn0011281	  5.41  5.42
FBgn0011282	  3.91  3.91
FBgn0011283	  3.69  3.70
FBgn0011284	 10.22 10.24
FBgn0011289	  3.43  3.44
FBgn0011290	  4.64  4.67
FBgn0011291	  4.25  4.25
FBgn0011293	  5.79  5.80
FBgn0011294	  3.88  3.88
FBgn0011296	  5.78  5.78
FBgn0011297	  9.91  9.94
FBgn0011305	 12.65 12.67
FBgn0011327	  2.08  2.08
FBgn0011335	  7.39  7.40
FBgn0011336	  9.03  9.05
FBgn0011455	  8.24  8.25
FBgn0011476	  7.02  7.03
FBgn0011481	  6.80  6.81
FBgn0011555	  6.61  6.62
FBgn0011569	  6.69  6.69
