# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "sim.saf" "-t" "gene" "-F" "SAF" "-o" "fc_sim-specific.txt" "nodup_sorted_w501_1.bam" "nodup_sorted_w501_2.bam" "nodup_sorted_w501_3.bam" 
Geneid	Chr	Start	End	Strand	Length	nodup_sorted_w501_1.bam	nodup_sorted_w501_2.bam	nodup_sorted_w501_3.bam
Scf_2L.269008.270269	Scf_2L	269008	270269	.	1262	396	319	477
Scf_2L.270382.272158	Scf_2L	270382	272158	.	1777	921	731	967
Scf_2L.272310.272711	Scf_2L	272310	272711	.	402	82	120	134
Scf_2L.278568.279159	Scf_2L	278568	279159	.	592	281	186	363
Scf_2L.280869.281038	Scf_2L	280869	281038	.	170	91	58	80
Scf_2L.281283.281781	Scf_2L	281283	281781	.	499	185	122	227
Scf_2L.283461.283862	Scf_2L	283461	283862	.	402	119	105	158
Scf_2L.283974.285062	Scf_2L	283974	285062	.	1089	907	773	1069
Scf_2L.286131.286816	Scf_2L	286131	286816	.	686	458	445	586
Scf_2L.291879.293064	Scf_2L	291879	293064	.	1186	706	433	751
Scf_2L.295913.296660	Scf_2L	295913	296660	.	748	425	261	411
Scf_2L.301360.301528	Scf_2L	301360	301528	.	169	119	56	136
Scf_2L.303444.303595	Scf_2L	303444	303595	.	152	89	68	134
Scf_2L.336307.336884	Scf_2L	336307	336884	.	578	305	226	332
Scf_2L.376624.377238	Scf_2L	376624	377238	.	615	260	192	327
Scf_2L.385397.385632	Scf_2L	385397	385632	.	236	113	98	130
Scf_2L.386832.387502	Scf_2L	386832	387502	.	671	419	291	419
Scf_2L.387717.388298	Scf_2L	387717	388298	.	582	222	151	337
Scf_2L.392291.394324	Scf_2L	392291	394324	.	2034	925	586	994
Scf_2L.400766.402113	Scf_2L	400766	402113	.	1348	988	854	1095
Scf_2L.403694.404299	Scf_2L	403694	404299	.	606	380	283	386
Scf_2L.404423.404654	Scf_2L	404423	404654	.	232	66	62	80
Scf_2L.407848.408894	Scf_2L	407848	408894	.	1047	404	387	549
Scf_2L.425019.426209	Scf_2L	425019	426209	.	1191	618	444	704
Scf_2L.430876.432134	Scf_2L	430876	432134	.	1259	864	585	936
Scf_2L.443152.444432	Scf_2L	443152	444432	.	1281	579	397	623
Scf_2L.444672.445069	Scf_2L	444672	445069	.	398	168	96	156
Scf_2L.448323.448991	Scf_2L	448323	448991	.	669	331	372	410
Scf_2L.450510.454067	Scf_2L	450510	454067	.	3558	3457	2762	3591
Scf_2L.462089.462353	Scf_2L	462089	462353	.	265	70	61	67
Scf_2L.462485.463304	Scf_2L	462485	463304	.	820	456	303	418
Scf_2L.463570.464146	Scf_2L	463570	464146	.	577	213	193	254
Scf_2L.465823.466605	Scf_2L	465823	466605	.	783	834	661	956
Scf_2L.482136.482510	Scf_2L	482136	482510	.	375	208	107	207
Scf_2L.492527.492771	Scf_2L	492527	492771	.	245	128	109	143
Scf_2L.496301.497345	Scf_2L	496301	497345	.	1045	1302	1268	1432
Scf_2L.513257.515129	Scf_2L	513257	515129	.	1873	738	625	897
Scf_2L.515286.516256	Scf_2L	515286	516256	.	971	325	210	367
Scf_2L.516405.516683	Scf_2L	516405	516683	.	279	100	93	123
Scf_2L.517206.518209	Scf_2L	517206	518209	.	1004	554	496	646
Scf_2L.525535.526468	Scf_2L	525535	526468	.	934	790	1033	959
Scf_2L.526712.527113	Scf_2L	526712	527113	.	402	77	141	114
Scf_2L.532525.533929	Scf_2L	532525	533929	.	1405	952	770	933
Scf_2L.537473.537876	Scf_2L	537473	537876	.	404	190	159	251
Scf_2L.541303.542294	Scf_2L	541303	542294	.	992	498	323	582
Scf_2L.547417.548653	Scf_2L	547417	548653	.	1237	589	469	650
Scf_2L.550543.550724	Scf_2L	550543	550724	.	182	116	54	118
Scf_2L.565591.565934	Scf_2L	565591	565934	.	344	218	164	271
Scf_2L.576044.576696	Scf_2L	576044	576696	.	653	400	285	457
Scf_2L.587710.588181	Scf_2L	587710	588181	.	472	220	131	216
Scf_2L.588295.588612	Scf_2L	588295	588612	.	318	106	59	102
Scf_2L.592914.593084	Scf_2L	592914	593084	.	171	56	40	70
Scf_2L.593223.594201	Scf_2L	593223	594201	.	979	339	263	375
Scf_2L.594314.595631	Scf_2L	594314	595631	.	1318	643	509	679
Scf_2L.595795.596447	Scf_2L	595795	596447	.	653	257	226	262
Scf_2L.596599.599394	Scf_2L	596599	599394	.	2796	1531	1130	1569
Scf_2L.600380.600722	Scf_2L	600380	600722	.	343	97	211	130
Scf_2L.601824.602829	Scf_2L	601824	602829	.	1006	325	251	351
Scf_2L.602943.603431	Scf_2L	602943	603431	.	489	133	104	111
Scf_2L.619044.619823	Scf_2L	619044	619823	.	780	398	361	414
Scf_2L.637339.638011	Scf_2L	637339	638011	.	673	280	212	362
Scf_2L.649152.650030	Scf_2L	649152	650030	.	879	352	232	450
Scf_2L.695498.696188	Scf_2L	695498	696188	.	691	340	279	428
Scf_2L.700331.700847	Scf_2L	700331	700847	.	517	167	178	202
Scf_2L.704201.704363	Scf_2L	704201	704363	.	163	107	75	129
Scf_2L.740504.740926	Scf_2L	740504	740926	.	423	213	158	265
Scf_2L.772642.772822	Scf_2L	772642	772822	.	181	113	70	118
Scf_2L.773487.774002	Scf_2L	773487	774002	.	516	228	159	236
Scf_2L.774293.774830	Scf_2L	774293	774830	.	538	163	123	201
Scf_2L.778660.779417	Scf_2L	778660	779417	.	758	290	183	320
Scf_2L.782167.783164	Scf_2L	782167	783164	.	998	517	345	630
Scf_2L.784207.784803	Scf_2L	784207	784803	.	597	325	167	297
Scf_2L.788538.789275	Scf_2L	788538	789275	.	738	558	406	560
Scf_2L.802455.802627	Scf_2L	802455	802627	.	173	57	37	56
Scf_2L.802797.803100	Scf_2L	802797	803100	.	304	130	130	161
Scf_2L.803411.804641	Scf_2L	803411	804641	.	1231	503	427	599
Scf_2L.809890.810042	Scf_2L	809890	810042	.	153	43	42	49
Scf_2L.810242.810584	Scf_2L	810242	810584	.	343	186	205	215
Scf_2L.813240.813989	Scf_2L	813240	813989	.	750	605	427	525
Scf_2L.815062.816063	Scf_2L	815062	816063	.	1002	871	655	790
Scf_2L.818015.818160	Scf_2L	818015	818160	.	146	104	70	103
Scf_2L.819141.821658	Scf_2L	819141	821658	.	2518	2570	2212	2550
Scf_2L.824217.824564	Scf_2L	824217	824564	.	348	156	117	163
Scf_2L.828032.829199	Scf_2L	828032	829199	.	1168	507	394	581
Scf_2L.829724.830242	Scf_2L	829724	830242	.	519	164	122	174
Scf_2L.830351.831356	Scf_2L	830351	831356	.	1006	783	483	758
Scf_2L.832398.832771	Scf_2L	832398	832771	.	374	170	146	192
Scf_2L.833145.834917	Scf_2L	833145	834917	.	1773	1088	762	1185
Scf_2L.835067.835658	Scf_2L	835067	835658	.	592	131	165	156
Scf_2L.836493.837314	Scf_2L	836493	837314	.	822	302	297	351
Scf_2L.864762.865233	Scf_2L	864762	865233	.	472	274	182	217
Scf_2L.953897.954115	Scf_2L	953897	954115	.	219	114	83	143
Scf_2L.997513.997717	Scf_2L	997513	997717	.	205	157	74	153
Scf_2L.1018205.1019262	Scf_2L	1018205	1019262	.	1058	629	421	735
Scf_2L.1021750.1021931	Scf_2L	1021750	1021931	.	182	71	70	69
Scf_2L.1022197.1022354	Scf_2L	1022197	1022354	.	158	77	55	76
Scf_2L.1024935.1026280	Scf_2L	1024935	1026280	.	1346	1054	901	1211
Scf_2L.1028755.1029464	Scf_2L	1028755	1029464	.	710	321	256	361
Scf_2L.1049793.1050476	Scf_2L	1049793	1050476	.	684	494	355	516
Scf_2L.1055466.1056128	Scf_2L	1055466	1056128	.	663	345	198	334
Scf_2L.1056239.1056341	Scf_2L	1056239	1056341	.	103	33	24	24
Scf_2L.1062574.1063030	Scf_2L	1062574	1063030	.	457	153	158	169
Scf_2L.1064006.1067415	Scf_2L	1064006	1067415	.	3410	2108	2040	2339
Scf_2L.1071775.1072160	Scf_2L	1071775	1072160	.	386	153	131	195
Scf_2L.1072639.1074296	Scf_2L	1072639	1074296	.	1658	941	888	1040
Scf_2L.1075030.1076284	Scf_2L	1075030	1076284	.	1255	586	389	581
Scf_2L.1076405.1077063	Scf_2L	1076405	1077063	.	659	284	266	345
Scf_2L.1094799.1094951	Scf_2L	1094799	1094951	.	153	112	86	127
Scf_2L.1097659.1098230	Scf_2L	1097659	1098230	.	572	289	206	301
Scf_2L.1104388.1106237	Scf_2L	1104388	1106237	.	1850	1213	829	1277
Scf_2L.1111566.1111864	Scf_2L	1111566	1111864	.	299	178	95	169
Scf_2L.1113813.1114154	Scf_2L	1113813	1114154	.	342	181	113	201
Scf_2L.1117035.1117392	Scf_2L	1117035	1117392	.	358	155	95	143
Scf_2L.1117493.1117664	Scf_2L	1117493	1117664	.	172	88	49	115
Scf_2L.1119735.1120722	Scf_2L	1119735	1120722	.	988	519	302	587
Scf_2L.1124030.1124693	Scf_2L	1124030	1124693	.	664	188	143	201
Scf_2L.1124960.1125960	Scf_2L	1124960	1125960	.	1001	497	416	540
Scf_2L.1131114.1132051	Scf_2L	1131114	1132051	.	938	471	390	545
Scf_2L.1132909.1134192	Scf_2L	1132909	1134192	.	1284	1213	921	1288
Scf_2L.1145546.1145794	Scf_2L	1145546	1145794	.	249	194	152	196
Scf_2L.1169044.1169302	Scf_2L	1169044	1169302	.	259	193	109	202
Scf_2L.1222646.1222875	Scf_2L	1222646	1222875	.	230	123	97	127
Scf_2L.1280275.1281053	Scf_2L	1280275	1281053	.	779	321	208	364
Scf_2L.1295659.1295951	Scf_2L	1295659	1295951	.	293	82	67	98
Scf_2L.1296100.1300016	Scf_2L	1296100	1300016	.	3917	2744	2488	2780
Scf_2L.1300135.1300352	Scf_2L	1300135	1300352	.	218	97	68	70
Scf_2L.1314959.1315083	Scf_2L	1314959	1315083	.	125	112	57	105
Scf_2L.1357454.1358389	Scf_2L	1357454	1358389	.	936	1167	1000	1159
Scf_2L.1383797.1384196	Scf_2L	1383797	1384196	.	400	170	111	193
Scf_2L.1384816.1385740	Scf_2L	1384816	1385740	.	925	362	223	343
Scf_2L.1385938.1386532	Scf_2L	1385938	1386532	.	595	261	149	270
Scf_2L.1386938.1387337	Scf_2L	1386938	1387337	.	400	109	66	132
Scf_2L.1387462.1387934	Scf_2L	1387462	1387934	.	473	146	97	139
Scf_2L.1398143.1398696	Scf_2L	1398143	1398696	.	554	312	239	321
Scf_2L.1429113.1429325	Scf_2L	1429113	1429325	.	213	167	99	182
Scf_2L.1439472.1440179	Scf_2L	1439472	1440179	.	708	407	290	456
Scf_2L.1441474.1441643	Scf_2L	1441474	1441643	.	170	85	84	104
Scf_2L.1491518.1492691	Scf_2L	1491518	1492691	.	1174	702	574	844
Scf_2L.1499410.1500176	Scf_2L	1499410	1500176	.	767	530	386	600
Scf_2L.1544877.1545870	Scf_2L	1544877	1545870	.	994	536	348	525
Scf_2L.1547834.1548467	Scf_2L	1547834	1548467	.	634	507	286	459
Scf_2L.1578862.1579161	Scf_2L	1578862	1579161	.	300	247	109	243
Scf_2L.1585552.1585763	Scf_2L	1585552	1585763	.	212	102	92	129
Scf_2L.1597289.1597426	Scf_2L	1597289	1597426	.	138	98	55	118
Scf_2L.1603852.1604284	Scf_2L	1603852	1604284	.	433	533	433	550
Scf_2L.1631453.1632140	Scf_2L	1631453	1632140	.	688	443	301	446
Scf_2L.1634980.1635176	Scf_2L	1634980	1635176	.	197	97	89	117
Scf_2L.1636555.1637865	Scf_2L	1636555	1637865	.	1311	728	551	891
Scf_2L.1642120.1642814	Scf_2L	1642120	1642814	.	695	392	254	399
Scf_2L.1646793.1647796	Scf_2L	1646793	1647796	.	1004	433	241	427
Scf_2L.1648531.1650667	Scf_2L	1648531	1650667	.	2137	985	641	1037
Scf_2L.1650770.1651602	Scf_2L	1650770	1651602	.	833	506	308	457
Scf_2L.1653603.1655740	Scf_2L	1653603	1655740	.	2138	1310	818	1276
Scf_2L.1655974.1656774	Scf_2L	1655974	1656774	.	801	358	279	383
Scf_2L.1658453.1659088	Scf_2L	1658453	1659088	.	636	311	207	341
Scf_2L.1663484.1664681	Scf_2L	1663484	1664681	.	1198	632	532	686
Scf_2L.1664871.1665225	Scf_2L	1664871	1665225	.	355	164	126	169
Scf_2L.1678352.1678855	Scf_2L	1678352	1678855	.	504	232	148	240
Scf_2L.1799144.1800268	Scf_2L	1799144	1800268	.	1125	1176	782	1117
Scf_2L.1807113.1807645	Scf_2L	1807113	1807645	.	533	289	232	358
Scf_2L.1811306.1811795	Scf_2L	1811306	1811795	.	490	278	200	348
Scf_2L.1813430.1813668	Scf_2L	1813430	1813668	.	239	107	83	137
Scf_2L.1820835.1821236	Scf_2L	1820835	1821236	.	402	335	181	332
Scf_2L.1822141.1823038	Scf_2L	1822141	1823038	.	898	535	397	552
Scf_2L.1824076.1824705	Scf_2L	1824076	1824705	.	630	500	330	483
Scf_2L.1830684.1832025	Scf_2L	1830684	1832025	.	1342	904	708	1031
Scf_2L.1838295.1839009	Scf_2L	1838295	1839009	.	715	459	434	471
Scf_2L.1839382.1839700	Scf_2L	1839382	1839700	.	319	200	149	189
Scf_2L.1841485.1842270	Scf_2L	1841485	1842270	.	786	327	234	345
Scf_2L.1883256.1883612	Scf_2L	1883256	1883612	.	357	196	127	220
Scf_2L.1884567.1885086	Scf_2L	1884567	1885086	.	520	296	198	287
Scf_2L.1889817.1889964	Scf_2L	1889817	1889964	.	148	84	75	105
Scf_2L.1890913.1893142	Scf_2L	1890913	1893142	.	2230	1152	990	1352
Scf_2L.1897500.1900740	Scf_2L	1897500	1900740	.	3241	2023	1610	1990
Scf_2L.1900967.1901105	Scf_2L	1900967	1901105	.	139	63	44	52
Scf_2L.1901631.1903016	Scf_2L	1901631	1903016	.	1386	775	699	802
Scf_2L.1918882.1919111	Scf_2L	1918882	1919111	.	230	89	104	121
Scf_2L.1919269.1920946	Scf_2L	1919269	1920946	.	1678	810	613	975
Scf_2L.1921934.1922300	Scf_2L	1921934	1922300	.	367	137	98	157
Scf_2L.1938730.1940663	Scf_2L	1938730	1940663	.	1934	788	437	836
Scf_2L.1942259.1942645	Scf_2L	1942259	1942645	.	387	189	100	216
Scf_2L.1947363.1948957	Scf_2L	1947363	1948957	.	1595	890	653	1031
Scf_2L.1955268.1955433	Scf_2L	1955268	1955433	.	166	156	75	169
Scf_2L.2017531.2017989	Scf_2L	2017531	2017989	.	459	228	190	295
Scf_2L.2023379.2024368	Scf_2L	2023379	2024368	.	990	1037	770	996
Scf_2L.2026090.2027014	Scf_2L	2026090	2027014	.	925	352	362	411
Scf_2L.2027196.2027510	Scf_2L	2027196	2027510	.	315	111	81	117
Scf_2L.2037860.2038509	Scf_2L	2037860	2038509	.	650	343	199	392
Scf_2L.2040010.2041217	Scf_2L	2040010	2041217	.	1208	509	399	689
Scf_2L.2044465.2044709	Scf_2L	2044465	2044709	.	245	68	72	73
Scf_2L.2044865.2045655	Scf_2L	2044865	2045655	.	791	262	134	284
Scf_2L.2054318.2055129	Scf_2L	2054318	2055129	.	812	594	464	596
Scf_2L.2055304.2056497	Scf_2L	2055304	2056497	.	1194	467	308	577
Scf_2L.2058825.2059456	Scf_2L	2058825	2059456	.	632	308	245	360
Scf_2L.2067104.2067432	Scf_2L	2067104	2067432	.	329	141	135	152
Scf_2L.2067867.2070448	Scf_2L	2067867	2070448	.	2582	1609	1387	1858
Scf_2L.2071274.2072554	Scf_2L	2071274	2072554	.	1281	709	518	697
Scf_2L.2081736.2082466	Scf_2L	2081736	2082466	.	731	458	297	407
Scf_2L.2083372.2083923	Scf_2L	2083372	2083923	.	552	206	142	221
Scf_2L.2084298.2084548	Scf_2L	2084298	2084548	.	251	103	104	103
Scf_2L.2085552.2085992	Scf_2L	2085552	2085992	.	441	203	147	229
Scf_2L.2086660.2087311	Scf_2L	2086660	2087311	.	652	361	253	344
Scf_2L.2087764.2088570	Scf_2L	2087764	2088570	.	807	393	401	472
Scf_2L.2089592.2090870	Scf_2L	2089592	2090870	.	1279	1062	876	1120
Scf_2L.2090981.2094377	Scf_2L	2090981	2094377	.	3397	2523	1799	2402
Scf_2L.2094754.2097191	Scf_2L	2094754	2097191	.	2438	2576	1773	2510
Scf_2L.2105319.2105902	Scf_2L	2105319	2105902	.	584	265	200	327
Scf_2L.2106959.2107356	Scf_2L	2106959	2107356	.	398	221	121	213
Scf_2L.2109268.2109447	Scf_2L	2109268	2109447	.	180	132	79	146
Scf_2L.2110210.2110458	Scf_2L	2110210	2110458	.	249	215	145	227
Scf_2L.2113810.2114167	Scf_2L	2113810	2114167	.	358	154	118	206
Scf_2L.2114716.2115297	Scf_2L	2114716	2115297	.	582	387	218	402
Scf_2L.2119186.2119525	Scf_2L	2119186	2119525	.	340	83	69	108
Scf_2L.2119733.2120410	Scf_2L	2119733	2120410	.	678	446	292	412
Scf_2L.2120568.2121134	Scf_2L	2120568	2121134	.	567	175	128	187
Scf_2L.2124181.2124305	Scf_2L	2124181	2124305	.	125	111	92	124
Scf_2L.2129926.2130676	Scf_2L	2129926	2130676	.	751	412	294	435
Scf_2L.2136443.2136785	Scf_2L	2136443	2136785	.	343	139	123	135
Scf_2L.2174249.2174737	Scf_2L	2174249	2174737	.	489	235	185	268
Scf_2L.2177964.2180329	Scf_2L	2177964	2180329	.	2366	1571	1459	1653
Scf_2L.2182916.2183093	Scf_2L	2182916	2183093	.	178	137	101	140
Scf_2L.2194271.2194847	Scf_2L	2194271	2194847	.	577	285	156	287
Scf_2L.2197036.2197760	Scf_2L	2197036	2197760	.	725	329	387	490
Scf_2L.2247934.2248922	Scf_2L	2247934	2248922	.	989	371	268	472
Scf_2L.2253301.2256530	Scf_2L	2253301	2256530	.	3230	2758	2057	3061
Scf_2L.2264596.2265041	Scf_2L	2264596	2265041	.	446	171	130	196
Scf_2L.2265151.2265957	Scf_2L	2265151	2265957	.	807	483	325	434
Scf_2L.2266729.2266940	Scf_2L	2266729	2266940	.	212	111	80	128
Scf_2L.2267068.2267461	Scf_2L	2267068	2267461	.	394	150	92	146
Scf_2L.2273899.2274598	Scf_2L	2273899	2274598	.	700	367	236	413
Scf_2L.2275761.2276562	Scf_2L	2275761	2276562	.	802	329	193	372
Scf_2L.2312674.2314109	Scf_2L	2312674	2314109	.	1436	821	507	898
Scf_2L.2315966.2316473	Scf_2L	2315966	2316473	.	508	209	151	206
Scf_2L.2316714.2318215	Scf_2L	2316714	2318215	.	1502	549	345	608
Scf_2L.2321238.2322808	Scf_2L	2321238	2322808	.	1571	1128	1004	1339
Scf_2L.2322926.2323160	Scf_2L	2322926	2323160	.	235	65	48	63
Scf_2L.2327826.2328142	Scf_2L	2327826	2328142	.	317	125	92	156
Scf_2L.2328704.2329201	Scf_2L	2328704	2329201	.	498	230	139	233
Scf_2L.2343858.2344632	Scf_2L	2343858	2344632	.	775	906	663	906
Scf_2L.2347730.2347981	Scf_2L	2347730	2347981	.	252	104	102	110
Scf_2L.2377622.2377794	Scf_2L	2377622	2377794	.	173	103	42	132
Scf_2L.2386036.2387046	Scf_2L	2386036	2387046	.	1011	792	555	772
Scf_2L.2463423.2463593	Scf_2L	2463423	2463593	.	171	166	100	166
Scf_2L.2465121.2465483	Scf_2L	2465121	2465483	.	363	201	122	204
Scf_2L.2468033.2469524	Scf_2L	2468033	2469524	.	1492	673	486	735
Scf_2L.2469714.2470250	Scf_2L	2469714	2470250	.	537	131	137	140
Scf_2L.2470359.2470579	Scf_2L	2470359	2470579	.	221	72	70	76
Scf_2L.2470931.2471258	Scf_2L	2470931	2471258	.	328	132	110	138
Scf_2L.2473264.2474323	Scf_2L	2473264	2474323	.	1060	779	542	776
Scf_2L.2565278.2565574	Scf_2L	2565278	2565574	.	297	121	81	125
Scf_2L.2614497.2614964	Scf_2L	2614497	2614964	.	468	181	121	207
Scf_2L.2617019.2618092	Scf_2L	2617019	2618092	.	1074	607	474	575
Scf_2L.2618401.2618670	Scf_2L	2618401	2618670	.	270	138	92	142
Scf_2L.2620350.2620948	Scf_2L	2620350	2620948	.	599	233	235	288
Scf_2L.2622337.2622867	Scf_2L	2622337	2622867	.	531	169	149	227
Scf_2L.2627365.2627587	Scf_2L	2627365	2627587	.	223	178	131	204
Scf_2L.2632469.2632613	Scf_2L	2632469	2632613	.	145	91	64	118
Scf_2L.2635744.2636512	Scf_2L	2635744	2636512	.	769	314	215	311
Scf_2L.2636625.2639477	Scf_2L	2636625	2639477	.	2853	1564	1459	1829
Scf_2L.2639631.2642401	Scf_2L	2639631	2642401	.	2771	1775	1390	1799
Scf_2L.2642540.2643231	Scf_2L	2642540	2643231	.	692	314	298	357
Scf_2L.2644626.2644772	Scf_2L	2644626	2644772	.	147	91	79	118
Scf_2L.2646901.2647677	Scf_2L	2646901	2647677	.	777	347	244	412
Scf_2L.2649611.2649892	Scf_2L	2649611	2649892	.	282	134	171	195
Scf_2L.2652788.2653823	Scf_2L	2652788	2653823	.	1036	616	462	814
Scf_2L.2654863.2655656	Scf_2L	2654863	2655656	.	794	314	231	367
Scf_2L.2656866.2657720	Scf_2L	2656866	2657720	.	855	342	288	389
Scf_2L.2685410.2686067	Scf_2L	2685410	2686067	.	658	293	343	374
Scf_2L.2688894.2689263	Scf_2L	2688894	2689263	.	370	165	173	138
Scf_2L.2720012.2720247	Scf_2L	2720012	2720247	.	236	128	57	113
Scf_2L.2720493.2721568	Scf_2L	2720493	2721568	.	1076	523	639	736
Scf_2L.2727493.2728268	Scf_2L	2727493	2728268	.	776	399	343	468
Scf_2L.2729279.2729469	Scf_2L	2729279	2729469	.	191	99	79	146
Scf_2L.2735666.2735987	Scf_2L	2735666	2735987	.	322	185	118	183
Scf_2L.2736099.2736305	Scf_2L	2736099	2736305	.	207	30	27	33
Scf_2L.2736473.2737067	Scf_2L	2736473	2737067	.	595	177	95	177
Scf_2L.2737667.2737898	Scf_2L	2737667	2737898	.	232	129	90	156
Scf_2L.2738035.2738446	Scf_2L	2738035	2738446	.	412	88	63	85
Scf_2L.2738670.2739178	Scf_2L	2738670	2739178	.	509	247	158	228
Scf_2L.2741498.2742262	Scf_2L	2741498	2742262	.	765	388	284	467
Scf_2L.2752634.2753140	Scf_2L	2752634	2753140	.	507	110	113	144
Scf_2L.2753273.2754797	Scf_2L	2753273	2754797	.	1525	739	625	806
Scf_2L.2754907.2755522	Scf_2L	2754907	2755522	.	616	224	149	244
Scf_2L.2758566.2759561	Scf_2L	2758566	2759561	.	996	353	235	346
Scf_2L.2763521.2764665	Scf_2L	2763521	2764665	.	1145	322	269	435
Scf_2L.2764970.2765561	Scf_2L	2764970	2765561	.	592	255	230	253
Scf_2L.2765801.2767216	Scf_2L	2765801	2767216	.	1416	688	430	691
Scf_2L.2768228.2769635	Scf_2L	2768228	2769635	.	1408	901	663	1014
Scf_2L.2771283.2771810	Scf_2L	2771283	2771810	.	528	297	169	290
Scf_2L.2779259.2779415	Scf_2L	2779259	2779415	.	157	78	619	418
Scf_2L.2804279.2804977	Scf_2L	2804279	2804977	.	699	408	356	471
Scf_2L.2805567.2805794	Scf_2L	2805567	2805794	.	228	151	134	191
Scf_2L.2833175.2833402	Scf_2L	2833175	2833402	.	228	138	119	177
Scf_2L.2834678.2835023	Scf_2L	2834678	2835023	.	346	131	72	145
Scf_2L.2835287.2835461	Scf_2L	2835287	2835461	.	175	72	50	76
Scf_2L.2836334.2837177	Scf_2L	2836334	2837177	.	844	437	329	539
Scf_2L.2849651.2849880	Scf_2L	2849651	2849880	.	230	70	66	94
