FBgn0000008	a	FBgn0269458
FBgn0000529	bsh	FBgn0193156
FBgn0000533	ea	FBgn0190519
FBgn0000535	eag	FBgn0188749
FBgn0000536	eas	FBgn0196149
FBgn0000541	E(bx)	FBgn0185240
FBgn0000542	ec	FBgn0068632
FBgn0000543	ecd	FBgn0185114
FBgn0000546	EcR	FBgn0182106
FBgn0000547	ed	FBgn0194656
FBgn0000551	Edg78E	FBgn0183863
FBgn0000552	Edg84A	FBgn0191375
FBgn0000557	eEF1alpha2	FBgn0193023
FBgn0000559	eEF2	FBgn0193055
FBgn0000560	eg	FBgn0186673
FBgn0000562	egl	FBgn0196332
FBgn0000564	Eh	FBgn0025037
FBgn0000565	MsrA	FBgn0186230
FBgn0000566	Eip55E	FBgn0183149
FBgn0000567	Eip74EF	FBgn0184127
FBgn0000568	Eip75B	FBgn0184090
FBgn0000575	emc	FBgn0185281
FBgn0000576	ems	FBgn0190448
FBgn0000577	en	FBgn0044189
FBgn0000578	ena	FBgn0183180
FBgn0000579	Eno	FBgn0194293
FBgn0000581	E(Pc)	FBgn0182564
FBgn0000588	esc	FBgn0193563
FBgn0000591	E(spl)m8-HLH	FBgn0082740
FBgn0000606	eve	FBgn0269020
FBgn0000611	exd	FBgn0188823
FBgn0000615	exu	FBgn0196568
FBgn0000617	e(y)1	FBgn0188927
FBgn0000618	e(y)2	FBgn0195867
FBgn0000625	eyg	FBgn0184446
FBgn0000629	E(z)	FBgn0184582
FBgn0000633	CG17716	FBgn0182740
FBgn0000635	Fas2	FBgn0083435
FBgn0000636	Fas3	FBgn0195494
FBgn0000639	Fbp1	FBgn0184358
FBgn0000640	Fbp2	FBgn0024781
FBgn0000644	Fcp3C	FBgn0187964
FBgn0000658	fj	FBgn0194450
FBgn0000659	fkh	FBgn0189572
FBgn0000662	fl(2)d	FBgn0197023
FBgn0000667	Actn	FBgn0270146
FBgn0000709	fliI	FBgn0196204
FBgn0000711	flw	FBgn0188553
FBgn0000715	FMRFa	FBgn0182464
FBgn0000719	fog	FBgn0187147
FBgn0000721	for	FBgn0194136
FBgn0000723	FER	FBgn0192266
FBgn0000808	gd	FBgn0187600
FBgn0000810	fs(1)K10	FBgn0188203
FBgn0000826	png	FBgn0188042
FBgn0000927	fs(1)Ya	FBgn0196058
FBgn0000928	fs(1)Yb	FBgn0270441
FBgn0000996	dup	FBgn0196904
FBgn0001075	ft	FBgn0194115
FBgn0001077	ftz	FBgn0020697
FBgn0001078	ftz-f1	FBgn0184059
FBgn0001079	fu	FBgn0196175
FBgn0001083	fw	FBgn0187597
FBgn0001084	fy	FBgn0193810
FBgn0001085	fz	FBgn0186171
FBgn0001086	fzy	FBgn0195410
FBgn0001087	g	FBgn0187530
FBgn0001089	Gal	FBgn0194014
FBgn0001090	bnb	FBgn0041666
FBgn0001098	Gdh	FBgn0189864
FBgn0001099	gdl	FBgn0268691
FBgn0001104	Galphai	FBgn0184821
FBgn0001105	Gbeta13F	FBgn0188810
FBgn0001108	DCTN1-p150	FBgn0186144
FBgn0001112	Gld	FBgn0013875
FBgn0001114	Glt	FBgn0194936
FBgn0001120	gnu	FBgn0184323
FBgn0001122	Galphao	FBgn0182506
FBgn0001123	Galphas	FBgn0183551
FBgn0001124	Got1	FBgn0182919
FBgn0001125	Got2	FBgn0194275
FBgn0001128	Gpdh1	FBgn0012837
FBgn0001133	grau	FBgn0196547
FBgn0001134	Grd	FBgn0186404
FBgn0001137	grk	FBgn0193807
FBgn0001138	grn	FBgn0192349
FBgn0001139	gro	FBgn0192706
FBgn0001142	Gs1	FBgn0194394
FBgn0001145	Gs2	FBgn0188597
FBgn0001147	gsb-n	FBgn0196214
FBgn0001148	gsb	FBgn0183657
FBgn0001149	GstD1	FBgn0012838
FBgn0001150	gt	FBgn0269989
FBgn0001168	h	FBgn0016346
FBgn0001169	H	FBgn0190865
FBgn0001170	H2.0	FBgn0194011
FBgn0001174	halo	FBgn0194299
FBgn0001179	hay	FBgn0185933
FBgn0001180	hb	FBgn0186789
FBgn0001185	her	FBgn0195423
FBgn0001186	Hex-A	FBgn0196098
FBgn0001187	Hex-C	FBgn0196916
FBgn0001189	hfw	FBgn0268939
FBgn0001197	His2Av	FBgn0192748
FBgn0001202	hook	FBgn0193208
FBgn0001206	Hmr	FBgn0066164
FBgn0001208	Hn	FBgn0185730
FBgn0001215	Hrb98DE	FBgn0269963
FBgn0001216	Hsc70-1	FBgn0186148
FBgn0001217	Hsc70-2	FBgn0190389
FBgn0001218	Hsc70-3	FBgn0187618
FBgn0001220	Hsc70-5	FBgn0196977
FBgn0001222	Hsf	FBgn0066162
FBgn0001223	Hsp22	FBgn0185860
FBgn0001224	Hsp23	FBgn0185863
FBgn0001225	Hsp26	FBgn0184658
FBgn0001226	Hsp27	FBgn0185864
FBgn0001227	Hsp67Ba	FBgn0184657
FBgn0001228	CG4456	FBgn0268999
FBgn0001229	Hsp67Bc	FBgn0184659
FBgn0001230	Hsp68	FBgn0067521
FBgn0001233	Hsp83	FBgn0012840
FBgn0001235	hth	FBgn0192184
FBgn0001247	Ide	FBgn0183933
FBgn0001248	Idh	FBgn0184720
FBgn0001250	if	FBgn0187386
FBgn0001253	ImpE1	FBgn0189179
FBgn0001254	ImpE2	FBgn0185043
FBgn0001255	ImpE3	FBgn0190935
FBgn0001256	ImpL1	FBgn0186128
FBgn0001257	ImpL2	FBgn0083431
FBgn0001258	Ldh	FBgn0184850
FBgn0001259	in	FBgn0186552
FBgn0001263	inaD	FBgn0196414
FBgn0001269	inv	FBgn0182565
FBgn0001276	ix	FBgn0186920
FBgn0001280	janA	FBgn0016348
FBgn0001285	Jon44E	FBgn0182361
FBgn0001291	Jra	FBgn0187053
FBgn0001296	kar	FBgn0192019
FBgn0001297	kay	FBgn0192899
FBgn0001301	kel	FBgn0193263
FBgn0001308	Khc	FBgn0196838
FBgn0001311	kkv	FBgn0268725
FBgn0001316	klar	FBgn0196988
FBgn0001319	kn	FBgn0196941
FBgn0001320	kni	FBgn0044187
FBgn0001321	knk	FBgn0192199
FBgn0001323	knrl	FBgn0183909
FBgn0001324	kto	FBgn0186505
FBgn0001325	Kr	FBgn0183660
FBgn0001330	kz	FBgn0188002
FBgn0001341	Mybbp1A	FBgn0085902
FBgn0001404	egh	FBgn0270309
FBgn0001491	l(1)10Bb	FBgn0187640
FBgn0001565	Hlc	FBgn0187165
FBgn0001612	Grip91	FBgn0187529
FBgn0001624	dlg1	FBgn0188596
FBgn0001941	ifc	FBgn0194761
FBgn0001942	eIF4A	FBgn0194760
FBgn0001961	Arpc1	FBgn0193452
FBgn0001965	Sos	FBgn0063991
FBgn0001967	NimC3	FBgn0193434
FBgn0001970	Pgant35A	FBgn0195326
FBgn0001977	CIAPIN1	FBgn0193389
FBgn0001978	stc	FBgn0195356
FBgn0001981	esg	FBgn0195364
FBgn0001983	wor	FBgn0193371
FBgn0001986	Mtr4	FBgn0195378
FBgn0001987	Gli	FBgn0193357
FBgn0001989	ND-B17	FBgn0193358
FBgn0001990	wek	FBgn0193356
FBgn0001991	Ca-alpha1D	FBgn0195399
FBgn0001992	Cyp303a1	FBgn0195406
FBgn0001994	crp	FBgn0193342
FBgn0001995	mRpL4	FBgn0193336
FBgn0002021	l(2)37Bb	FBgn0193205
FBgn0002022	Catsup	FBgn0084332
FBgn0002023	Lim3	FBgn0193200
FBgn0002031	l(2)37Cc	FBgn0193198
FBgn0002036	CG10561	FBgn0025651
FBgn0002044	swm	FBgn0195564
FBgn0002069	AspRS	FBgn0182688
FBgn0002121	l(2)gl	FBgn0194388
FBgn0002174	CG5504	FBgn0183528
FBgn0002183	dre4	FBgn0185142
FBgn0002283	l(3)73Ah	FBgn0186329
FBgn0002284	Prosbeta6	FBgn0184185
FBgn0002306	sas	FBgn0191401
FBgn0002354	l(3)87Df	FBgn0190386
FBgn0002413	dco	FBgn0188237
FBgn0002431	hyd	FBgn0041664
FBgn0002440	l(3)mbn	FBgn0184876
FBgn0002441	l(3)mbt	FBgn0186750
FBgn0002466	sti	FBgn0184438
FBgn0002521	pho	FBgn0067492
FBgn0002522	lab	FBgn0191028
FBgn0002524	lace	FBgn0195370
FBgn0002525	Lam	FBgn0270082
FBgn0002526	LanA	FBgn0184858
FBgn0002542	lds	FBgn0191442
FBgn0002543	robo2	FBgn0194303
FBgn0002552	lin	FBgn0084971
FBgn0002561	l(1)sc	FBgn0025409
FBgn0002562	Lsp1alpha	FBgn0188653
FBgn0002563	Lsp1beta	FBgn0194447
FBgn0002564	Lsp1gamma	FBgn0016340
FBgn0002565	Lsp2	FBgn0186043
FBgn0002566	lt	FBgn0268101
FBgn0002567	Rab32	FBgn0181870
FBgn0002569	Mal-A2	FBgn0182334
FBgn0002570	Mal-A1	FBgn0181944
FBgn0002571	Mal-A3	FBgn0181942
FBgn0002573	sens	FBgn0184394
FBgn0002576	lz	FBgn0188530
FBgn0002577	m	FBgn0188621
FBgn0002578	Kaz-m1	FBgn0082722
FBgn0002579	RpL36	FBgn0188082
FBgn0002590	RpS5a	FBgn0187359
FBgn0002592	E(spl)m2-BFM	FBgn0189694
FBgn0002593	RpLP1	FBgn0194414
FBgn0002609	E(spl)m3-HLH	FBgn0082736
FBgn0002622	RpS3	FBgn0192469
FBgn0002626	RpL32	FBgn0040418
FBgn0002629	E(spl)m4-BFM	FBgn0082720
FBgn0002631	E(spl)m5-HLH	FBgn0082735
FBgn0002632	E(spl)m6-BFM	FBgn0082719
FBgn0002633	E(spl)m7-HLH	FBgn0082734
FBgn0002638	Rcc1	FBgn0184888
FBgn0002641	mal	FBgn0191179
FBgn0002643	mam	FBgn0182761
FBgn0002645	Map205	FBgn0187813
FBgn0002673	twe	FBgn0193343
FBgn0002709	mei-218	FBgn0041663
FBgn0002715	mei-S332	FBgn0183386
FBgn0002716	mei-W68	FBgn0183206
FBgn0002719	Men	FBgn0020700
FBgn0002723	Met	FBgn0188611
FBgn0002732	E(spl)malpha-BFM	FBgn0082723
FBgn0002733	E(spl)mbeta-HLH	FBgn0082739
FBgn0002734	E(spl)mdelta-HLH	FBgn0082738
FBgn0002735	E(spl)mgamma-HLH	FBgn0082737
FBgn0002736	mago	FBgn0183306
FBgn0002772	Mlc1	FBgn0012844
FBgn0002773	Mlc2	FBgn0188819
FBgn0002774	mle	FBgn0182116
FBgn0002775	msl-3	FBgn0184812
FBgn0002778	mnd	FBgn0186198
FBgn0002780	mod	FBgn0193036
FBgn0002783	mor	FBgn0191787
FBgn0002787	Rpn8	FBgn0183593
FBgn0002789	Mp20	FBgn0182719
FBgn0002791	mr	FBgn0183557
FBgn0002838	ms(3)K81	FBgn0069483
FBgn0002842	sa	FBgn0183857
FBgn0002855	Acp26Aa	FBgn0012820
FBgn0002856	Acp26Ab	FBgn0012821
FBgn0002863	Acp95EF	FBgn0250854
FBgn0002868	MtnA	FBgn0012845
FBgn0002872	mu2	FBgn0185136
FBgn0002873	mud	FBgn0269643
FBgn0002878	mus101	FBgn0270281
FBgn0002887	mus201	FBgn0194921
FBgn0002891	DNApol-zeta	FBgn0187026
FBgn0002899	mus301	FBgn0185750
FBgn0002901	mus304	FBgn0186419
FBgn0002905	DNApol-theta	FBgn0192015
FBgn0002906	Blm	FBgn0192106
FBgn0002909	mus312	FBgn0185702
FBgn0002914	Myb	FBgn0196001
FBgn0002917	na	FBgn0188736
FBgn0002921	Atpalpha	FBgn0190889
FBgn0002922	nau	FBgn0189889
FBgn0002924	ncd	FBgn0189206
FBgn0002926	ndl	FBgn0184843
FBgn0002930	nec	FBgn0067495
FBgn0002931	net	FBgn0194385
FBgn0002932	neur	FBgn0192286
FBgn0002936	ninaA	FBgn0183747
FBgn0002937	ninaB	FBgn0190434
FBgn0002938	ninaC	FBgn0194845
FBgn0002939	ninaD	FBgn0195483
FBgn0002940	ninaE	FBgn0191575
FBgn0002941	slou	FBgn0191457
FBgn0002945	nkd	FBgn0184042
FBgn0002948	nod	FBgn0188606
FBgn0002962	nos	FBgn0025032
FBgn0002973	numb	FBgn0194984
FBgn0002985	odd	FBgn0194139
FBgn0002989	okr	FBgn0183740
FBgn0003002	opa	FBgn0191241
FBgn0003008	or	FBgn0183555
FBgn0003009	ord	FBgn0196381
FBgn0003011	ort	FBgn0069480
FBgn0003015	osk	FBgn0190102
FBgn0003016	osp	FBgn0193409
FBgn0003023	otu	FBgn0041659
FBgn0003028	ovo	FBgn0195718
FBgn0003034	SP	FBgn0021129
FBgn0003041	pbl	FBgn0184753
FBgn0003042	Pc	FBgn0183861
FBgn0003044	Pcl	FBgn0183089
FBgn0003046	Pcp	FBgn0194828
FBgn0003048	pcx	FBgn0188198
FBgn0003053	peb	FBgn0269187
FBgn0003060	CG9757	FBgn0191959
FBgn0003062	Fib	FBgn0196397
FBgn0003065	CG2150	FBgn0270557
FBgn0003067	Pepck1	FBgn0183141
FBgn0003068	per	FBgn0268179
FBgn0003071	Pfk	FBgn0182479
FBgn0003074	Pgi	FBgn0270152
FBgn0003076	Pgm1	FBgn0268966
FBgn0003079	Raf	FBgn0063982
FBgn0003082	phr	FBgn0182283
FBgn0003087	pim	FBgn0195061
FBgn0003090	pk	FBgn0182238
FBgn0003091	Pkc53E	FBgn0182985
FBgn0003093	Pkc98E	FBgn0192841
FBgn0003114	plu	FBgn0040413
FBgn0003116	pn	FBgn0188196
FBgn0003117	pnr	FBgn0268379
FBgn0003118	pnt	FBgn0025031
FBgn0003124	polo	FBgn0186544
FBgn0003129	Poxm	FBgn0270338
FBgn0003130	Poxn	FBgn0196881
FBgn0003134	Pp1alpha-96A	FBgn0192560
FBgn0003137	Ppn	FBgn0189576
FBgn0003139	PpV	FBgn0268081
FBgn0003140	PpY-55A	FBgn0196723
FBgn0003141	pr	FBgn0269470
FBgn0003145	prd	FBgn0193543
FBgn0003149	Prm	FBgn0184689
FBgn0003159	CG2841	FBgn0187987
FBgn0003162	Pu	FBgn0183313
FBgn0003165	pum	FBgn0192280
FBgn0003169	put	FBgn0191882
FBgn0003174	pwn	FBgn0182240
FBgn0003175	px	FBgn0196436
FBgn0003187	qua	FBgn0193282
FBgn0003189	r	FBgn0015169
FBgn0003204	ras	FBgn0188563
FBgn0003205	Ras85D	FBgn0029246
FBgn0003206	Ras64B	FBgn0029247
FBgn0003209	raw	FBgn0193792
FBgn0003210	rb	FBgn0187922
FBgn0003218	rdgB	FBgn0188712
FBgn0003227	rec	FBgn0191801
FBgn0003231	ref(2)P	FBgn0013883
FBgn0003248	Rh2	FBgn0190759
FBgn0003249	Rh3	FBgn0191560
FBgn0003250	Rh4	FBgn0184170
FBgn0003254	rib	FBgn0183188
FBgn0003255	rk	FBgn0193435
FBgn0003257	r-l	FBgn0191494
FBgn0003267	ro	FBgn0189655
FBgn0003268	rod	FBgn0193009
FBgn0003270	amos	FBgn0193248
FBgn0003274	RpLP2	FBgn0182961
FBgn0003275	RpII18	FBgn0191271
FBgn0003277	RpII215	FBgn0187633
FBgn0003278	RpI135	FBgn0194412
FBgn0003279	RpL4	FBgn0192793
FBgn0003285	rst	FBgn0187969
FBgn0003292	rt	FBgn0184522
FBgn0003295	ru	FBgn0185325
FBgn0003300	run	FBgn0016352
FBgn0003301	rut	FBgn0083415
FBgn0003302	rux	FBgn0046909
FBgn0003308	ry	FBgn0016353
FBgn0003310	S	FBgn0194325
FBgn0003312	sad	FBgn0190304
FBgn0003313	sala	FBgn0012892
FBgn0003317	sax	FBgn0187027
FBgn0003319	Sb	FBgn0190582
FBgn0003321	sbr	FBgn0068586
FBgn0003326	sca	FBgn0182684
FBgn0003330	Sce	FBgn0189609
FBgn0003334	Scm	FBgn0192240
FBgn0003339	Scr	FBgn0191014
FBgn0003345	sd	FBgn0196142
FBgn0003346	RanGAP	FBgn0183774
FBgn0003353	sei	FBgn0183563
FBgn0003360	sesB	FBgn0187655
FBgn0003366	sev	FBgn0269374
FBgn0003371	sgg	FBgn0196056
FBgn0003373	Sgs3	FBgn0185996
FBgn0003380	Sh	FBgn0187317
FBgn0003382	sha	FBgn0187058
FBgn0003386	Shaw	FBgn0194638
FBgn0003388	shd	FBgn0186175
FBgn0003390	shf	FBgn0187811
FBgn0003391	shg	FBgn0196544
FBgn0003392	shi	FBgn0068585
FBgn0003396	shn	FBgn0182535
FBgn0003401	shu	FBgn0196321
FBgn0003410	sina	FBgn0186349
FBgn0003411	sisA	FBgn0195869
FBgn0003415	skd	FBgn0183884
FBgn0003416	sl	FBgn0188843
FBgn0003423	slgA	FBgn0189084
FBgn0003429	slo	FBgn0192574
FBgn0003430	slp1	FBgn0194648
FBgn0003435	sm	FBgn0263228
FBgn0003444	smo	FBgn0194405
FBgn0003447	sn	FBgn0268525
FBgn0003448	sna	FBgn0193368
FBgn0003449	snf	FBgn0196072
FBgn0003450	snk	FBgn0191993
FBgn0003459	stwl	FBgn0189124
FBgn0003460	so	FBgn0182248
FBgn0003462	Sod1	FBgn0012854
FBgn0003463	sog	FBgn0041657
FBgn0003464	sol	FBgn0189079
FBgn0003475	spir	FBgn0195600
FBgn0003479	spn-A	FBgn0188925
FBgn0003480	spn-B	FBgn0190469
FBgn0003482	spn-D	FBgn0192766
FBgn0003483	spn-E	FBgn0190560
FBgn0003495	spz	FBgn0067488
FBgn0003499	sr	FBgn0190705
FBgn0003502	Btk29A	FBgn0193828
FBgn0003507	srp	FBgn0190571
FBgn0003510	Sry-alpha	FBgn0020081
FBgn0003511	Sry-beta	FBgn0062291
FBgn0003512	Sry-delta	FBgn0045545
FBgn0003513	ss	FBgn0191767
FBgn0003514	sqh	FBgn0041656
FBgn0003515	st	FBgn0262090
FBgn0003517	sta	FBgn0029243
FBgn0003520	stau	FBgn0196711
FBgn0003525	stg	FBgn0189390
FBgn0003527	stil	FBgn0182664
FBgn0003545	sub	FBgn0196739
FBgn0003557	Su(dx)	FBgn0194518
FBgn0003559	su(f)	FBgn0269369
FBgn0003567	su(Hw)	FBgn0191901
FBgn0003575	su(sable)	FBgn0268819
FBgn0003598	Su(var)3-7	FBgn0190403
FBgn0003607	Su(var)205	FBgn0264923
FBgn0003612	Su(var)2-10	FBgn0182399
FBgn0003638	su(w[a])	FBgn0269492
FBgn0003651	svp	FBgn0190325
FBgn0003655	swa	FBgn0187823
FBgn0003656	sws	FBgn0068584
FBgn0003660	Syb	FBgn0197274
FBgn0003676	CCT1	FBgn0041667
FBgn0003687	Tbp	FBgn0196487
FBgn0003701	thr	FBgn0196730
FBgn0003710	tipE	FBgn0185519
FBgn0003714	tko	FBgn0187984
FBgn0003716	tkv	FBgn0194057
FBgn0003719	tld	FBgn0041655
FBgn0003720	tll	FBgn0192976
FBgn0003721	Tm1	FBgn0190514
FBgn0003731	Egfr	FBgn0183342
FBgn0003733	tor	FBgn0182001
FBgn0003741	tra	FBgn0012901
FBgn0003742	tra2	FBgn0196958
FBgn0003744	trc	FBgn0183980
FBgn0003747	Gr5a	FBgn0188330
FBgn0003748	Treh	FBgn0183301
FBgn0003751	trk	FBgn0269848
FBgn0003861	trp	FBgn0189128
FBgn0003862	trx	FBgn0191905
FBgn0003865	tsg	FBgn0187599
FBgn0003866	tsh	FBgn0195680
FBgn0003867	tsl	FBgn0190027
FBgn0003870	ttk	FBgn0193021
FBgn0003882	tub	FBgn0067487
FBgn0003886	alphaTub85E	FBgn0192232
FBgn0003888	betaTub60D	FBgn0269821
FBgn0003889	betaTub85D	FBgn0192261
FBgn0003890	betaTub97EF	FBgn0186748
FBgn0003891	tud	FBgn0183314
FBgn0003892	ptc	FBgn0187046
FBgn0003896	tup	FBgn0193221
FBgn0003900	twi	FBgn0016355
FBgn0003941	RpL40	FBgn0183753
FBgn0003942	RpS27A	FBgn0195073
FBgn0003950	unc	FBgn0187172
FBgn0003961	Uro	FBgn0194866
FBgn0003963	ush	FBgn0194421
FBgn0003964	usp	FBgn0188012
FBgn0003965	v	FBgn0013884
FBgn0003969	vap	FBgn0195831
FBgn0003975	vg	FBgn0182691
FBgn0003977	vir	FBgn0196370
FBgn0003978	vls	FBgn0270297
FBgn0003979	Vm26Aa	FBgn0194020
FBgn0003980	Vm26Ab	FBgn0194757
FBgn0003984	vn	FBgn0184895
FBgn0003997	hid	FBgn0184082
FBgn0004003	wbl	FBgn0183186
FBgn0004034	y	FBgn0012903
FBgn0004045	Yp1	FBgn0188548
FBgn0004047	Yp3	FBgn0269939
FBgn0004049	yrt	FBgn0191967
FBgn0004050	z	FBgn0012904
FBgn0004052	Z600	FBgn0186226
FBgn0004053	zen	FBgn0191017
FBgn0004054	zen2	FBgn0191019
FBgn0004055	uzip	FBgn0183655
FBgn0004057	Zw	FBgn0012860
FBgn0004066	Prosalpha4	FBgn0268185
FBgn0004087	Dhfr	FBgn0190613
FBgn0004101	bs	FBgn0183591
FBgn0004102	oc	FBgn0266091
FBgn0004106	Cdk1	FBgn0193672
FBgn0004107	Cdk2	FBgn0190873
FBgn0004108	Nrt	FBgn0186340
FBgn0004110	tin	FBgn0025027
FBgn0004117	Tm2	FBgn0186829
FBgn0004118	nAChRbeta2	FBgn0189821
FBgn0004132	boca	FBgn0182013
FBgn0004133	blow	FBgn0182012
FBgn0004143	nullo	FBgn0268767
FBgn0004167	kst	FBgn0185459
FBgn0004168	5-HT1A	FBgn0183177
FBgn0004169	up	FBgn0018225
FBgn0004170	sc	FBgn0012893
FBgn0004177	mts	FBgn0194871
FBgn0004179	Csp	FBgn0189203
FBgn0004181	Ebp	FBgn0196210
FBgn0004197	Ser	FBgn0189632
FBgn0004198	ct	FBgn0188436
FBgn0004227	nonA	FBgn0196156
FBgn0004228	mex1	FBgn0184286
FBgn0004237	Hrb87F	FBgn0191955
FBgn0004242	Syt1	FBgn0194196
FBgn0004244	Rdl	FBgn0012851
FBgn0004359	T48	FBgn0192750
FBgn0004360	Wnt2	FBgn0182426
FBgn0004362	HmgD	FBgn0183362
FBgn0004363	porin	FBgn0193627
FBgn0004364	18w	FBgn0067532
