chromosome	geneName	geneId	transId	transLength	Ps	Pn	Ds	Dn	DoS	alphaMK
2L	aop	FBgn0000097	FBtr0077850	4879	81	20	21	9	0	0.423868312757202
2L	ApepP	FBgn0026150	FBtr0080956	2066	54	32	44	7	-1.11022302462516e-16	-2.72486772486772
2L	Apf	FBgn0051713	FBtr0079895	555	22	2	8	4	0	0.818181818181818
2L	aret	FBgn0000114	FBtr0080344	3436	102	23	27	8	1.11022302462516e-16	0.238970588235294
2L	Arr1	FBgn0000120	FBtr0081030	1435	26	10	22	1	-5.55111512312578e-17	-7.46153846153846
2L	Art2	FBgn0031592	FBtr0077476	1436	55	33	20	19	0	0.368421052631579
2L	Art8	FBgn0032329	FBtr0080162	1210	38	25	22	2	5.55111512312578e-17	-6.23684210526316
2L	aru	FBgn0029095	FBtr0078033	2922	103	32	41	7	0	-0.819694868238557
2L	ast	FBgn0015905	FBtr0077952	2745	138	84	46	25	5.55111512312578e-17	-0.12
2L	Ast-C	FBgn0032336	FBtr0080234	1202	20	6	5	3	0	0.5
2L	Ast-CC	FBgn0032337	FBtr0114455	1152	36	31	13	3	0	-2.73148148148148
2L	Atac1	FBgn0031876	FBtr0079362	1230	38	26	24	13	0	-0.263157894736842
2L	Atac2	FBgn0032691	FBtr0081079	2427	95	60	29	36	0	0.491228070175439
2L	Atet	FBgn0020762	FBtr0112898	4209	17	16	1	1	5.55111512312578e-17	0.0588235294117647
2L	Atg4	FBgn0031298	FBtr0077953	2076	65	21	16	2	0	-1.58461538461538
2L	atilla	FBgn0032422	FBtr0273342	834	22	21	4	3	-1.11022302462516e-16	-0.272727272727273
2L	aub	FBgn0000146	FBtr0080165	2825	67	23	58	98	1.11022302462516e-16	0.796832165702102
2L	aust	FBgn0032104	FBtr0079819	889	44	26	10	11	0	0.462809917355372
2L	Axud1	FBgn0261647	FBtr0077762	4145	107	58	46	11	0	-1.26677994902294
2L	b	FBgn0000153	FBtr0080542	2026	79	46	25	3	0	-3.85232067510549
2L	B4	FBgn0023407	FBtr0080513	5920	124	64	33	9	1.66533453693773e-16	-0.89247311827957
2L	Bace	FBgn0032049	FBtr0079701	1200	76	28	21	3	0	-1.57894736842105
2L	baf	FBgn0031977	FBtr0079535	607	7	0	5	1	NA	1
2L	barr	FBgn0014127	FBtr0081348	2580	49	28	54	15	0	-1.05714285714286
2L	BBS8	FBgn0031255	FBtr0078058	2259	41	29	26	7	0	-1.62717770034843
2L	bchs	FBgn0043362	FBtr0079144	12155	613	94	243	19	2.22044604925031e-16	-0.961191723190521
2L	beat-Ia	FBgn0013433	FBtr0080806	2840	50	24	10	3	5.55111512312578e-17	-0.6
2L	beat-Ib	FBgn0028645	FBtr0080808	2603	16	18	21	4	0	-4.90625
2L	beat-Ic	FBgn0028644	FBtr0080801	3399	37	41	6	5	0	-0.32972972972973
2L	beat-IIIa	FBgn0032627	FBtr0303301	1457	23	8	15	4	0	-0.304347826086957
2L	beat-IIIb	FBgn0053179	FBtr0329973	3249	19	23	14	4	1.11022302462516e-16	-3.23684210526316
2L	beat-IIIc	FBgn0032629	FBtr0080971	1709	37	17	9	6	0	0.310810810810811
2L	Bem46	FBgn0025109	FBtr0077643	1710	28	11	10	1	0	-2.92857142857143
2L	beta'Cop	FBgn0025724	FBtr0080469	3066	49	17	62	13	-5.55111512312578e-17	-0.654631083202512
2L	betaggt-I	FBgn0015000	FBtr0078991	1784	53	23	21	9	0	-0.0125786163522013
2L	betaggt-II	FBgn0028970	FBtr0077631	1433	69	18	22	2	0	-1.8695652173913
2L	betaInt-nu	FBgn0010395	FBtr0081461	3340	26	26	49	18	0	-1.72222222222222
2L	BG642163	FBgn0083938	FBtr0110769	1394	51	45	37	86	0	0.620383036935705
2L	bgm	FBgn0027348	FBtr0080590	2501	131	11	31	8	0	0.674618320610687
2L	bib	FBgn0000180	FBtr0329984	3276	109	30	34	5	1.11022302462516e-16	-0.871559633027523
2L	BicC	FBgn0000182	FBtr0080803	4022	94	22	29	4	1.66533453693773e-16	-0.696808510638298
2L	BicD	FBgn0000183	FBtr0330226	4149	72	22	38	5	1.11022302462516e-16	-1.32222222222222
2L	Bka	FBgn0010520	FBtr0079874	758	23	5	18	1	0	-2.91304347826087
2L	borr	FBgn0032105	FBtr0079818	1298	52	11	11	4	0	0.418269230769231
2L	bowl	FBgn0004893	FBtr0077490	3513	141	54	42	5	0	-2.21702127659574
2L	bru	FBgn0261787	FBtr0081403	4892	29	35	99	17	1.11022302462516e-16	-6.02839756592292
2L	bru-2	FBgn0262475	FBtr0304856	4270	92	62	30	39	5.55111512312578e-17	0.481605351170569
2L	bsf	FBgn0032679	FBtr0081087	4457	110	33	107	53	-1.11022302462516e-16	0.394339622641509
2L	Bsg	FBgn0261822	FBtr0079574	8453	60	33	11	8	1.11022302462516e-16	0.24375
2L	Bsg25A	FBgn0000227	FBtr0077423	1352	62	35	22	8	0	-0.55241935483871
2L	Bsg25D	FBgn0000228	FBtr0310625	4666	178	82	56	15	0	-0.719850187265918
2L	bsh	FBgn0000529	FBtr0089320	2012	36	18	14	2	0	-2.5
2L	Btk29A	FBgn0003502	FBtr0079616	3420	129	15	17	3	0	0.34108527131783
2L	btv	FBgn0023096	FBtr0273418	12821	246	194	311	74	0	-2.31432652164359
2L	Bub1	FBgn0031696	FBtr0079069	3810	146	52	57	27	0	0.248097412480974
2L	bun	FBgn0259176	FBtr0299658	5921	157	75	55	22	0	-0.194267515923567
2L	bur	FBgn0000239	FBtr0301342	2915	11	4	50	6	1.11022302462516e-16	-2.03030303030303
2L	bwa	FBgn0045064	FBtr0331184	1538	28	5	14	4	1.11022302462516e-16	375
2L	c-cup	FBgn0031367	FBtr0077894	882	24	21	9	14	0	0.4375
2L	c(2)M	FBgn0028525	FBtr0080830	2262	49	55	44	56	-5.55111512312578e-17	0.118075801749271
2L	C1GalTA	FBgn0032078	FBtr0079788	2227	51	6	19	4	0	0.441176470588235
2L	Ca-alpha1D	FBgn0001991	FBtr0090004	8986	305	67	96	11	1.11022302462516e-16	-0.917138599105812
2L	CaBP1	FBgn0025678	FBtr0080837	1723	45	21	17	2	0	-2.96666666666667
2L	cact	FBgn0000250	FBtr0080844	1893	43	19	15	1	-1.11022302462516e-16	-5.62790697674419
2L	cad	FBgn0000251	FBtr0081412	2516	22	7	20	7	5.55111512312578e-17	0.0909090909090908
2L	CadN	FBgn0015609	FBtr0100316	10427	282	34	174	13	0	-0.613747954173486
2L	CadN2	FBgn0262018	FBtr0303836	7220	155	61	87	5	0	-5.84774193548387
2L	CAH1	FBgn0027844	FBtr0080539	1456	40	8	13	2	0	-0.3
2L	cana	FBgn0040233	FBtr0091678	6366	62	87	121	272	0	0.375770872865275
2L	Cand1	FBgn0027568	FBtr0080054	4070	159	17	62	3	-1.11022302462516e-16	-1.20964360587002
2L	Cap-D3	FBgn0051989	FBtr0079097	4049	219	102	65	68	0	0.554794520547945
2L	capt	FBgn0261458	FBtr0100023	3049	110	47	16	9	0	0.24040404040404
2L	capu	FBgn0000256	FBtr0290078	4537	253	138	47	35	0	0.267532467532468
2L	Cas	FBgn0022213	FBtr0080930	3237	76	21	68	11	0	-0.708133971291866
2L	Catsup	FBgn0002022	FBtr0081143	1698	17	16	28	3	0	-7.7843137254902
2L	cbt	FBgn0043364	FBtr0078083	2041	27	23	26	3	0	-6.38271604938272
2L	Cda5	FBgn0051973	FBtr0078164	7227	40	62	121	107	0	-0.752803738317757
2L	cdc14	FBgn0031952	FBtr0301331	3985	1	2	0	1	NA	1
2L	cdc23	FBgn0032863	FBtr0081362	2270	45	8	28	8	0	0.377777777777778
2L	CdGAPr	FBgn0032821	FBtr0081318	7522	112	56	120	20	0	-2
2L	Cdk5alpha	FBgn0027491	FBtr0080063	1858	55	7	15	2	5.55111512312578e-17	0.0454545454545455
2L	Ced-12	FBgn0032409	FBtr0080330	2586	120	13	42	16	0	0.715625
2L	Cen	FBgn0032876	FBtr0081399	2841	31	12	50	5	0	-2.87096774193548
2L	cenG1A	FBgn0028509	FBtr0080546	4444	153	35	44	8	0	-0.258169934640523
2L	Cf2	FBgn0000286	FBtr0089649	3763	44	13	16	5	0	0.0545454545454545
2L	CG10019	FBgn0031568	FBtr0273188	6040	162	98	35	11	0	-0.924803591470258
2L	CG10026	FBgn0032785	FBtr0081237	1533	15	9	21	4	0	-2.15
2L	CG10031	FBgn0031563	FBtr0077544	577	22	19	8	3	0	-1.3030303030303
2L	CG10132	FBgn0032798	FBtr0081247	4685	84	38	64	7	1.11022302462516e-16	-3.13605442176871
2L	CG10137	FBgn0032800	FBtr0081248	3227	51	21	57	8	0	-1.93382352941176
2L	CG10158	FBgn0031871	FBtr0079366	1486	43	10	15	7	0	0.501661129568106
2L	CG10165	FBgn0032801	FBtr0081277	1116	17	7	17	5	0	-0.4
2L	CG10166	FBgn0032799	FBtr0081279	810	6	4	20	2	5.55111512312578e-17	-5.66666666666667
2L	CG10176	FBgn0032682	FBtr0300674	1789	29	15	13	2	-1.11022302462516e-16	-2.36206896551724
2L	CG10178	FBgn0032684	FBtr0081068	1956	51	33	35	7	0	-2.23529411764706
2L	CG10188	FBgn0032796	FBtr0329963	5242	65	25	91	8	0	-3375
2L	CG10189	FBgn0032793	FBtr0081284	1317	12	25	42	17	1.11022302462516e-16	-4.14705882352941
2L	CG10194	FBgn0032790	FBtr0081285	1215	16	14	26	17	0	-0.338235294117647
2L	CG10195	FBgn0032787	FBtr0302930	1473	13	30	22	18	0	-1.82051282051282
2L	CG10211	FBgn0032685	FBtr0081069	5000	127	47	115	5	0	-7.51181102362205
2L	CG10237	FBgn0032783	FBtr0081208	1457	22	7	7	2	1.66533453693773e-16	-0.113636363636364
2L	CG10262	FBgn0032813	FBtr0081262	1034	30	17	13	4	0	-0.841666666666667
2L	CG10268	FBgn0032811	FBtr0081266	1156	10	11	23	8	1.11022302462516e-16	-2.1625
2L	CG10283	FBgn0032681	FBtr0300675	3040	68	42	18	14	0	0.205882352941176
2L	CG10333	FBgn0032690	FBtr0081072	2656	77	18	53	7	0	-0.769944341372913
2L	CG10336	FBgn0032698	FBtr0081095	1216	23	22	17	11	0	-0.478260869565217
2L	CG10337	FBgn0032805	FBtr0081276	1297	17	15	18	6	0	-1.64705882352941
2L	CG10338	FBgn0032700	FBtr0081096	2351	21	7	37	2	-5.55111512312578e-17	-5.16666666666667
2L	CG10341	FBgn0032701	FBtr0081097	1873	35	25	39	29	0	0.039408866995074
2L	CG10343	FBgn0032703	FBtr0081098	843	4	7	16	2	0	-13
2L	CG10348	FBgn0032707	FBtr0301647	2611	40	28	28	6	0	-2.26666666666667
2L	CG10366	FBgn0032814	FBtr0081259	2062	44	36	36	24	0	-0.227272727272728
2L	CG10376	FBgn0032702	FBtr0081128	2500	23	17	19	6	0	-1.34057971014493
2L	CG10383	FBgn0032699	FBtr0089628	2870	54	9	55	5	-1.11022302462516e-16	-0.833333333333333
2L	CG10399	FBgn0031877	FBtr0079351	1120	51	34	15	3	0	-2.33333333333333
2L	CG10413	FBgn0032689	FBtr0081080	3783	103	17	54	2	1.11022302462516e-16	-3.45631067961165
2L	CG10428	FBgn0032724	FBtr0081132	1921	34	19	46	5	0	-4.14117647058824
2L	CG10431	FBgn0032730	FBtr0081134	3355	46	19	59	25	0	0.0252173913043477
2L	CG10462	FBgn0032815	FBtr0081325	3154	53	39	58	86	0	0.503729706011409
2L	CG10463	FBgn0032819	FBtr0081290	1921	53	36	46	9	0	-2.47169811320755
2L	CG10481	FBgn0032827	FBtr0081312	2008	57	26	45	15	0	-0.368421052631579
2L	CG10492	FBgn0032748	FBtr0081148	4507	31	23	51	8	0	-3.72983870967742
2L	CG10495	FBgn0032750	FBtr0081150	1371	17	23	36	12	0	-3.05882352941177
2L	CG10561	FBgn0002036	FBtr0081155	2052	58	17	36	17	0	0.379310344827586
2L	CG10570	FBgn0040992	FBtr0081122	817	9	6	2	1	1.11022302462516e-16	-0.333333333333333
2L	CG10600	FBgn0032717	FBtr0273228	5295	82	74	72	49	-1.11022302462516e-16	-0.326032852165256
2L	CG10602	FBgn0032721	FBtr0089314	2172	47	12	48	7	2.22044604925031e-16	-0.750759878419453
2L	CG10621	FBgn0032726	FBtr0081191	1302	19	7	11	4	-5.55111512312578e-17	-0.013157894736842
2L	CG10623	FBgn0032727	FBtr0081190	1583	17	13	21	9	0	-0.784313725490196
2L	CG10628	FBgn0032818	FBtr0081323	1254	41	16	29	5	0	-1.26341463414634
2L	CG10631	FBgn0032817	FBtr0081324	12133	304	174	176	89	0	-0.131874630396215
2L	CG10639	FBgn0032729	FBtr0081186	1945	23	14	25	4	0	-2.80434782608696
2L	CG10650	FBgn0046302	FBtr0081183	1527	34	17	26	48	0	0.729166666666667
2L	CG10651	FBgn0032853	FBtr0081378	1011	23	18	22	18	-1.11022302462516e-16	0.0434782608695652
2L	CG10659	FBgn0032839	FBtr0081350	837	22	19	23	24	0	0.172348484848485
2L	CG10680	FBgn0032836	FBtr0081303	1026	29	27	14	17	1.11022302462516e-16	0.233265720081136
2L	CG10700	FBgn0032754	FBtr0081171	1753	49	76	31	25	0	-0.923265306122449
2L	CG10702	FBgn0032752	FBtr0081174	4145	44	46	80	25	0	-2.34545454545455
2L	CG10721	FBgn0032846	FBtr0081333	1541	34	27	27	16	0	-0.340073529411765
2L	CG10747	FBgn0032845	FBtr0081341	1529	30	27	22	10	0	-0.98
2L	CG10750	FBgn0032769	FBtr0081196	1175	39	2	17	9	0	0.903133903133903
2L	CG10834	FBgn0032972	FBtr0085943	443	2	0	10	2	NA	1
2L	CG10839	FBgn0028858	FBtr0080800	692	16	5	8	3	0	0.166666666666667
2L	CG10859	FBgn0032520	FBtr0080522	2209	60	4	60	15	0	0.733333333333333
2L	CG10869	FBgn0031347	FBtr0077917	2227	119	36	31	9	0	-0.0420168067226889
2L	CG10874	FBgn0031395	FBtr0330664	1586	42	25	16	7	0	-0.360544217687075
2L	CG10880	FBgn0031398	FBtr0077843	1285	24	19	22	15	0	-0.161111111111111
2L	CG10947	FBgn0032857	FBtr0081369	2605	23	12	16	4	0	-1.08695652173913
2L	CG10949	FBgn0032858	FBtr0081367	1539	37	23	28	11	0	-0.582309582309582
2L	CG11029	FBgn0031735	FBtr0079136	1805	91	25	36	9	0	-0.098901098901099
2L	CG11030	FBgn0031736	FBtr0079135	1800	48	17	26	1	0	-8.20833333333333
2L	CG11034	FBgn0031741	FBtr0306841	2409	144	47	45	16	0	0.08203125
2L	CG11043	FBgn0031831	FBtr0079289	647	18	6	5	1	0	-0.666666666666667
2L	CG11050	FBgn0031836	FBtr0079291	2110	51	24	10	6	0	0.215686274509804
2L	CG11070	FBgn0028467	FBtr0079297	3391	61	28	68	21	-1.11022302462516e-16	-0.486338797814208
2L	CG11147	FBgn0031734	FBtr0079165	3025	123	21	44	4	0	-0.878048780487805
2L	CG11149	FBgn0031732	FBtr0079168	1952	71	41	40	31	0	0.254884143571104
2L	CG11188	FBgn0031851	FBtr0079299	1703	62	50	30	13	0	-0.861042183622829
2L	CG11221	FBgn0031855	FBtr0079303	1979	86	4	28	1	0	-0.302325581395349
2L	CG11236	FBgn0031860	FBtr0079339	1181	69	39	26	9	0	-0.632850241545894
2L	CG11266	FBgn0031883	FBtr0089636	2457	50	12	29	8	-1.11022302462516e-16	0.13
2L	CG11289	FBgn0031887	FBtr0289952	1513	74	83	26	15	0	-0.944144144144144
2L	CG11319	FBgn0031835	FBtr0089641	4635	146	39	48	12	0	-0.0684931506849316
2L	CG11320	FBgn0031837	FBtr0113026	1327	52	25	12	2	0	-1.88461538461539
2L	CG11321	FBgn0031857	FBtr0331216	9188	517	339	169	101	-5.55111512312578e-17	-0.0971714192695865
2L	CG11322	FBgn0031856	FBtr0290242	1765	51	47	38	68	0	0.485005767012687
2L	CG11327	FBgn0031849	FBtr0079315	1808	21	39	31	59	5.55111512312578e-17	0.0242130750605327
2L	CG11329	FBgn0031848	FBtr0079319	887	25	13	13	11	-1.11022302462516e-16	0.385454545454545
2L	CG11374	FBgn0031214	FBtr0306541	1378	10	4	24	9	0	-0.0666666666666667
2L	CG11376	FBgn0031216	FBtr0078103	6476	46	18	103	18	0	-1.23913043478261
2L	CG11377	FBgn0031217	FBtr0078104	1583	6	13	28	11	0	-4.51515151515151
2L	CG11454	FBgn0031224	FBtr0078116	905	5	11	16	20	-5.55111512312578e-17	-0.76
2L	CG11490	FBgn0031233	FBtr0078125	2902	19	9	49	12	0	-0.934210526315789
2L	CG11555	FBgn0086856	FBtr0078128	830	9	7	20	17	0	0.0849673202614378
2L	CG11562	FBgn0031247	FBtr0078130	748	3	3	5	3	0	-0.666666666666667
2L	CG11592	FBgn0025686	FBtr0078134	1681	19	22	35	23	1.11022302462516e-16	-0.762013729977117
2L	CG11601	FBgn0031244	FBtr0078137	1151	9	7	25	1	0	-18.4444444444444
2L	CG11617	FBgn0031232	FBtr0078146	1259	5	6	21	11	0	-1.29090909090909
2L	CG11629	FBgn0032965	FBtr0085950	1624	19	13	33	31	0	0.271646859083192
2L	CG11630	FBgn0032964	FBtr0085909	2020	22	8	45	22	0	0.256198347107438
2L	CG11634	FBgn0032968	FBtr0085930	1151	7	14	25	20	1.11022302462516e-16	-1.5
2L	CG11723	FBgn0031391	FBtr0077852	1707	37	11	14	16	0	0.739864864864865
2L	CG11835	FBgn0031264	FBtr0078076	2716	117	112	50	58	0	0.174771588564692
2L	CG11864	FBgn0028944	FBtr0080784	789	23	14	12	18	1.11022302462516e-16	0.594202898550725
2L	CG11865	FBgn0028947	FBtr0080753	849	33	50	15	8	5.55111512312578e-17	-1.84090909090909
2L	CG11885	FBgn0031253	FBtr0078089	556	13	6	12	4	0	-0.384615384615385
2L	CG11911	FBgn0031249	FBtr0078098	970	18	5	10	19	0	0.853801169590643
2L	CG11912	FBgn0031248	FBtr0078099	898	10	10	13	15	0	0.133333333333333
2L	CG11926	FBgn0031640	FBtr0077387	1882	85	30	26	1	0	-8.17647058823529
2L	CG11927	FBgn0031638	FBtr0077386	1734	43	42	36	17	0	-1.06839945280438
2L	CG11929	FBgn0031620	FBtr0077377	3034	130	131	49	103	0	0.520612397311427
2L	CG12050	FBgn0032915	FBtr0114615	3471	31	23	65	28	0	-0.722350230414746
2L	CG12194	FBgn0031636	FBtr0300756	2105	79	31	29	3	0	-2.79324894514768
2L	CG12253	FBgn0026148	FBtr0080149	1240	31	17	28	14	0	-0.096774193548387
2L	CG12264	FBgn0032393	FBtr0080290	1533	27	12	27	4	0	-2
2L	CG12288	FBgn0032620	FBtr0080957	1562	48	34	35	16	-1.11022302462516e-16	-0.549479166666667
2L	CG12299	FBgn0032295	FBtr0080113	3310	99	40	36	15	-1.11022302462516e-16	0.0303030303030304
2L	CG12307	FBgn0032370	FBtr0080266	680	19	33	12	11	0	-0.894736842105263
2L	CG12375	FBgn0031987	FBtr0079642	1165	35	13	20	4	0	-0.857142857142857
2L	CG12400	FBgn0031505	FBtr0077617	458	27	4	2	5	-5.55111512312578e-17	0.940740740740741
2L	CG12404	FBgn0032465	FBtr0080430	1207	30	8	16	1	0	-3.26666666666667
2L	CG12438	FBgn0032065	FBtr0079732	925	37	23	14	23	0	0.621621621621622
2L	CG12439	FBgn0032094	FBtr0079767	799	39	32	15	12	0	-0.0256410256410255
2L	CG12448	FBgn0028857	FBtr0300613	1293	34	11	19	12	0	0.487745098039216
2L	CG12506	FBgn0031276	FBtr0078003	471	15	10	6	9	0	0.555555555555556
2L	CG12511	FBgn0031729	FBtr0302949	585	22	14	6	8	-1.11022302462516e-16	0.522727272727273
2L	CG12512	FBgn0031703	FBtr0079077	2054	135	58	37	16	0	0.00648148148148153
2L	CG12560	FBgn0031974	FBtr0300761	976	52	39	16	21	1.66533453693773e-16	0.428571428571429
2L	CG12617	FBgn0040996	FBtr0081351	538	2	5	6	5	-1.11022302462516e-16	-2
2L	CG12620	FBgn0032626	FBtr0080953	1184	37	6	20	29	0	0.888164026095061
2L	CG12674	FBgn0031388	FBtr0077827	1219	61	31	15	39	0	0.804539722572509
2L	CG12795	FBgn0031535	FBtr0113019	1072	51	23	13	16	5.55111512312578e-17	0.633578431372549
2L	CG13077	FBgn0032810	FBtr0081257	1146	18	7	17	7	0	0.0555555555555555
2L	CG13078	FBgn0032809	FBtr0081256	910	23	10	13	5	0	-0.130434782608696
2L	CG13079	FBgn0032808	FBtr0331331	3555	157	203	98	117	-1.11022302462516e-16	-0.0830203059502421
2L	CG13081	FBgn0032804	FBtr0081252	703	8	10	13	6	0	-1.70833333333333
2L	CG13082	FBgn0032803	FBtr0081251	1316	21	18	32	10	-1.11022302462516e-16	-1.74285714285714
2L	CG13083	FBgn0032789	FBtr0081242	1145	12	20	24	12	0	-2.33333333333333
2L	CG13084	FBgn0032788	FBtr0081240	1544	27	35	38	12	1.11022302462516e-16	-3.10493827160494
2L	CG13085	FBgn0032780	FBtr0081203	1270	18	28	21	11	0	-1.96969696969697
2L	CG13086	FBgn0032770	FBtr0081197	617	12	9	8	5	0	-0.2
2L	CG13088	FBgn0032047	FBtr0079681	1454	45	37	43	34	-1.11022302462516e-16	-0.0398692810457517
2L	CG13089	FBgn0032052	FBtr0079682	1478	60	22	30	7	1.11022302462516e-16	-0.571428571428571
2L	CG13090	FBgn0032054	FBtr0079683	1684	33	11	34	28	0	0.595238095238095
2L	CG13091	FBgn0032055	FBtr0079684	1718	63	37	27	26	0	0.39010989010989
2L	CG13096	FBgn0032050	FBtr0079698	2268	72	69	36	32	1.11022302462516e-16	-0.078125
2L	CG13097	FBgn0032051	FBtr0079697	2522	70	47	26	25	0	0.301714285714286
2L	CG13101	FBgn0032084	FBtr0079783	1396	54	19	15	3	0	-0.759259259259259
2L	CG13102	FBgn0032088	FBtr0079766	576	15	12	5	16	-1.11022302462516e-16	0.75
2L	CG13108	FBgn0032100	FBtr0079773	1021	49	31	7	4	0	-0.107142857142857
2L	CG13110	FBgn0032111	FBtr0079805	527	27	8	8	3	0	0.209876543209877
2L	CG13113	FBgn0032126	FBtr0079832	705	40	36	8	10	-5.55111512312578e-17	0.28
2L	CG13114	FBgn0032127	FBtr0273329	1530	94	37	16	12	5.55111512312578e-17	0.475177304964539
2L	CG13116	FBgn0032139	FBtr0079863	1006	50	14	8	1	0	-1.24
2L	CG13117	FBgn0032140	FBtr0079864	685	18	20	5	2	1.11022302462516e-16	-1.77777777777778
2L	CG13123	FBgn0032150	FBtr0079917	1094	19	23	23	12	-1.11022302462516e-16	-1.32017543859649
2L	CG13124	FBgn0032156	FBtr0079902	3023	69	13	18	13	-1.11022302462516e-16	0.739130434782609
2L	CG13126	FBgn0032168	FBtr0079892	1633	60	24	39	8	-1.11022302462516e-16	-0.95
2L	CG13127	FBgn0032176	FBtr0079933	2623	176	131	32	44	0	0.458677685950413
2L	CG13131	FBgn0032175	FBtr0079971	4130	206	234	72	146	-5.55111512312578e-17	0.439819124883628
2L	CG13133	FBgn0032181	FBtr0079969	1182	35	11	8	1	0	-1.51428571428571
2L	CG13135	FBgn0032184	FBtr0079966	576	40	17	7	11	0	0.729545454545454
2L	CG13137	FBgn0032188	FBtr0301684	1389	58	48	38	96	0	0.672413793103448
2L	CG13138	FBgn0032211	FBtr0080066	1834	70	53	29	16	1.11022302462516e-16	-0.372321428571428
2L	CG13142	FBgn0032251	FBtr0273339	1383	39	29	14	15	1.11022302462516e-16	0.305982905982906
2L	CG13144	FBgn0032260	FBtr0080037	1555	52	13	11	1	0	-1.75
2L	CG13243	FBgn0028903	FBtr0080787	1421	46	17	19	3	1.11022302462516e-16	-1.34057971014493
2L	CG13244	FBgn0032577	FBtr0080792	611	7	10	7	3	-1.11022302462516e-16	-2.33333333333333
